scaffold	representative	dereplication_status
NZ_FMNF01000005.1	GCA_026814705.1	redundant
CP127551.1	GCA_026814705.1	redundant
NZ_MLQF01000001.1	GCA_026814705.1	redundant
DAKGNT010000003.1	GCA_026814705.1	redundant
DAKVJQ010000136.1	GCA_026814705.1	redundant
DAKVFY010000082.1	GCA_026814705.1	redundant
DAHQMJ010000003.1	GCA_026814705.1	redundant
DAKYZV010000001.1	GCA_026814705.1	redundant
DAKVHK010000049.1	GCA_026814705.1	redundant
DAKVQM010000047.1	GCA_026814705.1	redundant
DAKVHF010000099.1	GCA_026814705.1	redundant
DAKVDM010000001.1	GCA_026814705.1	redundant
DAKVDL010000042.1	GCA_026814705.1	redundant
DALNSG010000003.1	GCA_027205245.1	dereplication_representative
DAKZMP010000001.1	GCA_027205245.1	redundant
DANEHB010000004.1	GCA_027205245.1	redundant
DADKAI010000002.1	GCA_027205245.1	redundant
DAKZPN010000002.1	GCA_027205245.1	redundant
DAKZSO010000046.1	GCA_027205245.1	redundant
NZ_VRPT01000001.1	GCA_027205245.1	redundant
DAKZKQ010000001.1	GCA_027205245.1	redundant
DAKZMO010000001.1	GCA_027205245.1	redundant
DADJZM010000001.1	GCA_027205245.1	redundant
DAKZOZ010000001.1	GCA_027205245.1	redundant
DAKZRX010000003.1	GCA_027205245.1	redundant
NZ_VRPO01000002.1	GCA_027205245.1	redundant
DAKZKJ010000001.1	GCA_027205245.1	redundant
DAKZMK010000087.1	GCA_027205245.1	redundant
DADJTI010000002.1	GCA_027205245.1	redundant
DAKZPA010000003.1	GCA_027205245.1	redundant
DANEIY010000001.1	GCA_027205245.1	redundant
DAEGSN010000038.1	GCA_027205245.1	redundant
DAKZRT010000002.1	GCA_027205245.1	redundant
NZ_VRPL01000001.1	GCA_027205245.1	redundant
DAHJCF010000027.1	GCA_027205245.1	redundant
NZ_VRQQ01000003.1	GCA_027205245.1	redundant
NZ_VRQB01000002.1	GCA_027205245.1	redundant
DAMULL010000001.1	GCA_027205245.1	redundant
NZ_VRQW01000004.1	GCA_027205245.1	redundant
NZ_VRPN01000001.1	GCA_027205245.1	redundant
NZ_VRQD01000002.1	GCA_027205245.1	redundant
NZ_VRPK01000001.1	GCA_027205245.1	redundant
NZ_VRPZ01000002.1	GCA_027205245.1	redundant
DAMPAQ010000001.1	GCA_027205245.1	redundant
NZ_VRPW01000044.1	GCA_027205245.1	redundant
NZ_VRPS01000001.1	GCA_027205245.1	redundant
DANEEX010000001.1	GCA_027205245.1	redundant
NZ_VRPP01000003.1	GCA_027205245.1	redundant
NZ_VRPM01000001.1	GCA_027205245.1	redundant
NZ_VRQA01000002.1	GCA_027205245.1	redundant
NZ_VRQX01000001.1	GCA_027205245.1	redundant
DAKZKK010000001.1	GCA_027205245.1	redundant
DAKZLX010000030.1	GCA_027205245.1	redundant
DADJQZ010000003.1	GCA_027205245.1	redundant
DAKZOU010000001.1	GCA_027205245.1	redundant
DANEIQ010000006.1	GCA_027205245.1	redundant
DAKZRQ010000003.1	GCA_027205245.1	redundant
NZ_VRPI01000001.1	GCA_027205245.1	redundant
DAHISJ010000134.1	GCA_027205245.1	redundant
DAKZKB010000001.1	GCA_027205245.1	redundant
DAKZLR010000003.1	GCA_027205245.1	redundant
DADJMD010000001.1	GCA_027205245.1	redundant
DAKZOR010000001.1	GCA_027205245.1	redundant
DAKZRC010000002.1	GCA_027205245.1	redundant
DAHHYB010000001.1	GCA_027205245.1	redundant
DAKZJV010000032.1	GCA_027205245.1	redundant
DAKZLL010000001.1	GCA_027205245.1	redundant
DANEFC010000003.1	GCA_027205245.1	redundant
DADJKP010000001.1	GCA_027205245.1	redundant
DAKZOH010000050.1	GCA_027205245.1	redundant
DADOUA010000015.1	GCA_027205245.1	redundant
DAKZQO010000002.1	GCA_027205245.1	redundant
DARPTO010000002.1	GCA_027205245.1	redundant
DAPWNI010000003.1	GCA_027205245.1	redundant
NZ_VRQE01000143.1	GCA_027205245.1	redundant
NZ_OFWE01000031.1	GCA_027205245.1	redundant
NZ_VRPQ01000003.1	GCA_027205245.1	redundant
NZ_OFVJ01000043.1	GCA_027205245.1	redundant
NZ_VRQK01000024.1	GCA_027205245.1	redundant
NZ_VRQT01000033.1	GCA_027205245.1	redundant
DAKZIQ010000001.1	GCA_027205245.1	redundant
DAKZLJ010000001.1	GCA_027205245.1	redundant
DADJHL010000028.1	GCA_027205245.1	redundant
DAKZON010000001.1	GCA_027205245.1	redundant
DADOLO010000049.1	GCA_027205245.1	redundant
DAKZQG010000003.1	GCA_027205245.1	redundant
DAKZLF010000001.1	GCA_027205245.1	redundant
DACMOU010000001.1	GCA_027205245.1	redundant
DAKZNR010000003.1	GCA_027205245.1	redundant
DADOLC010000001.1	GCA_027205245.1	redundant
DAKZQA010000002.1	GCA_027205245.1	redundant
DAKZLC010000001.1	GCA_027205245.1	redundant
DACMNR010000002.1	GCA_027205245.1	redundant
DAKZNN010000001.1	GCA_027205245.1	redundant
DADKEN010000046.1	GCA_027205245.1	redundant
DAKZPW010000001.1	GCA_027205245.1	redundant
DAKZKY010000001.1	GCA_027205245.1	redundant
DAKZNM010000001.1	GCA_027205245.1	redundant
DADKAU010000001.1	GCA_027205245.1	redundant
DAKZPT010000003.1	GCA_027205245.1	redundant
DAKZSW010000001.1	GCA_027205245.1	redundant
DAKZKS010000002.1	GCA_027205245.1	redundant
DAKZMR010000001.1	GCA_027205245.1	redundant
DANEHA010000001.1	GCA_027205245.1	redundant
DADKAF010000036.1	GCA_027205245.1	redundant
DAKZPR010000001.1	GCA_027205245.1	redundant
DAKZSP010000001.1	GCA_027205245.1	redundant
DAKZKO010000001.1	GCA_027205245.1	redundant
DAKZMQ010000003.1	GCA_027205245.1	redundant
DADJZC010000010.1	GCA_027205245.1	redundant
DAKZPC010000001.1	GCA_027205245.1	redundant
DAKZRZ010000001.1	GCA_027205245.1	redundant
DAKZQI010000001.1	GCA_027205245.1	redundant
NZ_VRQU01000001.1	GCA_027205245.1	redundant
DALOJZ010000001.1	GCA_027205245.1	redundant
DAKZOV010000001.1	GCA_027205245.1	redundant
DAKZNI010000014.1	GCA_027205245.1	redundant
DAKZKM010000001.1	GCA_027205245.1	redundant
DAKZML010000003.1	GCA_027205245.1	redundant
DADJUS010000002.1	GCA_027205245.1	redundant
DAKZPB010000002.1	GCA_027205245.1	redundant
DAKZRU010000001.1	GCA_027205245.1	redundant
DAHJGZ010000155.1	GCA_027205245.1	redundant
DAKZKI010000001.1	GCA_027205245.1	redundant
DAKZLT010000001.1	GCA_027205245.1	redundant
DANEFG010000001.1	GCA_027205245.1	redundant
DADJSM010000044.1	GCA_027205245.1	redundant
DAEGIZ010000004.1	GCA_027205245.1	redundant
DAKZRS010000002.1	GCA_027205245.1	redundant
NZ_VRPJ01000001.1	GCA_027205245.1	redundant
NZ_OFUT01000048.1	GCA_027205245.1	redundant
NZ_JAZGPH010000001.1	GCA_027205245.1	redundant
DAKZKD010000001.1	GCA_027205245.1	redundant
DAKZLQ010000113.1	GCA_027205245.1	redundant
DANEFA010000003.1	GCA_027205245.1	redundant
DADJNK010000056.1	GCA_027205245.1	redundant
DAKZOS010000001.1	GCA_027205245.1	redundant
DAKZRF010000001.1	GCA_027205245.1	redundant
DAHIIE010000158.1	GCA_027205245.1	redundant
DAKZJY010000028.1	GCA_027205245.1	redundant
DAKZLO010000001.1	GCA_027205245.1	redundant
DANEFB010000001.1	GCA_027205245.1	redundant
DADJLQ010000030.1	GCA_027205245.1	redundant
DAKZOM010000001.1	GCA_027205245.1	redundant
DADOWV010000001.1	GCA_027205245.1	redundant
DAKZQN010000040.1	GCA_027205245.1	redundant
DAHHPP010000003.1	GCA_027205245.1	redundant
NZ_VRQV01000137.1	GCA_027205245.1	redundant
DAKZIS010000004.1	GCA_027205245.1	redundant
DAKZLM010000003.1	GCA_027205245.1	redundant
DADJJI010000001.1	GCA_027205245.1	redundant
DAKZOP010000001.1	GCA_027205245.1	redundant
NZ_NAIV01000097.1	GCA_027205245.1	redundant
DADOPC010000011.1	GCA_027205245.1	redundant
DAKZLD010000003.1	GCA_027205245.1	redundant
DANEEA010000001.1	GCA_027205245.1	redundant
DAKZOG010000001.1	GCA_027205245.1	redundant
DADOLA010000001.1	GCA_027205245.1	redundant
DAKZQC010000003.1	GCA_027205245.1	redundant
NZ_VRQJ01000030.1	GCA_027205245.1	redundant
DAKZLG010000001.1	GCA_027205245.1	redundant
DACMOH010000001.1	GCA_027205245.1	redundant
DAKZNS010000001.1	GCA_027205245.1	redundant
DADKEV010000001.1	GCA_027205245.1	redundant
DAKZPZ010000003.1	GCA_027205245.1	redundant
DALNRX010000001.1	GCA_027205245.1	redundant
DAKZKX010000001.1	GCA_027205245.1	redundant
DAKZNO010000003.1	GCA_027205245.1	redundant
DADKCB010000001.1	GCA_027205245.1	redundant
DAKZPV010000001.1	GCA_027205245.1	redundant
DAKZSX010000001.1	GCA_027205245.1	redundant
NZ_VRPY01000001.1	GCA_027205245.1	redundant
DAKZKW010000003.1	GCA_027205245.1	redundant
DAKZNG010000002.1	GCA_027205245.1	redundant
DADKAO010000001.1	GCA_027205245.1	redundant
DAKZPQ010000001.1	GCA_027205245.1	redundant
DAKZSQ010000001.1	GCA_027205245.1	redundant
DAKZKR010000001.1	GCA_027205245.1	redundant
DAKZMU010000001.1	GCA_027205245.1	redundant
DADJZW010000011.1	GCA_027205245.1	redundant
DAKZPD010000001.1	GCA_027205245.1	redundant
DAKZSA010000003.1	GCA_027205245.1	redundant
DAKZKP010000001.1	GCA_027205245.1	redundant
NZ_VRQS01000004.1	GCA_027205245.1	redundant
DAKZMJ010000001.1	GCA_027205245.1	redundant
DADJYF010000011.1	GCA_027205245.1	redundant
DAKZOY010000001.1	GCA_027205245.1	redundant
DAKZRV010000001.1	GCA_027205245.1	redundant
DAHKDC010000163.1	GCA_027205245.1	redundant
DAKZKL010000001.1	GCA_027205245.1	redundant
DAKZMF010000046.1	GCA_027205245.1	redundant
DADJTF010000002.1	GCA_027205245.1	redundant
DAKZOW010000001.1	GCA_027205245.1	redundant
DAEGJM010000001.1	GCA_027205245.1	redundant
DAKZRR010000004.1	GCA_027205245.1	redundant
DAHIXJ010000001.1	GCA_027205245.1	redundant
DAKZKH010000002.1	GCA_027205245.1	redundant
DAKZLS010000001.1	GCA_027205245.1	redundant
DADJPI010000002.1	GCA_027205245.1	redundant
DAKZOT010000001.1	GCA_027205245.1	redundant
DAKZRD010000001.1	GCA_027205245.1	redundant
DAHINM010000024.1	GCA_027205245.1	redundant
DAKZJZ010000003.1	GCA_027205245.1	redundant
DAKZLN010000001.1	GCA_027205245.1	redundant
DANEFE010000002.1	GCA_027205245.1	redundant
DADJMF010000001.1	GCA_027205245.1	redundant
DAKZOQ010000001.1	GCA_027205245.1	redundant
DADOYG010000001.1	GCA_027205245.1	redundant
DAKZQW010000044.1	GCA_027205245.1	redundant
DAHHQY010000001.1	GCA_027205245.1	redundant
DAKZIR010000001.1	GCA_027205245.1	redundant
DAKZLK010000001.1	GCA_027205245.1	redundant
DADJKI010000023.1	GCA_027205245.1	redundant
DAKZOJ010000001.1	GCA_027205245.1	redundant
DADOUF010000012.1	GCA_027205245.1	redundant
DAKZQK010000001.1	GCA_027205245.1	redundant
DAKZIM010000002.1	GCA_027205245.1	redundant
NC_017338.2	GCA_027205245.1	redundant
DAKZLE010000001.1	GCA_027205245.1	redundant
DADJGJ010000002.1	GCA_027205245.1	redundant
DAKZOL010000009.1	GCA_027205245.1	redundant
DADOLM010000004.1	GCA_027205245.1	redundant
DAKZQB010000003.1	GCA_027205245.1	redundant
DAKZLB010000002.1	GCA_027205245.1	redundant
DACMOO010000001.1	GCA_027205245.1	redundant
DAKZNQ010000003.1	GCA_027205245.1	redundant
DADOKP010000070.1	GCA_027205245.1	redundant
DAKZPY010000001.1	GCA_027205245.1	redundant
DANIRA010000001.1	GCA_027205245.1	redundant
DANEEC010000001.1	GCA_027205245.1	redundant
DANEIA010000001.1	GCA_027205245.1	redundant
DARNGD010000001.1	GCA_027205245.1	redundant
DALOHR010000001.1	GCA_027205245.1	redundant
DANEFK010000001.1	GCA_027205245.1	redundant
DAMKHG010000001.1	GCA_027205245.1	redundant
DALROA010000001.1	GCA_027205245.1	redundant
DANEHX010000001.1	GCA_027205245.1	redundant
DARNGB010000001.1	GCA_027205245.1	redundant
DAMSWT010000006.1	GCA_027205245.1	redundant
DALNXR010000001.1	GCA_027205245.1	redundant
DANEFI010000001.1	GCA_027205245.1	redundant
DANEDX010000003.1	GCA_027205245.1	redundant
DANEHJ010000001.1	GCA_027205245.1	redundant
DANNQL010000001.1	GCA_027205245.1	redundant
DANEFF010000001.1	GCA_027205245.1	redundant
DAMFFB010000001.1	GCA_027205245.1	redundant
DANEHG010000001.1	GCA_027205245.1	redundant
DANISB010000001.1	GCA_027205245.1	redundant
DANEEZ010000001.1	GCA_027205245.1	redundant
DANEIF010000001.1	GCA_027205245.1	redundant
DANEHD010000003.1	GCA_027205245.1	redundant
DANIRG010000001.1	GCA_027205245.1	redundant
NZ_VRPR01000001.1	GCA_027205245.1	redundant
DAQANQ010000001.1	GCA_027205245.1	redundant
DANEIG010000001.1	GCA_027205245.1	redundant
DANEGZ010000001.1	GCA_027205245.1	redundant
DANEEB010000001.1	GCA_027205245.1	redundant
DANEHY010000001.1	GCA_027205245.1	redundant
DARNGE010000002.1	GCA_027205245.1	redundant
DALOBF010000001.1	GCA_027205245.1	redundant
DANEFL010000001.1	GCA_027205245.1	redundant
DAMKDX010000001.1	GCA_027205245.1	redundant
DANEDZ010000001.1	GCA_027205245.1	redundant
DANEHW010000001.1	GCA_027205245.1	redundant
DALNWO010000001.1	GCA_027205245.1	redundant
DANEFH010000001.1	GCA_027205245.1	redundant
DANEIS010000001.1	GCA_027205245.1	redundant
DANEDY010000001.1	GCA_027205245.1	redundant
DANEHI010000001.1	GCA_027205245.1	redundant
DANEFD010000001.1	GCA_027205245.1	redundant
DANEIH010000001.1	GCA_027205245.1	redundant
DAMULI010000002.1	GCA_027205245.1	redundant
DANEHE010000001.1	GCA_027205245.1	redundant
DANIRR010000001.1	GCA_027205245.1	redundant
DANEID010000001.1	GCA_027205245.1	redundant
DANIRD010000001.1	GCA_027205245.1	redundant
DANEIC010000001.1	GCA_027205245.1	redundant
DARNGC010000001.1	GCA_027205245.1	redundant
DANEFM010000001.1	GCA_027205245.1	redundant
DAMKIU010000001.1	GCA_027205245.1	redundant
DANEED010000001.1	GCA_027205245.1	redundant
DANEHZ010000001.1	GCA_027205245.1	redundant
DARNGA010000003.1	GCA_027205245.1	redundant
DAMSWU010000001.1	GCA_027205245.1	redundant
DALNZO010000001.1	GCA_027205245.1	redundant
NZ_VRQM01000002.1	GCA_027205245.1	redundant
DANEFJ010000001.1	GCA_027205245.1	redundant
DAMKBB010000001.1	GCA_027205245.1	redundant
DANEDW010000001.1	GCA_027205245.1	redundant
DAPUAQ010000008.1	GCA_027205245.1	redundant
DANEHV010000001.1	GCA_027205245.1	redundant
DANEIR010000003.1	GCA_027205245.1	redundant
DAMGAG010000001.1	GCA_027205245.1	redundant
DANEHH010000001.1	GCA_027205245.1	redundant
DANEIE010000001.1	GCA_027205245.1	redundant
DAMULH010000042.1	GCA_027205245.1	redundant
DANEHF010000001.1	GCA_027205245.1	redundant
DANIRL010000001.1	GCA_027205245.1	redundant
NZ_VRPX01000002.1	GCA_027205245.1	redundant
DANEIB010000001.1	GCA_027205245.1	redundant
DARPRO010000001.1	GCA_027205245.1	redundant
DAKZLA010000001.1	GCA_027205245.1	redundant
DAKZNP010000002.1	GCA_027205245.1	redundant
DADKDI010000001.1	GCA_027205245.1	redundant
DAKZPU010000002.1	GCA_027205245.1	redundant
DAKZSZ010000001.1	GCA_027205245.1	redundant
DAKZKV010000001.1	GCA_027205245.1	redundant
DADKAL010000002.1	GCA_027205245.1	redundant
DAKZPS010000001.1	GCA_027205245.1	redundant
DAKZSV010000005.1	GCA_027205245.1	redundant
DAKZKU010000001.1	GCA_027205245.1	redundant
DALRFK010000003.1	GCA_027288085.1	dereplication_representative
NZ_OGAE01000010.1	GCA_027288085.1	redundant
DALRGA010000003.1	GCA_027288085.1	redundant
NZ_OFZL01000032.1	GCA_027288085.1	redundant
DAHIUW010000006.1	GCA_027288085.1	redundant
DALTIT010000004.1	GCA_027476635.1	dereplication_representative
DAMUBR010000002.1	GCA_027978025.1	dereplication_representative
DAMUCJ010000005.1	GCA_027978025.1	redundant
DAMUKI010000001.1	GCA_027978025.1	redundant
DAMUGF010000005.1	GCA_027978025.1	redundant
DAMUKG010000086.1	GCA_027978025.1	redundant
DAMUGH010000002.1	GCA_027978025.1	redundant
DAMUNC010000003.1	GCA_027978025.1	redundant
DAMUGG010000005.1	GCA_027978025.1	redundant
DAPAKR010000005.1	GCA_030889165.1	dereplication_representative
DAPSBW010000002.1	GCA_031999865.1	dereplication_representative
DAPVEN010000004.1	GCA_032163345.1	dereplication_representative
DAMRTM010000003.1	GCA_032163345.1	redundant
DAMRUS010000010.1	GCA_032163345.1	redundant
DAPVEU010000002.1	GCA_032163345.1	redundant
DAQDBG010000028.1	GCA_032163345.1	redundant
JAWEBE010000030.1	GCA_032475195.1	dereplication_representative
NZ_JALCXD010000003.1	GCA_032475195.1	readded_by_cluster_content
NZ_JAKRKF010000002.1	GCA_032475195.1	redundant
NZ_JALCXC010000001.1	GCA_032475195.1	redundant
NZ_JALCXG010000029.1	GCA_032475195.1	redundant
NZ_JASOVA010000003.1	GCA_032475195.1	redundant
JAMAXP010000002.1	GCA_032475195.1	redundant
NZ_JACMRY010000002.1	GCA_032475195.1	redundant
NZ_CP041726.1	GCA_032475195.1	redundant
NZ_KV831174.1	GCA_032475195.1	redundant
NZ_GL622352.1	GCA_032475195.1	redundant
NZ_KV799542.1	GCA_032475195.1	redundant
NZ_JAHMMV010000001.1	GCA_032475195.1	redundant
JAWFMI010000001.1	GCA_032475195.1	redundant
NZ_AP021848.1	GCA_032475195.1	redundant
NZ_JAKRKJ010000001.1	GCA_032475195.1	redundant
NZ_KV830854.1	GCA_032475195.1	redundant
NZ_KV807464.1	GCA_032475195.1	redundant
NZ_KV795710.1	GCA_032475195.1	redundant
NZ_JAKRKN010000001.1	GCA_032475195.1	redundant
JAWEKW010000087.1	GCA_032475195.1	redundant
NZ_JAKRKK010000002.1	GCA_032475195.1	redundant
NZ_KV812761.1	GCA_032475195.1	redundant
JAWFOB010000309.1	GCA_032512225.1	dereplication_representative
JAWHHQ010000094.1	GCA_032564175.1	dereplication_representative
NZ_JAKRKE010000003.1	GCA_032564175.1	redundant
NZ_CP048007.1	GCA_032564175.1	redundant
NZ_JALCXF010000004.1	GCA_032564175.1	redundant
NZ_JALXXQ010000002.1	GCA_032564175.1	redundant
NZ_JASOVG010000003.1	GCA_032564175.1	redundant
NZ_CP048713.1	GCA_032564175.1	redundant
NZ_JAMKQG010000003.1	GCA_032564175.1	redundant
NZ_CP084437.1	GCA_032564175.1	redundant
NZ_JASOFG010000002.1	GCA_032564175.1	redundant
NZ_CP084444.1	GCA_032564175.1	redundant
NZ_JALCXE010000017.1	GCA_032564175.1	redundant
NZ_CP084480.1	GCA_032564175.1	redundant
NZ_JASOZB010000001.1	GCA_032564175.1	redundant
NZ_KV831395.1	GCA_032564175.1	redundant
NZ_JALCXP010000002.1	GCA_032564175.1	redundant
NZ_CP060160.1	GCA_032564175.1	redundant
NZ_KV830673.1	GCA_032564175.1	redundant
NZ_JALCXW010000003.1	GCA_032564175.1	redundant
NZ_CP063143.1	GCA_032564175.1	redundant
NZ_KV828746.1	GCA_032564175.1	redundant
NZ_CP017069.2	GCA_032564175.1	redundant
NZ_KV814444.1	GCA_032564175.1	redundant
NZ_JAKRKU010000001.1	GCA_032564175.1	redundant
NZ_KV840939.1	GCA_032564175.1	redundant
NZ_SCHB01000003.1	GCA_032564175.1	redundant
NZ_JAKRKI010000001.1	GCA_032564175.1	redundant
NZ_KQ957362.1	GCA_032564175.1	redundant
NZ_KV831559.1	GCA_032564175.1	redundant
NZ_QVUS01000003.1	GCA_032564175.1	redundant
NZ_JIBR01000012.1	GCA_032564175.1	redundant
NZ_JALCXU010000001.1	GCA_032564175.1	redundant
NZ_KV828982.1	GCA_032564175.1	redundant
NZ_CP023539.1	GCA_032564175.1	redundant
NZ_JALCXV010000001.1	GCA_032564175.1	redundant
NZ_KV817162.1	GCA_032564175.1	redundant
NZ_KV794617.1	GCA_032564175.1	redundant
NZ_JAKRKT010000002.1	GCA_032564175.1	redundant
NZ_CP038807.1	GCA_032564175.1	redundant
NZ_KV840817.1	GCA_032564175.1	redundant
NZ_JALCXR010000002.1	GCA_032564175.1	redundant
NZ_CP020762.1	GCA_032564175.1	redundant
NZ_CP014022.1	GCA_032564175.1	redundant
NZ_KI978395.1	GCA_032564175.1	redundant
NZ_KV830292.1	GCA_032564175.1	redundant
NZ_CP023970.1	GCA_032564175.1	redundant
NZ_AHLK01000012.1	GCA_032564175.1	redundant
NZ_KV831596.1	GCA_032564175.1	redundant
NZ_KV828025.1	GCA_032564175.1	redundant
NZ_JAKEZL010000001.1	GCA_032564175.1	redundant
DAROYN010000002.1	GCA_033780795.1	dereplication_representative
NZ_CCEL01000003.1	GCF_000751255.1	dereplication_representative
NZ_JADAMT010000002.1	GCF_000751255.1	redundant
NZ_LR134304.1	GCF_000751255.1	redundant
NZ_PPQS01000039.1	GCF_000751255.1	redundant
LATV01000010.1	GCF_000972575.1	dereplication_representative
NZ_JAESML010000031.1	GCF_000972575.1	redundant
LATU01000003.1	GCF_000972575.1	redundant
NZ_LRMY01000020.1	GCF_001639785.1	dereplication_representative
NZ_JAJUES010000002.1	GCF_001639785.1	redundant
NZ_JAANBZ010000006.1	GCF_001639785.1	redundant
NZ_FMRE01000002.1	GCF_001639785.1	redundant
NZ_JAANBM010000017.1	GCF_001639785.1	redundant
NZ_JZIQ01000002.1	GCF_001639785.1	redundant
NZ_QFCZ01000002.1	GCF_001639785.1	redundant
NZ_WOCW01000002.1	GCF_001639785.1	redundant
NZ_JAHCPF010000002.1	GCF_001639785.1	redundant
NZ_JAVRXV010000004.1	GCF_001639785.1	redundant
NC_007622.1	GCF_001639785.1	redundant
NZ_WOCL01000002.1	GCF_001639785.1	redundant
NZ_JAHCPN010000002.1	GCF_001639785.1	redundant
NZ_WOCG01000002.1	GCF_001639785.1	redundant
NZ_JAANBP010000018.1	GCF_001639785.1	redundant
NZ_FMQX01000001.1	GCF_001639785.1	redundant
FMSB01000003.1	GCF_001639785.1	redundant
NZ_JAASOT010000010.1	GCF_001639785.1	redundant
NZ_SZZE01000001.1	GCF_001639785.1	redundant
NZ_JAHCON010000005.1	GCF_001639785.1	redundant
NZ_JAANBE010000014.1	GCF_001639785.1	redundant
NZ_FMRH01000002.1	GCF_001639785.1	redundant
NZ_JAHCOU010000002.1	GCF_001639785.1	redundant
NZ_JAANBH010000004.1	GCF_001639785.1	redundant
NZ_FMRF01000002.1	GCF_001639785.1	redundant
NZ_WOCS01000003.1	GCF_001639785.1	redundant
NZ_JAHCPG010000002.1	GCF_001639785.1	redundant
NZ_FMRD01000003.1	GCF_001639785.1	redundant
NZ_WOCO01000002.1	GCF_001639785.1	redundant
NZ_JAHCPP010000002.1	GCF_001639785.1	redundant
NZ_JAANBT010000017.1	GCF_001639785.1	redundant
NZ_FMQY01000003.1	GCF_001639785.1	redundant
NZ_SZYZ01000003.1	GCF_001639785.1	redundant
NZ_JZIP01000002.1	GCF_001639785.1	redundant
NZ_QFCY01000002.1	GCF_001639785.1	redundant
NZ_FMQV01000002.1	GCF_001639785.1	redundant
NZ_SZYW01000012.1	GCF_001639785.1	redundant
NZ_JAANBX010000004.1	GCF_001639785.1	redundant
