representative	cluster_size
GCF_000308415.1_ASM30841v1_genomic.fna.gz	2
GCF_000308435.1_ASM30843v1_genomic.fna.gz	1
GCF_000308455.1_ASM30845v1_genomic.fna.gz	3
GCF_000308475.2_ASM30847v2_genomic.fna.gz	5
GCF_000308575.1_ASM30857v1_genomic.fna.gz	1
GCF_000308595.1_ASM30859v1_genomic.fna.gz	1
GCF_000308695.1_ASM30869v1_genomic.fna.gz	1
GCF_000308755.1_ASM30875v1_genomic.fna.gz	1
GCF_000308815.1_ASM30881v1_genomic.fna.gz	1
GCF_000308835.1_ASM30883v1_genomic.fna.gz	1
GCF_000308875.1_ASM30887v1_genomic.fna.gz	2
GCF_000331005.1_Sturgcar8v1.0_genomic.fna.gz	12
GCF_000340415.1_Amycolatopsis_azurea_genomic.fna.gz	1
GCF_000340985.1_genetic_mechanisms_of_environmental_adaptability_genomic.fna.gz	1
GCF_000341005.1_SOAPdenovo_v1.06_genomic.fna.gz	1
GCF_000341065.1_SOAPdenovo_v1.06_genomic.fna.gz	1
GCF_000341085.1_SOAPdenovo_v1.06_genomic.fna.gz	1
GCF_000341245.1_SOAPdenovo_v1.06_genomic.fna.gz	1
GCF_000342005.1_Whole_genome_assembly_genomic.fna.gz	1
GCF_000349325.1_ASM34932v1_genomic.fna.gz	1
GCF_000367365.1_ASM36736v1_genomic.fna.gz	1
GCF_000371785.1_ASM37178v1_genomic.fna.gz	1
GCF_000373625.1_ASM37362v1_genomic.fna.gz	1
GCF_000374445.1_ASM37444v1_genomic.fna.gz	2
GCF_000376565.1_ASM37656v1_genomic.fna.gz	1
GCF_000379465.1_ASM37946v1_genomic.fna.gz	1
GCF_000381025.1_ASM38102v1_genomic.fna.gz	1
GCF_000381885.1_ASM38188v1_genomic.fna.gz	1
GCF_000383615.1_ASM38361v1_genomic.fna.gz	1
GCF_000383655.1_ASM38365v1_genomic.fna.gz	1
GCF_000383795.1_ASM38379v1_genomic.fna.gz	1
GCF_000384215.1_ASM38421v1_genomic.fna.gz	1
GCF_000384315.1_ASM38431v1_genomic.fna.gz	2
GCF_000411315.1_Stre_sp_HGB0020_V1_genomic.fna.gz	1
GCF_000415505.1_STAFG_genomic.fna.gz	3
GCF_000429025.1_ASM42902v1_genomic.fna.gz	1
GCF_000429085.1_ASM42908v1_genomic.fna.gz	1
GCF_000473265.1_ASM47326v1_genomic.fna.gz	1
GCF_000482385.1_ASM48238v1_genomic.fna.gz	1
GCF_000497445.1_S.roseochromogenes_v1_genomic.fna.gz	1
GCF_000503735.2_CcI6_genomic.fna.gz	10
GCF_000514435.1_ASM51443v1_genomic.fna.gz	2
GCF_000514675.1_ASM51467v1_genomic.fna.gz	2
GCF_000514775.1_ASM51477v1_genomic.fna.gz	2
GCF_000514815.1_ASM51481v1_genomic.fna.gz	1
GCF_000518265.1_ASM51826v1_genomic.fna.gz	1
GCF_000695625.1_ASM69562v1_genomic.fna.gz	1
GCF_000716435.1_ASM71643v1_genomic.fna.gz	1
GCF_000716545.1_ASM71654v1_genomic.fna.gz	1
GCF_000716685.1_ASM71668v1_genomic.fna.gz	8
GCF_000716755.1_ASM71675v1_genomic.fna.gz	4
GCF_000717105.1_ASM71710v1_genomic.fna.gz	5
GCF_000717715.1_ASM71771v1_genomic.fna.gz	1
GCF_000717745.1_ASM71774v1_genomic.fna.gz	1
GCF_000717815.1_ASM71781v1_genomic.fna.gz	2
GCF_000717995.1_ASM71799v1_genomic.fna.gz	1
GCF_000718095.1_ASM71809v1_genomic.fna.gz	2
GCF_000718305.1_ASM71830v1_genomic.fna.gz	1
GCF_000718525.1_ASM71852v1_genomic.fna.gz	1
GCF_000718555.1_ASM71855v1_genomic.fna.gz	1
GCF_000718635.1_ASM71863v1_genomic.fna.gz	3
GCF_000718675.1_ASM71867v1_genomic.fna.gz	4
GCF_000718755.1_ASM71875v1_genomic.fna.gz	2
GCF_000719335.1_ASM71933v1_genomic.fna.gz	1
GCF_000719345.1_ASM71934v1_genomic.fna.gz	1
GCF_000719555.1_ASM71955v1_genomic.fna.gz	1
GCF_000719605.1_ASM71960v1_genomic.fna.gz	1
GCF_000719775.1_ASM71977v1_genomic.fna.gz	1
GCF_000720115.1_ASM72011v1_genomic.fna.gz	1
GCF_000720135.1_ASM72013v1_genomic.fna.gz	2
GCF_000720175.1_ASM72017v1_genomic.fna.gz	1
GCF_000720185.1_ASM72018v1_genomic.fna.gz	1
GCF_000720255.1_ASM72025v1_genomic.fna.gz	1
GCF_000720265.1_ASM72026v1_genomic.fna.gz	1
GCF_000720325.1_ASM72032v1_genomic.fna.gz	1
GCF_000720635.1_ASM72063v1_genomic.fna.gz	1
GCF_000720725.1_ASM72072v1_genomic.fna.gz	2
GCF_000720795.1_ASM72079v1_genomic.fna.gz	2
GCF_000721105.1_ASM72110v1_genomic.fna.gz	2
GCF_000721265.1_ASM72126v1_genomic.fna.gz	1
GCF_000721305.1_ASM72130v1_genomic.fna.gz	1
GCF_000721345.1_ASM72134v1_genomic.fna.gz	1
GCF_000721365.1_ASM72136v1_genomic.fna.gz	1
GCF_000721495.1_ASM72149v1_genomic.fna.gz	1
GCF_000721935.1_ASM72193v1_genomic.fna.gz	1
GCF_000725465.1_Doro.v1.0_genomic.fna.gz	2
GCF_000725495.1_Doro.v1.0_genomic.fna.gz	1
GCF_000725565.1_Doro.v1.0_genomic.fna.gz	3
GCF_000725655.1_Doro.v1.0_genomic.fna.gz	2
GCF_000725815.1_Doro.v1.0_genomic.fna.gz	1
GCF_000738695.1_ASM73869v1_genomic.fna.gz	2
GCF_000739045.1_ASM73904v1_genomic.fna.gz	1
GCF_000743295.1_ASM74329v1_genomic.fna.gz	1
GCF_000744785.1_ASM74478v1_genomic.fna.gz	1
GCF_000744815.1_ASM74481v1_genomic.fna.gz	1
GCF_000749465.2_ASM74946v3_genomic.fna.gz	3
GCF_000754115.1_ASM75411v1_genomic.fna.gz	1
GCF_000787755.1_ASM78775v1_genomic.fna.gz	2
GCF_000816025.1_ASM81602v1_genomic.fna.gz	1
GCF_000816485.1_ASM81648v1_genomic.fna.gz	1
GCF_000818175.1_ASM81817v1_genomic.fna.gz	1
GCF_000829715.2_ASM82971v2_genomic.fna.gz	2
GCF_000830005.1_ASM83000v1_genomic.fna.gz	2
GCF_000836635.1_ASM83663v1_genomic.fna.gz	2
GCF_000931445.1_ASM93144v1_genomic.fna.gz	1
GCF_000935135.2_ASM93513v2_genomic.fna.gz	1
GCF_000943515.2_ASM94351v2_genomic.fna.gz	1
GCF_000955955.1_ASM95595v1_genomic.fna.gz	1
GCF_000956015.1_ASM95601v1_genomic.fna.gz	2
GCF_000974445.1_ASM97444v1_genomic.fna.gz	3
GCF_000978515.1_ASM97851v1_genomic.fna.gz	17
GCF_001005085.2_ASM100508v2_genomic.fna.gz	2
GCF_001008345.1_ASM100834v1_genomic.fna.gz	3
GCF_001027185.1_ASM102718v1_genomic.fna.gz	1
GCF_001049855.1_Wb2n-11_upgraded_genomic.fna.gz	2
GCF_001187435.1_ASM118743v1_genomic.fna.gz	2
GCF_001189015.1_ASM118901v1_genomic.fna.gz	3
GCF_001190165.1_ASM119016v1_genomic.fna.gz	8
GCF_001190945.1_ASM119094v1_genomic.fna.gz	1
GCF_001270025.1_Sazu_1.0_genomic.fna.gz	1
GCF_001278095.1_ASM127809v1_genomic.fna.gz	1
GCF_001279345.1_ASM127934v1_genomic.fna.gz	1
GCF_001279365.1_ASM127936v1_genomic.fna.gz	2
GCF_001279525.1_ASM127952v1_genomic.fna.gz	1
GCF_001279545.1_ASM127954v1_genomic.fna.gz	2
GCF_001279695.1_ASM127969v1_genomic.fna.gz	1
GCF_001279725.1_ASM127972v1_genomic.fna.gz	2
GCF_001279775.1_ASM127977v1_genomic.fna.gz	1
GCF_001280095.1_ASM128009v1_genomic.fna.gz	2
GCF_001294335.1_ASM129433v1_genomic.fna.gz	1
GCF_001306465.1_ASM130646v1_genomic.fna.gz	2
GCF_001417695.1_ASM141769v1_genomic.fna.gz	2
GCF_001418325.1_ASM141832v1_genomic.fna.gz	1
GCF_001418465.1_ASM141846v1_genomic.fna.gz	4
GCF_001418475.1_ASM141847v1_genomic.fna.gz	1
GCF_001418565.1_ASM141856v1_genomic.fna.gz	1
GCF_001418575.1_ASM141857v1_genomic.fna.gz	1
GCF_001418655.1_ASM141865v1_genomic.fna.gz	1
GCF_001419685.1_ASM141968v1_genomic.fna.gz	2
GCF_001419745.1_ASM141974v1_genomic.fna.gz	1
GCF_001419765.1_ASM141976v1_genomic.fna.gz	1
GCF_001419795.1_ASM141979v1_genomic.fna.gz	4
GCF_001420995.1_ASM142099v1_genomic.fna.gz	2
GCF_001425805.1_Root369_genomic.fna.gz	1
GCF_001426405.1_Root1304_genomic.fna.gz	2
GCF_001426585.1_Root431_genomic.fna.gz	1
GCF_001429805.1_Root187_genomic.fna.gz	2
GCF_001445655.1_ASM144565v1_genomic.fna.gz	1
GCF_001445835.1_ASM144583v1_genomic.fna.gz	2
GCF_001493375.1_Streptomyces_specialis_genomic.fna.gz	1
GCF_001509475.1_ASM150947v1_genomic.fna.gz	2
GCF_001509795.1_ASM150979v1_genomic.fna.gz	4
GCF_001513965.1_ASM151396v1_genomic.fna.gz	2
GCF_001513985.1_ASM151398v1_genomic.fna.gz	1
GCF_001514045.1_ASM151404v1_genomic.fna.gz	1
GCF_001514055.1_ASM151405v1_genomic.fna.gz	3
GCF_001514115.1_ASM151411v1_genomic.fna.gz	2
GCF_001514145.1_ASM151414v1_genomic.fna.gz	2
GCF_001514195.1_ASM151419v1_genomic.fna.gz	1
GCF_001514215.1_ASM151421v1_genomic.fna.gz	1
GCF_001514235.1_ASM151423v1_genomic.fna.gz	1
GCF_001514265.1_ASM151426v1_genomic.fna.gz	2
GCF_001514285.1_ASM151428v1_genomic.fna.gz	1
GCF_001514305.1_ASM151430v1_genomic.fna.gz	1
GCF_001536285.1_IMG-taxon_2634166352_annotated_assembly_genomic.fna.gz	2
GCF_001542325.1_ASM154232v1_genomic.fna.gz	2
GCF_001543895.1_ASM154389v1_genomic.fna.gz	2
GCF_001552555.1_ASM155255v1_genomic.fna.gz	1
GCF_001552635.1_ASM155263v1_genomic.fna.gz	1
GCF_001570645.1_ASM157064v1_genomic.fna.gz	9
GCF_001590865.1_ASM159086v1_genomic.fna.gz	1
GCF_001612635.1_ASM161263v1_genomic.fna.gz	3
GCF_001612665.1_ASM161266v1_genomic.fna.gz	2
GCF_001612725.1_ASM161272v1_genomic.fna.gz	1
GCF_001612745.1_ASM161274v1_genomic.fna.gz	1
GCF_001612785.1_ASM161278v1_genomic.fna.gz	1
GCF_001613105.1_ASM161310v1_genomic.fna.gz	1
GCF_001613325.1_ASM161332v1_genomic.fna.gz	1
GCF_001613425.1_ASM161342v1_genomic.fna.gz	2
GCF_001613505.1_ASM161350v1_genomic.fna.gz	1
GCF_001613525.1_ASM161352v1_genomic.fna.gz	2
GCF_001620365.2_ASM162036v2_genomic.fna.gz	1
GCF_001625105.1_ASM162510v1_genomic.fna.gz	4
GCF_001632865.1_ASM163286v1_genomic.fna.gz	2
GCF_001636565.1_ASM163656v1_genomic.fna.gz	1
GCF_001646665.1_ASM164666v1_genomic.fna.gz	1
GCF_001647195.1_ASM164719v1_genomic.fna.gz	1
GCF_001651785.1_ASM165178v1_genomic.fna.gz	3
GCF_001653115.1_ASM165311v1_genomic.fna.gz	5
GCF_001653515.1_ASM165351v1_genomic.fna.gz	1
GCF_001665695.1_ASM166569v1_genomic.fna.gz	10
GCF_001687325.1_ASM168732v1_genomic.fna.gz	1
GCF_001700515.1_ASM170051v1_genomic.fna.gz	1
GCF_001701025.1_ASM170102v1_genomic.fna.gz	1
GCF_001735805.1_ASM173580v1_genomic.fna.gz	1
GCF_001746285.1_ASM174628v1_genomic.fna.gz	8
GCF_001746295.1_ASM174629v1_genomic.fna.gz	1
GCF_001746365.1_ASM174636v1_genomic.fna.gz	2
GCF_001748085.1_ASM174808v1_genomic.fna.gz	1
GCF_001751345.1_ASM175134v1_genomic.fna.gz	2
GCF_001853625.1_ASM185362v1_genomic.fna.gz	2
GCF_001866665.1_ASM186666v1_genomic.fna.gz	1
GCF_001896135.2_ASM189613v2_genomic.fna.gz	1
GCF_001905065.1_ASM190506v1_genomic.fna.gz	2
GCF_001905345.1_ASM190534v1_genomic.fna.gz	1
GCF_001905365.1_ASM190536v1_genomic.fna.gz	3
GCF_001905425.1_ASM190542v1_genomic.fna.gz	1
GCF_001905465.1_ASM190546v1_genomic.fna.gz	1
GCF_001905575.1_ASM190557v1_genomic.fna.gz	1
GCF_001905705.1_ASM190570v1_genomic.fna.gz	2
GCF_001905735.1_ASM190573v1_genomic.fna.gz	4
GCF_001905885.1_ASM190588v1_genomic.fna.gz	2
GCF_001906585.1_ASM190658v1_genomic.fna.gz	2
GCF_001940455.1_ASM194045v1_genomic.fna.gz	2
GCF_001941275.1_ASM194127v1_genomic.fna.gz	3
GCF_001941285.1_ASM194128v1_genomic.fna.gz	48
GCF_001941645.1_ASM194164v1_genomic.fna.gz	2
GCF_001942305.1_ASM194230v1_genomic.fna.gz	1
GCF_001942325.1_ASM194232v1_genomic.fna.gz	1
GCF_001953885.1_ASM195388v1_genomic.fna.gz	1
GCF_001969965.1_Sparso1.0_genomic.fna.gz	1
GCF_001970135.1_ASM197013v1_genomic.fna.gz	4
GCF_001984155.1_ASM198415v1_genomic.fna.gz	3
GCF_001984575.1_ASM198457v1_genomic.fna.gz	1
GCF_002005565.1_ASM200556v1_genomic.fna.gz	1
GCF_002007125.1_ASM200712v1_genomic.fna.gz	4
GCF_002013375.1_ASM201337v1_genomic.fna.gz	3
GCF_002013385.1_ASM201338v1_genomic.fna.gz	1
GCF_002013685.1_ASM201368v1_genomic.fna.gz	2
GCF_002024165.1_SSNF3.0_genomic.fna.gz	1
GCF_002086715.1_ASM208671v1_genomic.fna.gz	2
GCF_002099185.1_ASM209918v1_genomic.fna.gz	2
GCF_002119195.1_ASM211919v1_genomic.fna.gz	6
GCF_002128305.1_ASM212830v1_genomic.fna.gz	1
GCF_002148965.1_ASM214896v1_genomic.fna.gz	1
GCF_002149035.1_ASM214903v1_genomic.fna.gz	1
GCF_002150765.1_ASM215076v1_genomic.fna.gz	1
GCF_002150845.1_ASM215084v1_genomic.fna.gz	4
GCF_002154345.1_ASM215434v1_genomic.fna.gz	8
GCF_002154575.1_ASM215457v1_genomic.fna.gz	1
GCF_002154605.1_ASM215460v1_genomic.fna.gz	3
GCF_002155725.1_ASM215572v1_genomic.fna.gz	5
GCF_002155765.1_ASM215576v1_genomic.fna.gz	2
GCF_002155975.1_ASM215597v1_genomic.fna.gz	1
GCF_002156005.1_ASM215600v1_genomic.fna.gz	2
GCF_002156095.1_ASM215609v1_genomic.fna.gz	1
GCF_002156145.1_ASM215614v1_genomic.fna.gz	1
GCF_002217715.1_ASM221771v1_genomic.fna.gz	1
GCF_002217755.1_ASM221775v1_genomic.fna.gz	1
GCF_002224125.2_ASM222412v2_genomic.fna.gz	1
GCF_002234605.1_ASM223460v1_genomic.fna.gz	3
GCF_002236815.1_ASM223681v1_genomic.fna.gz	3
GCF_002266845.1_ASM226684v1_genomic.fna.gz	2
GCF_002277855.1_ASM227785v1_genomic.fna.gz	2
GCF_002285795.1_ASM228579v1_genomic.fna.gz	1
GCF_002300165.1_ASM230016v1_genomic.fna.gz	1
GCF_002332385.1_ASM233238v1_genomic.fna.gz	1
GCF_002382885.1_WZ.A104_genomic.fna.gz	1
GCF_002551135.1_ASM255113v1_genomic.fna.gz	1
GCF_002551145.1_ASM255114v1_genomic.fna.gz	1
GCF_002551235.1_ASM255123v1_genomic.fna.gz	9
GCF_002551335.1_ASM255133v1_genomic.fna.gz	2
GCF_002551345.1_ASM255134v1_genomic.fna.gz	2
GCF_002551435.1_ASM255143v1_genomic.fna.gz	1
GCF_002551465.1_ASM255146v1_genomic.fna.gz	7
GCF_002564045.1_ASM256404v1_genomic.fna.gz	1
GCF_002688545.1_ASM268854v1_genomic.fna.gz	1
GCF_002742045.1_ASM274204v1_genomic.fna.gz	2
GCF_002761895.1_ASM276189v1_genomic.fna.gz	1
GCF_002803065.1_ASM280306v1_genomic.fna.gz	2
GCF_002803145.1_ASM280314v1_genomic.fna.gz	2
GCF_002811705.1_ASM281170v2_genomic.fna.gz	2
GCF_002846365.1_ASM284636v1_genomic.fna.gz	1
GCF_002846415.1_ASM284641v1_genomic.fna.gz	1
GCF_002847285.1_ASM284728v1_genomic.fna.gz	1
GCF_002850745.1_ASM285074v1_genomic.fna.gz	1
GCF_002910895.1_ASM291089v1_genomic.fna.gz	2
GCF_002910905.1_ASM291090v1_genomic.fna.gz	2
GCF_002911665.1_ASM291166v1_genomic.fna.gz	2
GCF_002920535.1_ASM292053v1_genomic.fna.gz	1
GCF_002920615.1_ASM292061v1_genomic.fna.gz	3
GCF_002920635.1_ASM292063v1_genomic.fna.gz	1
GCF_002933535.1_ASM293353v1_genomic.fna.gz	2
GCF_002941025.2_ASM294102v2_genomic.fna.gz	1
GCF_002943525.1_ASM294352v1_genomic.fna.gz	1
GCF_002953255.1_ASM295325v1_genomic.fna.gz	1
GCF_002954775.1_ASM295477v1_genomic.fna.gz	1
GCF_002982015.1_ASM298201v1_genomic.fna.gz	1
GCF_002995495.1_ASM299549v1_genomic.fna.gz	1
GCF_003001495.1_ASM300149v1_genomic.fna.gz	1
GCF_003001955.1_ASM300195v1_genomic.fna.gz	1
GCF_003002095.1_ASM300209v1_genomic.fna.gz	1
GCF_003011965.1_ASM301196v1_genomic.fna.gz	1
GCF_003014735.1_ASM301473v1_genomic.fna.gz	2
GCF_003023865.1_ASM302386v1_genomic.fna.gz	3
GCF_003023875.1_ASM302387v1_genomic.fna.gz	1
GCF_003024195.1_ASM302419v1_genomic.fna.gz	1
GCF_003116675.1_ASM311667v1_genomic.fna.gz	1
GCF_003121295.1_ASM312129v1_genomic.fna.gz	2
GCF_003123685.1_ASM312368v1_genomic.fna.gz	2
GCF_003143935.1_ASM314393v1_genomic.fna.gz	1
GCF_003144095.1_ASM314409v1_genomic.fna.gz	1
GCF_003148825.1_ASM314882v1_genomic.fna.gz	1
GCF_003148865.1_ASM314886v1_genomic.fna.gz	2
GCF_003173635.1_ASM317363v1_genomic.fna.gz	1
GCF_003182415.1_ASM318241v1_genomic.fna.gz	4
GCF_003202065.1_ASM320206v1_genomic.fna.gz	3
GCF_003205575.1_ASM320557v1_genomic.fna.gz	1
GCF_003205615.1_ASM320561v1_genomic.fna.gz	1
GCF_003236385.1_ASM323638v1_genomic.fna.gz	2
GCF_003248355.1_ASM324835v1_genomic.fna.gz	2
GCF_003259315.1_ASM325931v1_genomic.fna.gz	1
GCF_003264325.1_ASM326432v1_genomic.fna.gz	5
GCF_003264365.1_ASM326436v1_genomic.fna.gz	8
GCF_003264445.1_ASM326444v1_genomic.fna.gz	1
GCF_003265345.1_ASM326534v1_genomic.fna.gz	1
GCF_003265665.1_ASM326566v1_genomic.fna.gz	3
GCF_003268555.2_ASM326855v2_genomic.fna.gz	5
GCF_003269295.1_ASM326929v1_genomic.fna.gz	1
GCF_003287285.1_ASM328728v1_genomic.fna.gz	1
GCF_003289645.1_ASM328964v1_genomic.fna.gz	1
GCF_003315795.1_ASM331579v1_genomic.fna.gz	2
GCF_003323745.1_ASM332374v1_genomic.fna.gz	1
GCF_003330845.1_ASM333084v1_genomic.fna.gz	2
GCF_003350445.1_ASM335044v1_genomic.fna.gz	2
GCF_003350525.1_ASM335052v1_genomic.fna.gz	2
GCF_003351365.1_ASM335136v1_genomic.fna.gz	1
GCF_003385185.1_ASM338518v1_genomic.fna.gz	1
GCF_003385235.1_ASM338523v1_genomic.fna.gz	1
GCF_003386555.1_ASM338655v1_genomic.fna.gz	2
GCF_003387475.1_ASM338747v1_genomic.fna.gz	5
GCF_003391135.1_ASM339113v1_genomic.fna.gz	1
GCF_003403055.1_ASM340305v1_genomic.fna.gz	1
GCF_003429565.1_ASM342956v1_genomic.fna.gz	1
GCF_003432485.1_ASM343248v1_genomic.fna.gz	1
GCF_003434305.1_ASM343430v1_genomic.fna.gz	2
GCF_003501885.1_ASM350188v1_genomic.fna.gz	2
GCF_003581605.1_ASM358160v1_genomic.fna.gz	2
GCF_003589885.1_ASM358988v1_genomic.fna.gz	1
GCF_003595235.1_ASM359523v1_genomic.fna.gz	1
GCF_003600245.1_ASM360024v1_genomic.fna.gz	1
GCF_003610255.1_ASM361025v1_genomic.fna.gz	2
GCF_003627815.1_ASM362781v1_genomic.fna.gz	1
GCF_003634935.1_ASM363493v1_genomic.fna.gz	1
GCF_003663795.1_ASM366379v1_genomic.fna.gz	1
GCF_003671715.1_ASM367171v1_genomic.fna.gz	1
GCF_003671755.1_ASM367175v1_genomic.fna.gz	1
GCF_003675345.1_ASM367534v1_genomic.fna.gz	3
GCF_003675975.1_ASM367597v1_genomic.fna.gz	1
GCF_003687505.1_ASM368750v1_genomic.fna.gz	9
GCF_003688995.1_ASM368899v1_genomic.fna.gz	1
GCF_003696235.1_ASM369623v1_genomic.fna.gz	1
GCF_003696265.1_ASM369626v1_genomic.fna.gz	1
GCF_003751445.1_ASM375144v1_genomic.fna.gz	2
GCF_003752005.1_ASM375200v1_genomic.fna.gz	1
GCF_003762835.1_ASM376283v1_genomic.fna.gz	1
GCF_003814735.1_ASM381473v1_genomic.fna.gz	6
GCF_003814765.1_ASM381476v1_genomic.fna.gz	1
GCF_003814875.1_ASM381487v1_genomic.fna.gz	1
GCF_003851625.1_ASM385162v1_genomic.fna.gz	2
GCF_003945505.1_ASM394550v1_genomic.fna.gz	1
GCF_003945545.1_ASM394554v1_genomic.fna.gz	1
GCF_003947235.1_ASM394723v1_genomic.fna.gz	2
GCF_003947255.1_ASM394725v1_genomic.fna.gz	2
GCF_003947475.1_ASM394747v1_genomic.fna.gz	2
GCF_003947555.1_ASM394755v1_genomic.fna.gz	8
GCF_003947575.1_ASM394757v1_genomic.fna.gz	1
GCF_003947585.1_ASM394758v1_genomic.fna.gz	1
GCF_003949535.1_ASM394953v1_genomic.fna.gz	1
GCF_003949805.1_ASM394980v1_genomic.fna.gz	1
GCF_003949845.1_ASM394984v1_genomic.fna.gz	1
GCF_003963535.1_ASM396353v1_genomic.fna.gz	2
GCF_003977875.1_ASM397787v1_genomic.fna.gz	4
GCF_004005495.1_ASM400549v1_genomic.fna.gz	1
GCF_004011505.1_ASM401150v1_genomic.fna.gz	1
GCF_004028635.1_ASM402863v1_genomic.fna.gz	1
GCF_004124325.1_ASM412432v1_genomic.fna.gz	1
GCF_004138525.1_ASM413852v1_genomic.fna.gz	2
GCF_004195965.1_ASM419596v1_genomic.fna.gz	1
GCF_004196215.1_ASM419621v1_genomic.fna.gz	3
GCF_004217285.1_ASM421728v1_genomic.fna.gz	1
GCF_004217545.1_ASM421754v1_genomic.fna.gz	1
GCF_004217615.1_ASM421761v1_genomic.fna.gz	1
GCF_004337435.2_ASM433743v2_genomic.fna.gz	1
GCF_004339565.1_ASM433956v1_genomic.fna.gz	2
GCF_004341025.1_ASM434102v1_genomic.fna.gz	1
GCF_004348325.1_ASM434832v1_genomic.fna.gz	1
GCF_004348345.1_ASM434834v1_genomic.fna.gz	1
GCF_004348355.1_ASM434835v1_genomic.fna.gz	1
GCF_004348415.1_ASM434841v1_genomic.fna.gz	1
GCF_004348425.1_ASM434842v1_genomic.fna.gz	1
GCF_004348515.1_ASM434851v1_genomic.fna.gz	2
GCF_004348575.1_ASM434857v1_genomic.fna.gz	1
GCF_004348665.1_ASM434866v1_genomic.fna.gz	1
GCF_004348675.1_ASM434867v1_genomic.fna.gz	1
GCF_004348735.1_ASM434873v1_genomic.fna.gz	1
GCF_004349245.1_ASM434924v1_genomic.fna.gz	1
GCF_004352805.1_ASM435280v1_genomic.fna.gz	1
GCF_004362825.1_ASM436282v1_genomic.fna.gz	2
GCF_004364245.1_ASM436424v1_genomic.fna.gz	1
GCF_004366855.1_ASM436685v1_genomic.fna.gz	1
GCF_004367255.1_ASM436725v1_genomic.fna.gz	2
GCF_004367265.1_ASM436726v1_genomic.fna.gz	2
GCF_004403015.1_ASM440301v1_genomic.fna.gz	2
GCF_004522235.1_ASM452223v1_genomic.fna.gz	1
GCF_004522265.1_ASM452226v1_genomic.fna.gz	2
GCF_004634405.1_ASM463440v1_genomic.fna.gz	1
GCF_004795015.1_ASM479501v1_genomic.fna.gz	1
GCF_004795035.1_ASM479503v1_genomic.fna.gz	1
GCF_004795105.1_ASM479510v1_genomic.fna.gz	1
GCF_004795115.1_ASM479511v1_genomic.fna.gz	1
GCF_005405885.1_ASM540588v1_genomic.fna.gz	2
GCF_005517195.1_ASM551719v1_genomic.fna.gz	1
GCF_005795905.1_ASM579590v1_genomic.fna.gz	1
GCF_005889715.1_ASM588971v1_genomic.fna.gz	1
GCF_006334905.2_ASM633490v2_genomic.fna.gz	2
GCF_006334915.2_ASM633491v2_genomic.fna.gz	1
GCF_006363815.1_ASM636381v1_genomic.fna.gz	1
GCF_006539185.1_ASM653918v1_genomic.fna.gz	6
GCF_006547145.1_ASM654714v1_genomic.fna.gz	2
GCF_006704225.1_ASM670422v2_genomic.fna.gz	1
GCF_006715045.1_ASM671504v1_genomic.fna.gz	1
GCF_006715635.1_ASM671563v1_genomic.fna.gz	1
GCF_006716565.1_ASM671656v1_genomic.fna.gz	1
GCF_006716745.1_ASM671674v1_genomic.fna.gz	1
GCF_006874475.1_ASM687447v1_genomic.fna.gz	1
GCF_007050945.1_ASM705094v1_genomic.fna.gz	4
GCF_007096885.1_ASM709688v1_genomic.fna.gz	1
GCF_007280575.1_ASM728057v1_genomic.fna.gz	1
GCF_007483665.1_ASM748366v1_genomic.fna.gz	1
