scaffold	representative	dereplication_status
NZ_AOHO01000058.1	GCF_000342005.1	dereplication_representative
NC_020504.1	GCF_000349325.1	dereplication_representative
NZ_BARF01000084.1	GCF_000367365.1	dereplication_representative
NZ_AQUI01000002.1	GCF_000371785.1	dereplication_representative
NZ_KB891995.1	GCF_000373625.1	dereplication_representative
NZ_KB894419.1	GCF_000374445.1	dereplication_representative
NZ_KB894406.1	GCF_000374445.1	dereplication_representative
NZ_KB895850.1	GCF_000374985.1	dereplication_representative
NZ_FMCV01000021.1	GCF_000374985.1	redundant
NZ_JBHLYH010000022.1	GCF_000374985.1	redundant
NZ_BARG01000042.1	GCF_000376565.1	dereplication_representative
NZ_KB900388.1	GCF_000378825.1	dereplication_representative
NZ_AZWJ01000002.1	GCF_000378825.1	redundant
NZ_KB905359.1	GCF_000378845.1	dereplication_representative
NZ_KB900614.1	GCF_000379065.1	dereplication_representative
NZ_AZVX01000042.1	GCF_000379065.1	redundant
NZ_KB905387.1	GCF_000379465.1	dereplication_representative
NZ_KB905813.1	GCF_000381025.1	dereplication_representative
NZ_KB907228.1	GCF_000381885.1	dereplication_representative
NZ_KB911582.1	GCF_000383615.1	dereplication_representative
NZ_KB911809.1	GCF_000383655.1	dereplication_representative
NZ_KB912728.1	GCF_000383795.1	dereplication_representative
NZ_KB913030.1	GCF_000384175.1	dereplication_representative
NZ_JBIRWH010000002.1	GCF_000384175.1	redundant
NZ_JBIRWI010000003.1	GCF_000384175.1	redundant
NZ_BMQQ01000002.1	GCF_000384175.1	redundant
NZ_KB913032.1	GCF_000384215.1	dereplication_representative
NZ_KB913037.1	GCF_000384295.1	dereplication_representative
NZ_QHHU01000010.1	GCF_000384295.1	redundant
NZ_ARVW01000001.1	GCF_000384315.1	dereplication_representative
NZ_KE150428.1	GCF_000411315.1	dereplication_representative
NZ_KE386834.1	GCF_000429025.1	dereplication_representative
NZ_AUBE01000001.1	GCF_000429085.1	dereplication_representative
NC_021985.1	GCF_000444875.1	dereplication_representative
NZ_KI421511.1	GCF_000473265.1	dereplication_representative
NZ_AXVD01000007.1	GCF_000482385.1	dereplication_representative
NZ_CM002285.1	GCF_000497445.1	dereplication_representative
NZ_KI911467.1	GCF_000514775.1	dereplication_representative
NZ_AZWQ01000019.1	GCF_000514815.1	dereplication_representative
NZ_KI912411.1	GCF_000518265.1	dereplication_representative
NZ_JMQI01000015.1	GCF_000695625.1	dereplication_representative
NZ_JNWO01000004.1	GCF_000716435.1	dereplication_representative
NZ_JNWZ01000007.1	GCF_000716545.1	dereplication_representative
NZ_JNWR01000007.1	GCF_000716885.1	dereplication_representative
NZ_DYYO01000148.1	GCF_000716885.1	redundant
NZ_CAMEOQ010000017.1	GCF_000716885.1	redundant
NZ_JNXS01000017.1	GCF_000717105.1	dereplication_representative
NZ_JNXS01000029.1	GCF_000717105.1	dereplication_representative
NZ_JOEZ01000017.1	GCF_000717105.1	redundant
NZ_JOEZ01000029.1	GCF_000717105.1	redundant
NZ_JOAI01000014.1	GCF_000717715.1	dereplication_representative
NZ_JOBH01000022.1	GCF_000717745.1	dereplication_representative
NZ_JOBW01000019.1	GCF_000717815.1	dereplication_representative
NZ_JOBW01000027.1	GCF_000717815.1	dereplication_representative
NZ_JODM01000005.1	GCF_000717995.1	dereplication_representative
NZ_JOEI01000001.1	GCF_000718095.1	dereplication_representative
NZ_AZSP01000250.1	GCF_000718095.1	redundant
NZ_JOFQ01000001.1	GCF_000718305.1	dereplication_representative
NZ_JNZT01000042.1	GCF_000718525.1	dereplication_representative
NZ_JOAN01000001.1	GCF_000718555.1	dereplication_representative
NZ_JOBV01000030.1	GCF_000718755.1	dereplication_representative
LGUW01000343.1	GCF_000718755.1	redundant
NZ_JOES01000034.1	GCF_000718755.1	redundant
NZ_JOGB01000049.1	GCF_000719335.1	dereplication_representative
NZ_JOFX01000012.1	GCF_000719345.1	dereplication_representative
NZ_JOGX01000062.1	GCF_000719555.1	dereplication_representative
NZ_JOHB01000006.1	GCF_000719605.1	dereplication_representative
NZ_JOHR01000006.1	GCF_000719775.1	dereplication_representative
NZ_JOIR01000032.1	GCF_000720115.1	dereplication_representative
NZ_JOIU01000005.1	GCF_000720135.1	dereplication_representative
NZ_JOIU01000009.1	GCF_000720135.1	dereplication_representative
NZ_JOIX01000042.1	GCF_000720175.1	dereplication_representative
NZ_JOIY01000028.1	GCF_000720185.1	dereplication_representative
NZ_JOJE01000005.1	GCF_000720255.1	dereplication_representative
NZ_JOJF01000011.1	GCF_000720265.1	dereplication_representative
NZ_JOJM01000008.1	GCF_000720325.1	dereplication_representative
NZ_JOCF01000006.1	GCF_000720635.1	dereplication_representative
NZ_JOCQ01000011.1	GCF_000720725.1	dereplication_representative
NZ_JOCQ01000031.1	GCF_000720725.1	dereplication_representative
NZ_JODE01000022.1	GCF_000720795.1	dereplication_representative
NZ_JODJ01000024.1	GCF_000720795.1	redundant
NZ_JOEV01000071.1	GCF_000721105.1	dereplication_representative
NZ_JOEV01000007.1	GCF_000721105.1	dereplication_representative
NZ_JOFZ01000008.1	GCF_000721265.1	dereplication_representative
NZ_JOGD01000002.1	GCF_000721305.1	dereplication_representative
NZ_JOGH01000025.1	GCF_000721345.1	dereplication_representative
NZ_JOGV01000020.1	GCF_000721365.1	dereplication_representative
NZ_JOHY01000021.1	GCF_000721495.1	dereplication_representative
NZ_KL585414.1	GCF_000721935.1	dereplication_representative
NZ_JOFR01000070.1	GCF_000725465.1	dereplication_representative
NZ_JOFS01000070.1	GCF_000725465.1	redundant
NZ_JNZD01000038.1	GCF_000725495.1	dereplication_representative
NZ_JOCK01000001.1	GCF_000725565.1	dereplication_representative
NZ_LGCQ01000113.1	GCF_000725565.1	redundant
NZ_JNWN01000002.1	GCF_000725565.1	redundant
NZ_JOIV01000036.1	GCF_000725655.1	dereplication_representative
NZ_LGDX01000236.1	GCF_000725655.1	redundant
NZ_JOEP01000080.1	GCF_000725815.1	dereplication_representative
NZ_KL997434.1	GCF_000738695.1	dereplication_representative
NZ_KN039949.1	GCF_000739045.1	dereplication_representative
NZ_JPWW01000020.1	GCF_000743295.1	dereplication_representative
NZ_JQML01000001.1	GCF_000744705.1	dereplication_representative
NZ_BBPL01000042.1	GCF_000744705.1	redundant
NZ_JQMO01000003.1	GCF_000744785.1	dereplication_representative
NZ_JQMQ01000004.1	GCF_000744815.1	dereplication_representative
NZ_JPLW01000009.1	GCF_000754115.1	dereplication_representative
NZ_CP009438.1	GCF_000761215.1	dereplication_representative
NZ_JBFATV010000002.1	GCF_000761215.1	redundant
NZ_CP009754.1	GCF_000772045.1	dereplication_representative
NZ_JAJIBA010000030.1	GCF_000772045.1	readded_by_outlier_score
NZ_JAJIBA010000015.1	GCF_000772045.1	redundant
NZ_JAJIBA010000001.1	GCF_000772045.1	redundant
NZ_JBJDRC010000011.1	GCF_000772045.1	redundant
NZ_JBIWOI010000017.1	GCF_000772045.1	redundant
NZ_CP003988.1	GCF_000816025.1	dereplication_representative
NZ_JUIG01000022.1	GCF_000816485.1	dereplication_representative
NZ_JTIY01000001.1	GCF_000818175.1	dereplication_representative
NZ_CP009313.1	GCF_000819545.1	dereplication_representative
NZ_CP071465.1	GCF_000819545.1	redundant
NZ_JACHMR010000001.1	GCF_000819545.1	redundant
NZ_JBEZCO010000013.1	GCF_000819545.1	redundant
NZ_CDME01000002.1	GCF_000826545.1	dereplication_representative
NZ_CDME01000012.1	GCF_000826545.1	dereplication_representative
CP010519.1	GCF_000827005.1	dereplication_representative
CP033071.1	GCF_000827005.1	readded_by_cluster_content
NZ_JBIRRM010000001.1	GCF_000827005.1	redundant
CP016825.1	GCF_000827005.1	redundant
NZ_JBIRRN010000005.1	GCF_000827005.1	redundant
NZ_CP092644.1	GCF_000827005.1	redundant
NZ_CP010407.1	GCF_000830005.1	dereplication_representative
NZ_JXZB01000002.1	GCF_000836635.1	dereplication_representative
NZ_CP010849.1	GCF_000931445.1	dereplication_representative
NZ_JXUQ02000001.1	GCF_000935135.2	dereplication_representative
NZ_CP016174.1	GCF_000943515.2	dereplication_representative
CP007699.2	GCF_000952035.2	dereplication_representative
NZ_JBIAXE010000015.1	GCF_000952035.2	readded_by_cluster_content
NZ_JYJG01000002.1	GCF_000955955.1	dereplication_representative
NZ_BBOJ01000004.1	GCF_000974445.1	dereplication_representative
NZ_JAMTCM010000005.1	GCF_000974445.1	redundant
NZ_JOFI01000001.1	GCF_000974445.1	redundant
NZ_CP009922.3	GCF_000993785.3	dereplication_representative
NZ_JBHJWI010000001.1	GCF_000993785.3	redundant
NZ_JOIG01000003.1	GCF_000993785.3	redundant
NZ_LBMU02000089.1	GCF_001005085.2	dereplication_representative
NZ_LBMU02000045.1	GCF_001005085.2	dereplication_representative
NZ_CP011492.1	GCF_001011035.1	dereplication_representative
NZ_JBDPMG010000026.1	GCF_001011035.1	redundant
NZ_JBDPMG010000049.1	GCF_001011035.1	redundant
NZ_CP011497.1	GCF_001027185.1	dereplication_representative
NZ_CP011799.1	GCF_001040905.1	dereplication_representative
NZ_JBIBGR010000001.1	GCF_001040905.1	redundant
NZ_JBIVIE010000004.1	GCF_001040905.1	redundant
NZ_JBIBGQ010000001.1	GCF_001040905.1	redundant
NZ_CVPB01000001.1	GCF_001049855.1	dereplication_representative
NZ_LFXA01000002.1	GCF_001187435.1	dereplication_representative
NZ_LFXA01000007.1	GCF_001187435.1	dereplication_representative
NZ_KQ257829.1	GCF_001189015.1	dereplication_representative
NZ_KQ257835.1	GCF_001189015.1	dereplication_representative
NZ_KQ257833.1	GCF_001189015.1	dereplication_representative
NZ_CP011112.1	GCF_001190945.1	dereplication_representative
NZ_CP012382.1	GCF_001267885.1	dereplication_representative
NZ_CP012949.1	GCF_001267885.1	redundant
NZ_DF968245.1	GCF_001270025.1	dereplication_representative
NZ_CP011340.1	GCF_001278075.1	dereplication_representative
NZ_JBIRIE010000011.1	GCF_001278075.1	redundant
NZ_CP059696.1	GCF_001278075.1	redundant
NZ_JBIRXK010000008.1	GCF_001278075.1	redundant
NZ_JBEXZW010000006.1	GCF_001278075.1	redundant
NZ_JBEXZU010000008.1	GCF_001278075.1	redundant
NZ_CP011522.1	GCF_001278095.1	dereplication_representative
NZ_LGCV01000415.1	GCF_001279345.1	dereplication_representative
NZ_LGCW01000295.1	GCF_001279365.1	dereplication_representative
NZ_LGCW01000311.1	GCF_001279365.1	dereplication_representative
NZ_LGDY01000125.1	GCF_001279525.1	dereplication_representative
NZ_LGDZ01000074.1	GCF_001279545.1	dereplication_representative
NZ_LGDZ01000254.1	GCF_001279545.1	dereplication_representative
NZ_LGDD01000155.1	GCF_001279695.1	dereplication_representative
NZ_LGDP01000234.1	GCF_001279765.1	dereplication_representative
JBFARI010000015.1	GCF_001279765.1	readded_by_cluster_content
NZ_LGDH01000225.1	GCF_001279765.1	redundant
NZ_LGDN01000014.1	GCF_001279765.1	redundant
NZ_JBEXPC010000001.1	GCF_001279765.1	redundant
NZ_JBEXPS010000007.1	GCF_001279765.1	redundant
NZ_LGDK01000025.1	GCF_001279765.1	redundant
NZ_LGDT01000026.1	GCF_001279765.1	redundant
NZ_LGDI01000002.1	GCF_001279765.1	redundant
NZ_JBEZVP010000003.1	GCF_001279765.1	redundant
NZ_LGDC01000202.1	GCF_001279765.1	redundant
JBEYWT010000004.1	GCF_001279765.1	redundant
NZ_LGDR01000238.1	GCF_001279765.1	redundant
NZ_LGDG01000213.1	GCF_001279775.1	dereplication_representative
NZ_LGEE01000227.1	GCF_001280095.1	dereplication_representative
NZ_LGEG01000229.1	GCF_001280095.1	redundant
NZ_LGKG01000001.1	GCF_001294335.1	dereplication_representative
LJCU01000284.1	GCF_001298565.1	dereplication_representative
NZ_CP012752.1	GCF_001302585.1	dereplication_representative
NZ_JADBEI010000001.1	GCF_001302585.1	redundant
NZ_LFCW01000002.1	GCF_001306465.1	dereplication_representative
NZ_MOWP01000049.1	GCF_001306465.1	redundant
NZ_LIPN01000355.1	GCF_001418325.1	dereplication_representative
NZ_LIQX01000488.1	GCF_001418475.1	dereplication_representative
NZ_LIQQ01000126.1	GCF_001418565.1	dereplication_representative
NZ_LIQR01000176.1	GCF_001418575.1	dereplication_representative
NZ_LIQZ01000137.1	GCF_001418655.1	dereplication_representative
NZ_LIRJ01000059.1	GCF_001419745.1	dereplication_representative
NZ_LIRK01000180.1	GCF_001419765.1	dereplication_representative
NZ_LIRL01000175.1	GCF_001419795.1	dereplication_representative
NZ_CP012185.1	GCF_001420995.1	dereplication_representative
NZ_CP012182.1	GCF_001420995.1	redundant
NZ_LMDL01000031.1	GCF_001425805.1	dereplication_representative
NZ_LMEP01000005.1	GCF_001426405.1	dereplication_representative
NZ_LMHG01000004.1	GCF_001426405.1	redundant
NZ_LMEI01000001.1	GCF_001426585.1	dereplication_representative
NZ_LMHX01000004.1	GCF_001429805.1	dereplication_representative
NZ_LMCT01000012.1	GCF_001429805.1	redundant
NZ_LNBE01000006.1	GCF_001445655.1	dereplication_representative
NZ_LLZU01000011.1	GCF_001445835.1	dereplication_representative
NZ_KB904657.1	GCF_001445835.1	redundant
CP013142.1	GCF_001484705.1	dereplication_representative
NZ_KL503830.1	GCF_001484705.1	redundant
NZ_JBIBBV010000003.1	GCF_001484705.1	redundant
NZ_CP104864.1	GCF_001484705.1	redundant
NZ_JBIRSM010000017.1	GCF_001484705.1	redundant
NZ_JBIWON010000023.1	GCF_001484705.1	redundant
NZ_JBIUAA010000005.1	GCF_001484705.1	redundant
NZ_JBIRSR010000029.1	GCF_001484705.1	redundant
NZ_JBIRSP010000017.1	GCF_001484705.1	redundant
NZ_JBITZZ010000026.1	GCF_001484705.1	redundant
NZ_JBIRSQ010000032.1	GCF_001484705.1	redundant
NZ_JBIDBM010000003.1	GCF_001484705.1	redundant
NZ_JBIBDO010000007.1	GCF_001484705.1	redundant
NZ_JBIBCH010000028.1	GCF_001484705.1	redundant
NZ_JBIALN010000005.1	GCF_001484705.1	redundant
NZ_JBHYWC010000027.1	GCF_001484705.1	redundant
NZ_JBIBDT010000032.1	GCF_001484705.1	redundant
NZ_JBEYDQ010000014.1	GCF_001484705.1	redundant
NZ_JBEYEB010000042.1	GCF_001484705.1	redundant
NZ_JBEOZP010000035.1	GCF_001484705.1	redundant
NZ_JABZEM010000002.1	GCF_001484705.1	redundant
NZ_JBEYDT010000028.1	GCF_001484705.1	redundant
NZ_LN929893.1	GCF_001493375.1	dereplication_representative
NZ_LLZG01000276.1	GCF_001509475.1	dereplication_representative
NZ_LLZG01000288.1	GCF_001509475.1	dereplication_representative
NZ_KQ948181.1	GCF_001513985.1	dereplication_representative
NZ_KQ948305.1	GCF_001514045.1	dereplication_representative
NZ_KQ948489.1	GCF_001514115.1	dereplication_representative
NZ_BDQI01000044.1	GCF_001514115.1	redundant
NZ_KQ948659.1	GCF_001514145.1	dereplication_representative
NZ_JASCSJ010000021.1	GCF_001514145.1	readded_by_cluster_content
NZ_KQ948738.1	GCF_001514195.1	dereplication_representative
NZ_KQ948870.1	GCF_001514215.1	dereplication_representative
NZ_KQ948926.1	GCF_001514235.1	dereplication_representative
NZ_KQ948995.1	GCF_001514265.1	dereplication_representative
NZ_LGUS01000185.1	GCF_001514265.1	redundant
NZ_KQ949023.1	GCF_001514285.1	dereplication_representative
NZ_KQ949082.1	GCF_001514305.1	dereplication_representative
NZ_CP016279.1	GCF_001542625.1	dereplication_representative
NZ_JBIRRS010000014.1	GCF_001542625.1	redundant
NZ_JAGGLP010000007.1	GCF_001542625.1	redundant
NZ_JYIJ01000014.1	GCF_001543895.1	dereplication_representative
NZ_JYIK01001006.1	GCF_001543895.1	redundant
NZ_BCRK01000251.1	GCF_001552555.1	dereplication_representative
NZ_BCRO01000124.1	GCF_001552635.1	dereplication_representative
NZ_BBUY01000002.1	GCF_001590865.1	dereplication_representative
NZ_BDAZ01000020.1	GCF_001612725.1	dereplication_representative
NZ_BDBA01000003.1	GCF_001612745.1	dereplication_representative
NZ_BDBC01000010.1	GCF_001612785.1	dereplication_representative
NZ_BDBS01000022.1	GCF_001613105.1	dereplication_representative
NZ_BDCD01000004.1	GCF_001613325.1	dereplication_representative
NZ_BDCI01000004.1	GCF_001613425.1	dereplication_representative
NZ_JNFP01000001.1	GCF_001613425.1	redundant
NZ_BDCM01000026.1	GCF_001613505.1	dereplication_representative
NZ_BDCN01000031.1	GCF_001613525.1	dereplication_representative
NZ_BAFQ01000268.1	GCF_001613525.1	readded_by_cluster_content
NZ_LQMT02000005.1	GCF_001620365.2	dereplication_representative
NZ_KV411303.1	GCF_001625105.1	dereplication_representative
NZ_KV411304.1	GCF_001625105.1	dereplication_representative
NZ_JABMCZ010000001.1	GCF_001625105.1	redundant
NZ_LJJF01000001.1	GCF_001625365.1	dereplication_representative
NZ_JBHXTQ010000110.1	GCF_001625365.1	readded_by_cluster_content
NZ_JBHWIG010000020.1	GCF_001625365.1	redundant
