Organism                                                           Scaffold              Start     End       Score    SCO5086  SCO5087  SCO5088  SCO5089
Streptomyces sp. NPDC006172                                        NZ_JBEXTL010000001.1  479018    482810    6.1462   1        1        1        1      
Streptomyces sp. NRRL F-4428                                       NZ_JYJI01000339.1     3859      9281      6.1571   1        1        1        1      
Streptomyces sp. BR123                                             NZ_JACBGN010000058.1  20462     25946     6.1572   1        1        1        1      
Streptomyces sp. NPDC020422                                        NZ_JBIRVJ010000001.1  607706    610531    5.1065   0        1        1        1      
Streptomyces sp. B6B3                                              NZ_JBDPLU010000039.1  15707     31894     5.1637   1        1        1        1      
Streptomyces sp. Wb2n-11                                           NZ_CVPB01000001.1     1079472   1083193   6.1464   1        1        1        1      
Streptomyces sp. Wb2n-11                                           NZ_CVPB01000001.1     2090842   2093651   5.1075   0        1        1        1      
Streptomyces sp. NPDC007369                                        NZ_JBEYEO010000002.1  218317    223869    6.1556   1        1        1        1      
Streptomyces sp. NPDC007369                                        NZ_JBEYEO010000049.1  8626      12375     6.1424   1        1        1        1      
Streptomyces sp. NPDC047737                                        NZ_JBEYSP010000006.1  267299    270130    5.1046   0        1        1        1      
Streptomyces sp. NRRL F-2664                                       NZ_JOFX01000012.1     164737    170152    6.1526   1        1        1        1      
Streptomyces sp. NPDC050759                                        NZ_JBITGI010000029.1  15887     19626     6.1452   1        1        1        1      
Streptomyces sp. NRRL S-337                                        NZ_JOIX01000042.1     45154     47965     5.1068   0        1        1        1      
Streptomyces sp. NPDC056254                                        NZ_JBHJST010000082.1  23072     28555     6.1570   1        1        1        1      
Streptomyces sp. ODS05-4                                           NZ_JAMJWF010000006.1  93798     114231    5.1560   1        1        1        1      
Streptomyces sp. GMR22                                             NZ_JACGSQ010000036.1  202219    220166    6.1613   1        1        1        1      
Streptomyces sp. NPDC127106                                        NZ_JBHXTC010000011.1  32775     38263     6.1573   1        1        1        1      
Streptomyces sp. NPDC029080                                        NZ_JBEZWM010000001.1  273775    277664    7.1647   1        1        1        1      
Streptomyces sp. NPDC052109                                        NZ_JBFAWF010000036.1  56528     61783     7.1596   1        1        1        1      
Streptomyces sp. NPDC050145                                        NZ_JBITJS010000029.1  23614     32087     5.1541   1        1        1        1      
Streptomyces sp. NPDC050145                                        NZ_JBITJS010000020.1  67537     70384     5.1035   0        1        1        1      
Streptomyces sp. NPDC059881                                        NZ_JBHWKC010000008.1  82369     100349    6.1356   1        1        1        1      
Streptomyces sp. NPDC048424                                        NZ_JBEZKE010000025.1  59112     64502     6.1533   1        1        1        1      
Streptomyces sp. NPDC053792                                        NZ_JBITWX010000004.1  206094    209958    7.1630   1        1        1        1      
Streptomyces sp. C10-9-1                                           NZ_JANHKP010000023.1  17894     20706     5.1062   0        1        1        1      
Streptomyces sp. C10-9-1                                           NZ_JANHKP010000001.1  602797    606491    6.1470   1        1        1        1      
Streptomyces sp. NPDC053495                                        NZ_JBITXR010000004.1  50832     53641     5.1067   0        1        1        1      
Streptomyces sp. NPDC046881                                        NZ_JBEYXJ010000012.1  30213     47957     6.1549   1        1        1        1      
Streptomyces sp. NPDC015661                                        NZ_JBIBST010000012.1  95157     99022     7.1643   1        1        1        1      
Streptomyces sp. NPDC015661                                        NZ_JBIBST010000011.1  44771     48446     6.1436   1        1        1        1      
Streptomyces sp. NPDC002044                                        NZ_JBEOXU010000167.1  6651      9394      5.1245   0        1        1        1      
Streptomyces sp. NBRC 110611                                       NZ_BBUY01000002.1     206831    220871    7.1668   1        1        1        1      
Streptomyces sp. NPDC048389                                        NZ_JBEZKP010000091.1  490       5866      6.1519   1        1        1        1      
Streptomyces sp. NPDC096176                                        NZ_JBIWFV010000014.1  106178    115726    6.1383   1        1        1        1      
Streptomyces sp. NPDC058622                                        NZ_JBHXQQ010000142.1  2947      5690      5.1247   0        1        1        1      
Streptomyces sp. NPDC001793                                        NZ_JBEOZC010000116.1  16788     19591     5.1316   0        1        1        1      
Streptomyces sp. NPDC020883                                        NZ_JBIRRZ010000016.1  59278     72046     7.1667   1        1        1        1      
Streptomyces sp. V1I6                                              NZ_JAUSYR010000004.1  84375     96100     6.1376   1        1        1        1      
Streptomyces sp. TBY4                                              NZ_JANAVF010000015.1  148274    153706    6.1558   1        1        1        1      
Streptomyces sp. NPDC003023                                        NZ_JBIAPL010000018.1  31475     40079     3.0976   1        1        0        1      
Streptomyces sp. NPDC059524                                        NZ_JBHYTK010000031.1  34654     43221     5.1536   1        1        1        1      
Streptomyces sp. NPDC050355                                        NZ_JBITIT010000014.1  138182    150407    6.1589   1        1        1        1      
Streptomyces sp. NPDC090445                                        NZ_JBIVXV010000033.1  7450      12976     6.1564   1        1        1        1      
Streptomyces sp. NPDC057555                                        NZ_JBHVFM010000009.1  13289     31484     4.0894   1        0        1        1      
Streptomyces sp. Tu 2975                                           NZ_CP047140.1         205680    215585    6.1362   1        1        1        1      
Streptomyces sp. 21So2-11                                          NZ_JBDHNH010000002.1  273399    276743    5.1514   1        1        1        0      
Streptomyces sp. 21So2-11                                          NZ_JBDHNH010000019.1  59164     62962     6.1448   1        1        1        1      
Streptomyces sp. NBC_01275                                         NZ_JAPEOZ010000001.1  8658006   8662233   4.0861   1        0        1        1      
Streptomyces sp. NPDC086835                                        NZ_JBIVAU010000003.1  645623    666288    11.2552  1        2        2        2      
Streptomyces sp. NPDC058855                                        NZ_JBHYMV010000001.1  244811    248697    7.1557   1        1        1        1      
Streptomyces sp. NBC_00158                                         NZ_CP108163.1         64936     97497     16.4577  2        4        3        1      
Streptomyces sp. NBC_00158                                         NZ_CP108163.1         39473     42292     5.1083   0        1        1        1      
Streptomyces sp. NPDC090077                                        NZ_JBIVEG010000048.1  22903     39718     9.2441   1        2        2        0      
Streptomyces sp. NPDC090077                                        NZ_JBIVEG010000018.1  230       14335     6.1360   1        1        1        1      
Streptomyces sp. NPDC059506                                        NZ_JBHYTQ010000016.1  8051      20739     6.1469   1        1        1        1      
Streptomyces sp. DJ                                                PKSK01001411.1        9932      21599     4.1036   1        1        0        1      
Streptomyces sp. NPDC020801                                        NZ_JBIRST010000052.1  411       3166      5.1077   0        1        1        1      
Streptomyces sp. NPDC058662                                        NZ_JBHXRU010000034.1  6783      10075     4.1393   1        1        1        0      
Streptomyces sp. SM11                                              NZ_NEUE01000205.1     9073      17910     4.0998   1        1        0        1      
Streptomyces sp. SM11                                              NZ_NEUE01000308.1     3796      12633     4.0998   1        1        0        1      
Streptomyces sp. NPDC006283                                        NZ_JBEXRZ010000281.1  3502      6233      4.1168   0        1        1        1      
Streptomyces sp. NPDC098781                                        NZ_JBIWAK010000006.1  85472     89740     4.0871   1        0        1        1      
Streptomyces sp. NPDC051172                                        NZ_JBFBBE010000126.1  1530      9740      4.1017   1        1        0        1      
Streptomyces sp. NPDC051172                                        NZ_JBFBBE010000119.1  16699     20388     4.1353   1        1        1        0      
Streptomyces sp. NPDC051172                                        NZ_JBFBBE010000093.1  26192     29862     6.1426   1        1        1        1      
Streptomyces sp. ID05-47C                                          NZ_JARAYY010000009.1  46476     50818     4.0852   1        0        1        1      
Streptomyces sp. SS7                                               NZ_CP141223.1         3162069   3166452   4.0871   1        0        1        1      
Streptomyces sp. A0592                                             NZ_SSBM01000011.1     17525     34658     5.1460   1        1        1        1      
Streptomyces sp. NPDC127097                                        NZ_JBHXFI010000012.1  16403     29477     7.1649   1        1        1        1      
