LFVR01000305.1	GCA_001047335.1
CP109097.1	GCA_041438645.1
CP109538.1	GCA_041438945.1
JBHTEW010000002.1	GCA_042674805.1
JBHUGV010000001.1	GCA_042682165.1
JBHXPV010000015.1	GCA_042717825.1
JBHWHJ010000273.1	GCA_042732525.1
JBHWFY010000017.1	GCA_042733475.1
JBIAFR010000027.1	GCA_042869315.1
JBIAGH010000020.1	GCA_042869735.1
JBHVOW010000036.1	GCA_042887745.1
JBIBAS010000019.1	GCA_042900095.1
JBIBBF010000020.1	GCA_042900465.1
JBIBDQ010000003.1	GCA_042902085.1
JBIBEK010000018.1	GCA_042902565.1
JBIBED010000025.1	GCA_042954995.1
JBIBEL010000004.1	GCA_042955095.1
JBIBFW010000002.1	GCA_042956205.1
JBIBTS010000002.1	GCA_043078625.1
JBIBVW010000005.1	GCA_043080795.1
JBIENZ010000038.1	GCA_043498255.1
JBITXH010000024.1	GCA_044544505.1
JBIURZ010000005.1	GCA_044741065.1
JBIUSR010000005.1	GCA_044741485.1
JBIUST010000005.1	GCA_044741505.1
JBIUUM010000006.1	GCA_044742435.1
JBIUUQ010000006.1	GCA_044742525.1
JBIUWH010000004.1	GCA_044743365.1
JBIUYL010000011.1	GCA_044744485.1
JBIVAW010000011.1	GCA_044745765.1
JBIVDD010000004.1	GCA_044746925.1
JBIVDN010000001.1	GCA_044747145.1
JBIVJR010000003.1	GCA_044750325.1
JBIVLP010000001.1	GCA_044752635.1
JBIVQW010000003.1	GCA_044755365.1
JBIVQZ010000004.1	GCA_044755405.1
JBIVSF010000012.1	GCA_044756045.1
JBIVUR010000001.1	GCA_044757305.1
JBIWGS010000001.1	GCA_044763705.1
JBIWGY010000026.1	GCA_044763835.1
JBIWJJ010000004.1	GCA_044765095.1
JBIWMD010000012.1	GCA_044766525.1
JBIWNR010000006.1	GCA_044767305.1
JBIWOR010000002.1	GCA_044767845.1
CP108113.1	GCA_045160985.1
CP109308.1	GCA_045208935.1
CP109249.1	GCA_045210035.1
CP109233.1	GCA_045276975.1
CP109222.1	GCA_045277025.1
CP109220.1	GCA_045277035.1
CP109453.1	GCA_045277045.1
JAJQWZ010000056.1	GCA_045748465.1
JBJVMU010000022.1	GCA_046117335.1
JBKJFJ010000013.1	GCA_046614775.1
JBKJFL010000033.1	GCA_046614795.1
NC_007333.1	GCF_000012405.1
NC_007777.1	GCF_000013345.1
NC_013131.1	GCF_000024025.1
NC_016582.1	GCF_000092385.1
NC_014391.1	GCF_000145235.1
NZ_GG770539.1	GCF_000154905.1
NZ_CM000951.1	GCF_000154965.1
NZ_GG657742.1	GCF_000158855.1
NZ_GG657752.1	GCF_000158895.1
NZ_GG657754.1	GCF_000158915.1
NC_014666.1	GCF_000166135.1
NC_015953.1	GCF_000177195.2
NC_014815.1	GCF_000177655.2
NZ_ADGX01000029.1	GCF_000177675.1
NZ_ADXA01000022.1	GCF_000179195.1
NC_014318.1	GCF_000196835.1
NZ_CP023202.1	GCF_000220705.2
NC_017186.1	GCF_000220945.1
NZ_AGBF01000013.1	GCF_000225525.1
NZ_JH164840.1	GCF_000226455.1
NZ_AGSW01000147.1	GCF_000239075.1
NZ_AHBF01000039.1	GCF_000242715.1
NZ_AHBF01000055.1	GCF_000242715.1
NZ_AHBF01000137.1	GCF_000242715.1
NZ_AHBF01000127.1	GCF_000242715.1
NC_018681.1	GCF_000250675.2
NC_018750.1	GCF_000253235.1
NZ_AGNH01000616.1	GCF_000259895.1
NZ_CM001489.1	GCF_000262465.1
NZ_ALAP01000101.1	GCF_000280905.1
NC_017093.1	GCF_000284295.1
NZ_CP029159.1	GCF_000297155.3
NZ_HF570108.1	GCF_000297395.2
NZ_ALNP01000003.1	GCF_000297635.1
NZ_AMPN02000001.1	GCF_000299175.2
NZ_BAFQ01000268.1	GCF_000308375.1
NZ_BAFS01000210.1	GCF_000308415.1
NZ_BAFR01000155.1	GCF_000308435.1
NZ_BAFP01000089.1	GCF_000308455.1
NZ_BAFT02000110.1	GCF_000308475.2
NZ_BAFW01000146.1	GCF_000308535.1
NZ_BAFZ01000164.1	GCF_000308575.1
NZ_BAGA01000102.1	GCF_000308595.1
NZ_BAGG01000259.1	GCF_000308695.1
NZ_BAGH01000602.1	GCF_000308715.1
NZ_BAGF01000059.1	GCF_000308755.1
NZ_BAFX01000010.1	GCF_000308815.1
NZ_BAGN01000158.1	GCF_000308835.1
NZ_CAWLLA010000001.1	GCF_963861485.1
NZ_BAGL01000127.1	GCF_000308875.1
NC_019673.1	GCF_000328705.1
NZ_AEJB01000076.1	GCF_000331005.1
NZ_CP048261.1	GCF_000331185.2
NZ_KB405089.1	GCF_000340335.1
NZ_ANMG01000035.1	GCF_000340415.1
NZ_ANAZ01000003.1	GCF_000340985.1
NZ_ANBD01000055.1	GCF_000341005.1
NZ_ANAX01000162.1	GCF_000341065.1
NZ_ANBA01000014.1	GCF_000341085.1
NZ_ANAD01000018.1	GCF_000341245.1
NZ_AOHO01000058.1	GCF_000342005.1
NZ_AORZ01000065.1	GCF_000342125.1
NC_020504.1	GCF_000349325.1
NC_021055.1	GCF_000364805.1
NZ_BARF01000084.1	GCF_000367365.1
NZ_AQUI01000002.1	GCF_000371785.1
NZ_KB890924.1	GCF_000373305.1
NZ_KB890916.1	GCF_000373305.1
NZ_KB891297.1	GCF_000373405.1
NZ_KB891498.1	GCF_000373465.1
NZ_KB891778.1	GCF_000373525.1
NZ_KB891791.1	GCF_000373525.1
NZ_KB891809.1	GCF_000373565.1
NZ_KB891896.1	GCF_000373585.1
NZ_KB891995.1	GCF_000373625.1
NZ_KB892031.1	GCF_000373645.1
NZ_KB894419.1	GCF_000374445.1
NZ_KB894406.1	GCF_000374445.1
NZ_KB895850.1	GCF_000374985.1
NZ_AQWQ01000024.1	GCF_000375725.1
NZ_AQWQ01000005.1	GCF_000375725.1
NZ_BARG01000042.1	GCF_000376565.1
NZ_KB900388.1	GCF_000378825.1
NZ_KB905359.1	GCF_000378845.1
NZ_KB900614.1	GCF_000379065.1
NZ_KB905387.1	GCF_000379465.1
NZ_KB904657.1	GCF_000380165.1
NZ_KB905813.1	GCF_000381025.1
NZ_KB907228.1	GCF_000381885.1
NZ_ARPI01000006.1	GCF_000382745.1
NZ_ARPI01000012.1	GCF_000382745.1
NZ_KB911582.1	GCF_000383615.1
NZ_KB911721.1	GCF_000383635.1
NZ_KB911731.1	GCF_000383635.1
NZ_KB911809.1	GCF_000383655.1
NZ_KB912728.1	GCF_000383795.1
NZ_KB913030.1	GCF_000384175.1
NZ_KB913032.1	GCF_000384215.1
NZ_KB913037.1	GCF_000384295.1
NZ_ARVW01000001.1	GCF_000384315.1
NC_021177.1	GCF_000385945.1
NZ_AOSG01000029.1	GCF_000401915.1
NZ_CM001889.1	GCF_000403665.1
NZ_AROY02000010.1	GCF_000403765.2
NZ_KE150428.1	GCF_000411315.1
NZ_AOPZ01000074.1	GCF_000414115.1
NZ_KE354310.1	GCF_000415505.1
NZ_KE386834.1	GCF_000429025.1
NZ_AUBE01000001.1	GCF_000429085.1
NC_021985.1	GCF_000444875.1
NC_022116.1	GCF_000454025.1
NZ_KI421511.1	GCF_000473265.1
NZ_AXVD01000007.1	GCF_000482385.1
NZ_CM002273.1	GCF_000495755.1
NZ_CM002285.1	GCF_000497445.1
NZ_AYTZ01000059.1	GCF_000503735.2
NZ_AXDB02000006.1	GCF_000504065.1
NZ_AZVX01000042.1	GCF_000514435.1
NZ_AZWJ01000002.1	GCF_000514675.1
NZ_KI911467.1	GCF_000514775.1
NZ_AZWQ01000019.1	GCF_000514815.1
NZ_KI912411.1	GCF_000518265.1
NZ_CP007155.1	GCF_000525635.1
NZ_AYXG01000060.1	GCF_000564855.1
NZ_AYXG01000148.1	GCF_000564855.1
NZ_JENI01000059.1	GCF_000611815.2
NZ_ARPF01000020.1	GCF_000647875.1
NZ_JDWE01000087.1	GCF_000685765.2
NZ_JMLN01000012.1	GCF_000686765.1
NZ_CP007574.1	GCF_000695235.1
NZ_JMQI01000015.1	GCF_000695625.1
NZ_JMQJ01000101.1	GCF_000696405.1
NZ_JNAD02000002.1	GCF_000700005.2
NZ_JMQG01000090.1	GCF_000700945.1
NZ_CP045803.1	GCF_000707925.2
NZ_KL503830.1	GCF_000709915.1
NZ_BAUA01000170.1	GCF_000710915.1
NZ_JNZV01000272.1	GCF_000716025.1
NZ_JNWO01000004.1	GCF_000716435.1
NZ_JNWN01000002.1	GCF_000716455.1
NZ_JNWX01000007.1	GCF_000716515.1
NZ_JNWV01000037.1	GCF_000716535.1
NZ_JNWZ01000007.1	GCF_000716545.1
NZ_JNYC01000051.1	GCF_000716685.1
NZ_JNYJ01000006.1	GCF_000716715.1
NZ_JNYK01000019.1	GCF_000716745.1
NZ_JNYO01000052.1	GCF_000716755.1
NZ_JNYO01000015.1	GCF_000716755.1
NZ_JNWP01000020.1	GCF_000716845.1
NZ_JNWR01000007.1	GCF_000716885.1
NZ_JNWU01000018.1	GCF_000716935.1
NZ_JNXS01000017.1	GCF_000717105.1
NZ_JNXS01000029.1	GCF_000717105.1
NZ_JNYE01000050.1	GCF_000717185.1
NZ_JNYQ01000006.1	GCF_000717245.1
NZ_JNYR01000025.1	GCF_000717285.1
NZ_JNZO01000020.1	GCF_000717595.1
NZ_JOAI01000014.1	GCF_000717715.1
NZ_JOBH01000022.1	GCF_000717745.1
NZ_JOCC01000023.1	GCF_000717805.1
NZ_JOBW01000019.1	GCF_000717815.1
NZ_JOBW01000027.1	GCF_000717815.1
NZ_JOCE01000030.1	GCF_000717845.1
NZ_JOCJ01000025.1	GCF_000717895.1
NZ_JODM01000005.1	GCF_000717995.1
NZ_JODY01000014.1	GCF_000718015.1
NZ_JOEI01000001.1	GCF_000718095.1
NZ_JOEM01000002.1	GCF_000718135.1
NZ_JOEW01000059.1	GCF_000718155.1
NZ_JOFM01000020.1	GCF_000718295.1
NZ_JOFQ01000001.1	GCF_000718305.1
NZ_JOFU01000034.1	GCF_000718315.1
NZ_JNZS01000004.1	GCF_000718515.1
NZ_JNZT01000042.1	GCF_000718525.1
NZ_JOAN01000001.1	GCF_000718555.1
NZ_JOBD01000033.1	GCF_000718625.1
NZ_JOBD01000041.1	GCF_000718625.1
NZ_JOBF01000013.1	GCF_000718635.1
NZ_JOBP01000005.1	GCF_000718675.1
NZ_JOBU01000009.1	GCF_000718705.1
NZ_JOBV01000030.1	GCF_000718755.1
NZ_JOCM01000019.1	GCF_000718835.1
NZ_JOCO01000019.1	GCF_000718865.1
NZ_JODJ01000024.1	GCF_000718955.1
NZ_JOEH01000008.1	GCF_000719095.1
NZ_JOEA01000001.1	GCF_000719115.1
NZ_JOER01000001.1	GCF_000719175.1
NZ_JOES01000034.1	GCF_000719185.1
NZ_JOFI01000001.1	GCF_000719205.1
NZ_JOFN01000005.1	GCF_000719255.1
NZ_JOFL01000046.1	GCF_000719265.1
NZ_JOFS01000070.1	GCF_000719285.1
NZ_JOGB01000049.1	GCF_000719335.1
NZ_JOFX01000012.1	GCF_000719345.1
NZ_JOGA01000026.1	GCF_000719355.1
NZ_JOGX01000062.1	GCF_000719555.1
NZ_JOHB01000006.1	GCF_000719605.1
NZ_JOHF01000006.1	GCF_000719625.1
NZ_JOHJ01000017.1	GCF_000719665.1
NZ_JOHR01000006.1	GCF_000719775.1
NZ_JOIG01000003.1	GCF_000719915.1
NZ_JOIR01000032.1	GCF_000720115.1
NZ_JOIU01000005.1	GCF_000720135.1
NZ_JOIU01000009.1	GCF_000720135.1
NZ_JOIX01000042.1	GCF_000720175.1
NZ_JOIY01000028.1	GCF_000720185.1
NZ_JOJD01000007.1	GCF_000720235.1
NZ_JOJE01000005.1	GCF_000720255.1
NZ_JOJF01000011.1	GCF_000720265.1
NZ_JOJH01000024.1	GCF_000720295.1
NZ_JOJM01000008.1	GCF_000720325.1
NZ_JOAB01000007.1	GCF_000720395.1
NZ_JOAE01000008.1	GCF_000720405.1
NZ_JOAK01000010.1	GCF_000720455.1
NZ_JOAX01000047.1	GCF_000720485.1
NZ_JOAZ01000018.1	GCF_000720535.1
NZ_JOBN01000021.1	GCF_000720565.1
NZ_JOBS01000022.1	GCF_000720605.1
NZ_JOCF01000006.1	GCF_000720635.1
NZ_JOBX01000002.1	GCF_000720645.1
NZ_JOCG01000019.1	GCF_000720675.1
NZ_JOCG01000055.1	GCF_000720675.1
NZ_JOCL01000024.1	GCF_000720685.1
NZ_JOCR01000020.1	GCF_000720715.1
NZ_JOCQ01000011.1	GCF_000720725.1
NZ_JOCQ01000031.1	GCF_000720725.1
NZ_JOCU01000026.1	GCF_000720755.1
NZ_JODE01000022.1	GCF_000720795.1
NZ_JODT01000056.1	GCF_000720835.1
NZ_JODT01000047.1	GCF_000720835.1
NZ_JOEO01000023.1	GCF_000721045.1
NZ_JOEV01000071.1	GCF_000721105.1
NZ_JOEV01000007.1	GCF_000721105.1
NZ_JOEZ01000017.1	GCF_000721175.1
NZ_JOEZ01000029.1	GCF_000721175.1
NZ_JOFC01000029.1	GCF_000721185.1
NZ_JOFK01000002.1	GCF_000721255.1
NZ_JOFZ01000008.1	GCF_000721265.1
NZ_JOGD01000002.1	GCF_000721305.1
NZ_JOGT01000004.1	GCF_000721335.1
NZ_JOGH01000025.1	GCF_000721345.1
NZ_JOGV01000020.1	GCF_000721365.1
NZ_JOHY01000021.1	GCF_000721495.1
NZ_JOHZ01000010.1	GCF_000721515.1
NZ_JOIC01000039.1	GCF_000721525.1
NZ_JOIW01000001.1	GCF_000721595.1
NZ_JOJJ01000005.1	GCF_000721665.1
NZ_KL585414.1	GCF_000721935.1
NZ_JOFR01000070.1	GCF_000725465.1
NZ_JNXR01000018.1	GCF_000725475.1
NZ_JNZD01000038.1	GCF_000725495.1
NZ_JNZP01000005.1	GCF_000725545.1
NZ_JNZG01000006.1	GCF_000725555.1
NZ_JOCK01000001.1	GCF_000725565.1
NZ_JOGJ01000010.1	GCF_000725645.1
NZ_JOIV01000036.1	GCF_000725655.1
NZ_JOJC01000003.1	GCF_000725705.1
NZ_JOJC01000016.1	GCF_000725705.1
NZ_JOEP01000080.1	GCF_000725815.1
NZ_JPHT01000047.1	GCF_000733325.1
NZ_KL997434.1	GCF_000738695.1
NZ_KN039949.1	GCF_000739045.1
NZ_CP009124.1	GCF_000739105.1
NZ_JPWW01000020.1	GCF_000743295.1
NZ_JQML01000001.1	GCF_000744705.1
NZ_JQMO01000003.1	GCF_000744785.1
NZ_JQMQ01000004.1	GCF_000744815.1
NZ_JFBM01000009.1	GCF_000749465.2
NZ_JPLW01000009.1	GCF_000754115.1
NZ_CP009438.1	GCF_000761215.1
NZ_BAVY01000029.1	GCF_000764715.1
NZ_CP009754.1	GCF_000772045.1
NZ_BBPL01000042.1	GCF_000787755.1
NZ_BBPN01000034.1	GCF_000787795.1
NZ_BBPN01000001.1	GCF_000787795.1
NZ_JTCK01000093.1	GCF_000797385.1
NZ_JNFP01000001.1	GCF_000811985.1
NZ_CP003988.1	GCF_000816025.1
NZ_JUIG01000022.1	GCF_000816485.1
NZ_JTIY01000001.1	GCF_000818175.1
NZ_CP009313.1	GCF_000819545.1
NZ_CDME01000002.1	GCF_000826545.1
NZ_CDME01000012.1	GCF_000826545.1
CP010519.1	GCF_000827005.1
NZ_BBNO01000007.1	GCF_000829715.2
NZ_CP010407.1	GCF_000830005.1
NZ_JXZB01000002.1	GCF_000836635.1
NZ_CP010849.1	GCF_000931445.1
NZ_JXUQ02000001.1	GCF_000935135.2
NZ_CP026094.1	GCF_000935185.3
LK022848.1	GCF_000938975.1
NZ_CP016174.1	GCF_000943515.2
CP007699.2	GCF_000952035.2
NZ_JYJG01000002.1	GCF_000955955.1
NZ_JYJI01000339.1	GCF_000956015.1
NZ_LACL01000076.1	GCF_000958545.1
CP006871.1	GCF_000963515.1
NZ_JZWW01000231.1	GCF_000966965.1
NZ_JZWV01000207.1	GCF_000966975.1
NZ_JZWV01000877.1	GCF_000966975.1
NZ_JXWX01000036.1	GCF_000972395.1
NZ_LARV01000404.1	GCF_000972435.1
NZ_BBOJ01000004.1	GCF_000974445.1
NZ_LBHA01000099.1	GCF_000978515.1
NZ_CP009922.3	GCF_000993785.3
NZ_LBMU02000089.1	GCF_001005085.2
NZ_LBMU02000045.1	GCF_001005085.2
NZ_LAQS01000005.1	GCF_001008345.1
NZ_CP011492.1	GCF_001011035.1
NZ_CP011497.1	GCF_001027185.1
NZ_CP011799.1	GCF_001040905.1
NZ_CVPB01000001.1	GCF_001049855.1
NZ_LFXA01000002.1	GCF_001187435.1
NZ_LFXA01000007.1	GCF_001187435.1
NZ_JPRF03000065.1	GCF_001188955.3
NZ_KQ257829.1	GCF_001189015.1
NZ_KQ257835.1	GCF_001189015.1
NZ_KQ257833.1	GCF_001189015.1
NZ_LGSP01000018.1	GCF_001190165.1
NZ_CP011112.1	GCF_001190945.1
NZ_CP012382.1	GCF_001267885.1
NZ_DF968245.1	GCF_001270025.1
NZ_LGUS01000185.1	GCF_001270505.1
LGUW01000343.1	GCF_001270585.1
LGUX01000140.1	GCF_001270635.1
LGUY01000124.1	GCF_001270665.1
NZ_CP011340.1	GCF_001278075.1
NZ_CP011522.1	GCF_001278095.1
NZ_LGCO01000036.1	GCF_001279015.1
NZ_LGCP01000094.1	GCF_001279025.1
NZ_LGCQ01000113.1	GCF_001279065.1
NZ_LGCR01000013.1	GCF_001279075.1
NZ_LGCT01000154.1	GCF_001279095.1
NZ_LGCS01000026.1	GCF_001279105.1
NZ_LGCV01000415.1	GCF_001279345.1
NZ_LGCX01000002.1	GCF_001279355.1
NZ_LGCW01000295.1	GCF_001279365.1
NZ_LGCW01000311.1	GCF_001279365.1
NZ_LGCU01000014.1	GCF_001279375.1
NZ_LGCZ01000150.1	GCF_001279445.1
NZ_LGDM01000246.1	GCF_001279485.1
NZ_LGDR01000238.1	GCF_001279495.1
NZ_LGDY01000125.1	GCF_001279525.1
NZ_LGDZ01000074.1	GCF_001279545.1
NZ_LGDZ01000254.1	GCF_001279545.1
NZ_LGEF01000068.1	GCF_001279605.1
NZ_LGEH01000146.1	GCF_001279615.1
NZ_LGDC01000202.1	GCF_001279685.1
NZ_LGDD01000155.1	GCF_001279695.1
NZ_LGDE01000092.1	GCF_001279725.1
NZ_LGDP01000234.1	GCF_001279765.1
NZ_LGDG01000213.1	GCF_001279775.1
NZ_LGDN01000014.1	GCF_001279815.1
NZ_LGDL01000106.1	GCF_001279845.1
NZ_LGDK01000025.1	GCF_001279855.1
NZ_LGDJ01000002.1	GCF_001279885.1
NZ_LGDI01000002.1	GCF_001279905.1
NZ_LGDS01000163.1	GCF_001279925.1
NZ_LGDH01000225.1	GCF_001279935.1
NZ_LGDT01000026.1	GCF_001279965.1
NZ_LGDX01000236.1	GCF_001280045.1
NZ_LGEE01000227.1	GCF_001280095.1
NZ_LGEG01000229.1	GCF_001280125.1
NZ_LGKG01000001.1	GCF_001294335.1
LJCU01000284.1	GCF_001298565.1
NZ_CP012752.1	GCF_001302585.1
NZ_LFCW01000002.1	GCF_001306465.1
LN881739.1	GCF_001406115.1
NZ_BBOK01000010.1	GCF_001417675.1
NZ_BBRS01000024.1	GCF_001417695.1
NZ_LIPN01000355.1	GCF_001418325.1
NZ_LIPP01000032.1	GCF_001418335.1
NZ_LIQM01000185.1	GCF_001418395.1
NZ_LIQU01000395.1	GCF_001418465.1
NZ_LIQU01000208.1	GCF_001418465.1
NZ_LIQX01000488.1	GCF_001418475.1
NZ_LIQQ01000126.1	GCF_001418565.1
NZ_LIQR01000176.1	GCF_001418575.1
NZ_LIQS01000491.1	GCF_001418585.1
NZ_LIQV01000609.1	GCF_001418625.1
NZ_LIQW01000217.1	GCF_001418645.1
NZ_LIQW01000080.1	GCF_001418645.1
NZ_LIQZ01000137.1	GCF_001418655.1
NZ_LIRI01000093.1	GCF_001419685.1
NZ_LIRG01000043.1	GCF_001419695.1
NZ_LIRJ01000059.1	GCF_001419745.1
NZ_LIRK01000180.1	GCF_001419765.1
NZ_LIRL01000175.1	GCF_001419795.1
NZ_CP012182.1	GCF_001420975.1
NZ_CP012185.1	GCF_001420995.1
NZ_LMCT01000012.1	GCF_001424875.1
NZ_LMDL01000031.1	GCF_001425805.1
NZ_LMEL01000002.1	GCF_001426325.1
NZ_LMEP01000005.1	GCF_001426405.1
NZ_LMEI01000001.1	GCF_001426585.1
NZ_LMEU01000025.1	GCF_001426615.1
NZ_LMFE01000008.1	GCF_001427185.1
NZ_LMFT01000032.1	GCF_001427245.1
NZ_LMGX01000022.1	GCF_001427565.1
NZ_LMHG01000004.1	GCF_001427745.1
NZ_LMHX01000004.1	GCF_001429805.1
NZ_CM003601.1	GCF_001434355.1
NZ_LNBE01000006.1	GCF_001445655.1
NZ_LLZU01000011.1	GCF_001445835.1
NZ_CP010271.1	GCF_001456355.1
NZ_LNDA01000061.1	GCF_001482675.1
CP013142.1	GCF_001484705.1
NZ_BCMK01000004.1	GCF_001485105.1
NZ_BCMK01000008.1	GCF_001485105.1
NZ_BCMK01000017.1	GCF_001485105.1
NZ_BCMK01000009.1	GCF_001485105.1
BCMN01000020.1	GCF_001485145.1
NZ_LN929893.1	GCF_001493375.1
NZ_LMWF01000068.1	GCF_001507395.1
NZ_LMWH01000240.1	GCF_001507435.1
NZ_LLZG01000276.1	GCF_001509475.1
NZ_LLZG01000288.1	GCF_001509475.1
NZ_LLZM01000108.1	GCF_001509785.1
NZ_LLZN01000013.1	GCF_001509795.1
LN997842.1	GCF_001511815.1
NZ_KQ948068.1	GCF_001513965.1
NZ_KQ948181.1	GCF_001513985.1
NZ_KQ948305.1	GCF_001514045.1
NZ_KQ948366.1	GCF_001514055.1
NZ_KQ948489.1	GCF_001514115.1
NZ_KQ948596.1	GCF_001514135.1
NZ_KQ948659.1	GCF_001514145.1
NZ_KQ948738.1	GCF_001514195.1
NZ_KQ948766.1	GCF_001514205.1
NZ_KQ948870.1	GCF_001514215.1
NZ_KQ948926.1	GCF_001514235.1
NZ_KQ948995.1	GCF_001514265.1
NZ_KQ949023.1	GCF_001514285.1
NZ_KQ949082.1	GCF_001514305.1
NZ_FAOZ01000027.1	GCF_001536285.1
NZ_LRMV01000017.1	GCF_001542325.1
NZ_CP016279.1	GCF_001542625.1
NZ_JYIJ01000014.1	GCF_001543895.1
NZ_JYIK01001006.1	GCF_001543915.1
NZ_LRTS01001743.1	GCF_001550315.1
NZ_BCQP01000061.1	GCF_001552135.1
NZ_BCRK01000251.1	GCF_001552555.1
NZ_BCRO01000124.1	GCF_001552635.1
NZ_BCRR01000076.1	GCF_001552695.1
NZ_BBOU01000025.1	GCF_001553435.1
NZ_LRQV01000156.1	GCF_001567585.1
NZ_BCAN01000030.1	GCF_001570645.1
NZ_BBUY01000002.1	GCF_001590865.1
NZ_LQYF01000001.1	GCF_001592685.1
NZ_LOSR01000140.1	GCF_001595515.1
NZ_BDAV01000017.1	GCF_001612635.1
NZ_BDAX01000002.1	GCF_001612665.1
NZ_BDAZ01000020.1	GCF_001612725.1
NZ_BDBA01000003.1	GCF_001612745.1
NZ_BDBC01000010.1	GCF_001612785.1
NZ_BDBF01000013.1	GCF_001612845.1
NZ_BDBL01000015.1	GCF_001612965.1
NZ_BDBM01000010.1	GCF_001612985.1
NZ_BDBN01000020.1	GCF_001613005.1
NZ_BDBS01000022.1	GCF_001613105.1
NZ_BDBV01000067.1	GCF_001613165.1
NZ_BDCD01000004.1	GCF_001613325.1
NZ_BDCI01000004.1	GCF_001613425.1
NZ_BDCM01000026.1	GCF_001613505.1
NZ_BDCN01000031.1	GCF_001613525.1
NZ_LQMT02000005.1	GCF_001620365.2
NZ_KV411303.1	GCF_001625105.1
NZ_KV411304.1	GCF_001625105.1
NZ_LJJF01000001.1	GCF_001625365.1
NZ_CP012949.1	GCF_001632865.1
NZ_LRTK01000005.1	GCF_001636565.1
NZ_LRTJ01000107.1	GCF_001636575.1
NZ_LWBU01000300.1	GCF_001646665.1
NZ_LVCV01000617.1	GCF_001647195.1
NZ_LWSF01000001.1	GCF_001651785.1
NZ_BDDR01000049.1	GCF_001653115.1
NZ_LYOY01000040.1	GCF_001653515.1
NZ_CP015867.1	GCF_001660045.1
NZ_LZSP01000177.1	GCF_001665525.1
NZ_LZML01000005.1	GCF_001665695.1
NZ_LZMK01000309.1	GCF_001665865.1
LZIG01000288.1	GCF_001667455.1
NZ_CP016438.1	GCF_001685355.1
NZ_LZRD01000009.1	GCF_001687325.1
NZ_LRRM01000003.1	GCF_001689765.1
NZ_MAUD01000134.1	GCF_001700515.1
NZ_CP016793.1	GCF_001701025.1
NZ_CP016824.1	GCF_001704195.1
NZ_MDFG01000018.1	GCF_001705785.1
NZ_MDCQ01000311.1	GCF_001723065.1
NZ_CP017248.1	GCF_001735805.1
NZ_JPRA01000029.1	GCF_001742805.1
NZ_MJAF01000007.1	GCF_001746285.1
NZ_MJAH01000015.1	GCF_001746295.1
NZ_MJAI01000030.1	GCF_001746305.1
NZ_MJAG01000039.1	GCF_001746315.1
NZ_MJAJ01000057.1	GCF_001746365.1
NZ_MJAJ01000007.1	GCF_001746365.1
NZ_BBZK01000006.1	GCF_001748085.1
NZ_LJGZ01000005.1	GCF_001751305.1
NZ_LJGS01000039.1	GCF_001751345.1
NZ_LJGT01000041.1	GCF_001751365.1
CP016825.1	GCF_001753425.1
