Organism	Scaffold	Start	End	Score	SCO5086	SCO5087	SCO5088	SCO5089	assembly_file	representative	dereplication_status
Streptomyces coelicolor A3(2) CFB_NBC_0001	NZ_CP042324.1	5529045	5532820	7.2426	1	1	1	1	GCF_008931305.1_ASM893130v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces coelicolor A3(2) ICSSB 1010	NZ_VNID01000008.1	238119	241894	7.2426	1	1	1	1	GCF_008124915.1_ASM812491v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces violaceoruber CGMCC 4.1801	NZ_CP137734.1	3015845	3019620	7.2426	1	1	1	1	GCF_033406955.1_ASM3340695v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces violaceoruber NRRL S-12	NZ_JOCE01000030.1	77912	81687	7.2426	1	1	1	1	GCF_000717845.1_ASM71784v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces violaceoruber JCM 4423	JBHTEW010000002.1	3029134	3032909	7.2426	1	1	1	1	GCA_042674805.1_ASM4267480v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. ISBFB 2968	NZ_JAJSYZ010000040.1	2888	6663	7.2426	1	1	1	1	GCF_036815065.1_ASM3681506v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. NRRL_B-16638	NZ_JARAWB010000040.1	18540	22315	7.2426	1	1	1	1	GCF_033793065.1_ASM3379306v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces sp. ME03-5684b	NZ_JARAXO010000008.1	120160	123935	7.2425	1	1	1	1	GCF_033793905.1_ASM3379390v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. ME02-6979A	NZ_JARAXW010000008.1	120313	124088	7.2426	1	1	1	1	GCF_033794085.1_ASM3379408v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. ME02-6977A	NZ_JARAYD010000057.1	2953	6728	7.2426	1	1	1	1	GCF_033794255.1_ASM3379425v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. ME01-18h	NZ_JARAYG010000007.1	189669	193444	7.2426	1	1	1	1	GCF_033794285.1_ASM3379428v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC059906	NZ_JBHWKU010000017.1	55	3830	7.2374	1	1	1	1	GCF_042730645.1_ASM4273064v1_genomic.fna.gz	GCF_042730645.1_ASM4273064v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC059906	NZ_JBHWKU010000054.1	13333	17238	6.1431	1	1	1	1	GCF_042730645.1_ASM4273064v1_genomic.fna.gz	GCF_042730645.1_ASM4273064v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC059906	NZ_JBHWKU010000010.1	34960	38552	6.1419	1	1	1	1	GCF_042730645.1_ASM4273064v1_genomic.fna.gz	GCF_042730645.1_ASM4273064v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. WM6391	NZ_JXWX01000036.1	18554	22329	7.2423	1	1	1	1	GCF_000972395.1_ASM97239v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces sp. 2114.2	NZ_LT629768.1	5649887	5653662	7.2425	1	1	1	1	GCF_900104935.1_IMG-taxon_2690315611_annotated_assembly_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. 111WW2	NZ_MUYY01000046.1	18560	22335	7.2426	1	1	1	1	GCF_003013745.1_ASM301374v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. 2221.1	NZ_QUNN01000001.1	5647413	5651188	7.2425	1	1	1	1	GCF_003387455.1_ASM338745v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces sp. LRa12	NZ_SSBN01000027.1	49644	53419	7.2424	1	1	1	1	GCF_004795155.1_ASM479515v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. SID7813	NZ_WWHF01000001.1	5528934	5532709	7.2426	1	1	1	1	GCF_009862445.1_ASM986244v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. RK76	NZ_JAGPYG010000003.1	170051	173826	7.2422	1	1	1	1	GCF_018070145.1_ASM1807014v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces sp. ME02-6987-2C	NZ_JARAXU010000113.1	18740	22515	7.2423	1	1	1	1	GCF_033794065.1_ASM3379406v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces sp. ME02-6985-2c	NZ_JARAXV010000006.1	120056	123831	7.2423	1	1	1	1	GCF_033794105.1_ASM3379410v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC127039	NZ_JBHXDR010000049.1	61067	64842	7.2377	1	1	1	1	GCF_042725935.1_ASM4272593v1_genomic.fna.gz	GCF_042725935.1_ASM4272593v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC127039	NZ_JBHXDR010000107.1	10224	14130	6.1432	1	1	1	1	GCF_042725935.1_ASM4272593v1_genomic.fna.gz	GCF_042725935.1_ASM4272593v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. RB13	NZ_JAMQUP010000001.1	2968470	2972245	7.2421	1	1	1	1	GCF_036633395.1_ASM3663339v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC021969	NZ_JBFACC010000003.1	354360	358144	7.2363	1	1	1	1	GCF_040640615.1_ASM4064061v1_genomic.fna.gz	GCF_040640615.1_ASM4064061v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC021086	NZ_JBIRQL010000001.1	1023110	1026894	7.2363	1	1	1	1	GCF_044333105.1_ASM4433310v1_genomic.fna.gz	GCF_040640615.1_ASM4064061v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC001599	NZ_JBIAVA010000002.1	784102	787886	7.2362	1	1	1	1	GCF_042893535.1_ASM4289353v1_genomic.fna.gz	GCF_042893535.1_ASM4289353v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. R28	NZ_CP163439.1	6840189	6843994	7.2202	1	1	1	1	GCF_041052385.1_ASM4105238v1_genomic.fna.gz	GCF_041052385.1_ASM4105238v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC060223	NZ_JBHXAA010000336.1	5235	9037	7.2165	1	1	1	1	GCF_042727635.1_ASM4272763v1_genomic.fna.gz	GCF_042671685.1_ASM4267168v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC127595	NZ_JBHXWK010000008.1	351841	355643	7.2165	1	1	1	1	GCF_042671685.1_ASM4267168v1_genomic.fna.gz	GCF_042671685.1_ASM4267168v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. MMG1533	NZ_LGDG01000213.1	162276	166048	7.2185	1	1	1	1	GCF_001279775.1_ASM127977v1_genomic.fna.gz	GCF_001279775.1_ASM127977v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. AS02	NZ_JAMJVZ010000048.1	19060	22836	7.2215	1	1	1	1	GCF_023554615.1_ASM2355461v1_genomic.fna.gz	GCF_023554615.1_ASM2355461v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC057740	NZ_JBHVJV010000024.1	98283	102074	7.2205	1	1	1	1	GCF_042798795.1_ASM4279879v1_genomic.fna.gz	GCF_042957325.1_ASM4295732v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC008086	NZ_JBIBIA010000010.1	47421	51212	7.2206	1	1	1	1	GCF_042957325.1_ASM4295732v1_genomic.fna.gz	GCF_042957325.1_ASM4295732v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC052727	NZ_JBFATK010000009.1	28907	32684	7.2225	1	1	1	1	GCF_040678255.1_ASM4067825v1_genomic.fna.gz	GCF_040678315.1_ASM4067831v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC052721	NZ_JBFATL010000054.1	17231	21008	7.2227	1	1	1	1	GCF_040678315.1_ASM4067831v1_genomic.fna.gz	GCF_040678315.1_ASM4067831v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC004065	NZ_JBJDQT010000020.1	143287	147126	7.2154	1	1	1	1	GCF_044903565.1_ASM4490356v1_genomic.fna.gz	GCF_044903565.1_ASM4490356v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. WAC 01325	NZ_QHKK01000050.1	30059	34224	7.1678	1	1	1	1	GCF_003977875.1_ASM397787v1_genomic.fna.gz	GCF_003977875.1_ASM397787v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC088921	NZ_JBFBHU010000001.1	556539	561022	7.1686	1	1	1	1	GCF_040685365.1_ASM4068536v1_genomic.fna.gz	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC088921	NZ_JBFBHU010000058.1	11099	14737	6.1429	1	1	1	1	GCF_040685365.1_ASM4068536v1_genomic.fna.gz	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC088921	NZ_JBFBHU010000048.1	30130	33731	6.1469	1	1	1	1	GCF_040685365.1_ASM4068536v1_genomic.fna.gz	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC050481	NZ_JBITHS010000008.1	150756	155239	7.1686	1	1	1	1	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC050481	NZ_JBITHS010000033.1	75942	79580	6.1429	1	1	1	1	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC050481	NZ_JBITHS010000046.1	23502	27103	6.1469	1	1	1	1	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	GCF_044458225.1_ASM4445822v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC093568	NZ_JBIWJD010000030.1	156	4321	7.1685	1	1	1	1	GCF_044764945.1_ASM4476494v1_genomic.fna.gz	GCF_044764945.1_ASM4476494v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC091972	NZ_JBIVSV010000004.1	620743	625629	7.1693	1	1	1	1	GCF_044756385.1_ASM4475638v1_genomic.fna.gz	GCF_044756385.1_ASM4475638v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC093990	NZ_JBFBDF010000003.1	218132	223069	7.1692	1	1	1	1	GCF_040683155.1_ASM4068315v1_genomic.fna.gz	GCF_044756385.1_ASM4475638v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC086033	NZ_JBITRW010000002.1	628246	632714	7.1677	1	1	1	1	GCF_044540275.1_ASM4454027v1_genomic.fna.gz	GCF_044540275.1_ASM4454027v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC048193	NZ_JBEZMN010000015.1	75930	92614	6.1618	1	1	1	1	GCF_040652735.1_ASM4065273v1_genomic.fna.gz	GCF_043202255.1_ASM4320225v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC048219	NZ_JBIDAB010000028.1	66498	83182	6.162	1	1	1	1	GCF_043202255.1_ASM4320225v1_genomic.fna.gz	GCF_043202255.1_ASM4320225v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC048185	NZ_JBIDAN010000002.1	286347	303031	6.1618	1	1	1	1	GCF_043202495.1_ASM4320249v1_genomic.fna.gz	GCF_043202255.1_ASM4320225v1_genomic.fna.gz	redundant
Streptomyces sp. Y7	NZ_JBIDDQ010000011.1	98075	102240	7.1679	1	1	1	1	GCF_043195415.1_ASM4319541v1_genomic.fna.gz	GCF_043195415.1_ASM4319541v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. Root369	NZ_LMDL01000031.1	38360	42631	7.1687	1	1	1	1	GCF_001425805.1_Root369_genomic.fna.gz	GCF_001425805.1_Root369_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC102476	NZ_JBIWJW010000002.1	341563	346396	7.1685	1	1	1	1	GCF_044765305.1_ASM4476530v1_genomic.fna.gz	GCF_044765305.1_ASM4476530v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC102476	NZ_JBIWJW010000012.1	280406	284007	6.1467	1	1	1	1	GCF_044765305.1_ASM4476530v1_genomic.fna.gz	GCF_044765305.1_ASM4476530v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. 12257	NZ_JASCSJ010000021.1	356	3958	5.151	1	1	1	0	GCF_030010495.1_ASM3001049v1_genomic.fna.gz	GCF_001514145.1_ASM151414v1_genomic.fna.gz	readded_by_content
Streptomyces sp. NPDC102405	NZ_JBIWKQ010000016.1	41119	45476	7.168	1	1	1	1	GCF_044765745.1_ASM4476574v1_genomic.fna.gz	GCF_044765305.1_ASM4476530v1_genomic.fna.gz	redundant
Streptomyces sp. SAI-041	NZ_JARXYO010000001.1	6421749	6426500	7.1687	1	1	1	1	GCF_029893925.1_ASM2989392v1_genomic.fna.gz	GCF_029894375.1_ASM2989437v1_genomic.fna.gz	redundant
Streptomyces sp. SAI-144	NZ_JARXYK010000001.1	2530706	2534975	7.1684	1	1	1	1	GCF_029894355.1_ASM2989435v1_genomic.fna.gz	GCF_029894425.1_ASM2989442v1_genomic.fna.gz	redundant
Streptomyces sp. SAI-144	NZ_JARXYK010000001.1	4077049	4080700	6.1444	1	1	1	1	GCF_029894355.1_ASM2989435v1_genomic.fna.gz	GCF_029894425.1_ASM2989442v1_genomic.fna.gz	redundant
Streptomyces sp. SID5464	NZ_WWIQ01000009.1	9456	25960	6.1581	1	1	1	1	GCF_009862985.1_ASM986298v1_genomic.fna.gz	GCF_009862985.1_ASM986298v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. SAI-090	NZ_JARXYL010000001.1	6401046	6406122	7.1686	1	1	1	1	GCF_029894375.1_ASM2989437v1_genomic.fna.gz	GCF_029894375.1_ASM2989437v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. SAI-133	NZ_JARXYN010000002.1	2696713	2701575	7.1683	1	1	1	1	GCF_029893905.1_ASM2989390v1_genomic.fna.gz	GCF_029894375.1_ASM2989437v1_genomic.fna.gz	redundant
Streptomyces sp. SAI-135	NZ_JARXYP010000002.1	2881558	2886634	7.1686	1	1	1	1	GCF_029893805.1_ASM2989380v1_genomic.fna.gz	GCF_029894375.1_ASM2989437v1_genomic.fna.gz	redundant
Streptomyces sp. SAI-208	NZ_JARXYQ010000002.1	6588909	6593986	7.1684	1	1	1	1	GCF_029894045.1_ASM2989404v1_genomic.fna.gz	GCF_029894375.1_ASM2989437v1_genomic.fna.gz	redundant
Streptomyces sp. SAI-127	NZ_JARXYJ010000001.1	7415535	7419804	7.1682	1	1	1	1	GCF_029894425.1_ASM2989442v1_genomic.fna.gz	GCF_029894425.1_ASM2989442v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. SAI-127	NZ_JARXYJ010000001.1	5798999	5802650	6.1448	1	1	1	1	GCF_029894425.1_ASM2989442v1_genomic.fna.gz	GCF_029894425.1_ASM2989442v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. SAI-117	NZ_JARXYM010000001.1	6402508	6407584	7.1683	1	1	1	1	GCF_029894325.1_ASM2989432v1_genomic.fna.gz	GCF_029894375.1_ASM2989437v1_genomic.fna.gz	redundant
Streptomyces sp. Ag109_O5-10	NZ_FNTQ01000001.1	1498923	1503089	7.1654	1	1	1	1	GCF_900105755.1_IMG-taxon_2675902962_annotated_assembly_genomic.fna.gz	GCF_040298225.1_ASM4029822v1_genomic.fna.gz	redundant
Streptomyces sp. Ag109_O5-10	NZ_FNTQ01000001.1	6124888	6129217	6.1436	1	1	1	1	GCF_900105755.1_IMG-taxon_2675902962_annotated_assembly_genomic.fna.gz	GCF_040298225.1_ASM4029822v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC001797	NZ_JBIAUB010000003.1	933675	937841	7.1651	1	1	1	1	GCF_042892425.1_ASM4289242v1_genomic.fna.gz	GCF_040298045.1_ASM4029804v1_genomic.fna.gz	redundant
