JSWS02000001.1	GCA_000772595.2
REPM01000064.1	GCA_003681715.1
REPP01000017.1	GCA_003681795.1
REPQ01000002.1	GCA_003681815.1
REPT01000001.1	GCA_003681875.1
REYY01000009.1	GCA_003681895.1
REQR01000001.1	GCA_003682015.1
REUW01000003.1	GCA_003682035.1
REQN01000001.1	GCA_003682055.1
REQP01000001.1	GCA_003682095.1
REQT01000001.1	GCA_003682155.1
REQU01000001.1	GCA_003682175.1
REQV01000042.1	GCA_003682195.1
REQZ01000049.1	GCA_003682235.1
RERC01000002.1	GCA_003682415.1
REUS01000001.1	GCA_003682465.1
REVA01000001.1	GCA_003682515.1
RERM01000001.1	GCA_003682595.1
RERN01000013.1	GCA_003682675.1
RERR01000026.1	GCA_003682695.1
REXH01000025.1	GCA_003682855.1
RERX01000066.1	GCA_003682915.1
RERY01000001.1	GCA_003682955.1
REXK01000069.1	GCA_003683035.1
REXM01000159.1	GCA_003683055.1
REVB01000001.1	GCA_003683135.1
RESH01000001.1	GCA_003683175.1
RESF01000040.1	GCA_003683195.1
RESE01000035.1	GCA_003683215.1
RETM01000017.1	GCA_003683275.1
RETM01000003.1	GCA_003683275.1
RETF01000016.1	GCA_003683335.1
RETF01000018.1	GCA_003683335.1
REZD01000029.1	GCA_003683415.1
RETJ01000001.1	GCA_003683475.1
RETK01000001.1	GCA_003683495.1
RETO01000001.1	GCA_003683615.1
RETP01000011.1	GCA_003683635.1
RETU01000001.1	GCA_003683675.1
RETR01000001.1	GCA_003683695.1
REZG01000001.1	GCA_003683715.1
RETW01000001.1	GCA_003683755.1
REYZ01000001.1	GCA_003683835.1
RETV01000001.1	GCA_003683855.1
REWG01000055.1	GCA_003683955.1
REUG01000010.1	GCA_003684055.1
REUH01000001.1	GCA_003684075.1
REUJ01000001.1	GCA_003684175.1
REYI01000026.1	GCA_003684275.1
REYJ01000084.1	GCA_003684315.1
REYJ01000079.1	GCA_003684315.1
REYO01000062.1	GCA_003684335.1
REYO01000068.1	GCA_003684335.1
REYQ01000017.1	GCA_003684475.1
RFAG01000035.1	GCA_003684535.1
REVH01000002.1	GCA_003684555.1
REVL01000001.1	GCA_003684595.1
REVK01000002.1	GCA_003684635.1
REVM01000001.1	GCA_003684655.1
REVR01000002.1	GCA_003684755.1
REVV01000002.1	GCA_003684775.1
REVW01000002.1	GCA_003684855.1
REVX01000002.1	GCA_003684875.1
REVY01000001.1	GCA_003684895.1
REVZ01000002.1	GCA_003684915.1
REWK01000070.1	GCA_003685015.1
REWN01000073.1	GCA_003685095.1
REWX01000077.1	GCA_003685315.1
REZN01000005.1	GCA_003685475.1
REZM01000070.1	GCA_003685495.1
REZQ01000001.1	GCA_003685515.1
REZO01000001.1	GCA_003685535.1
REZR01000001.1	GCA_003685575.1
REZV01000052.1	GCA_003685615.1
REZW01000081.1	GCA_003685635.1
REZW01000073.1	GCA_003685635.1
REZY01000002.1	GCA_003685695.1
REZZ01000001.1	GCA_003685715.1
RFAA01000019.1	GCA_003685755.1
RFAA01000050.1	GCA_003685755.1
RFAC01000007.1	GCA_003685795.1
REXR01000024.1	GCA_003685855.1
REYA01000001.1	GCA_003685955.1
REXZ01000001.1	GCA_003686015.1
RFAI01000002.1	GCA_003686155.1
RFAJ01000001.1	GCA_003686175.1
RFAK01000001.1	GCA_003686195.1
RFAM01000001.1	GCA_003686215.1
RFAL01000001.1	GCA_003686235.1
RFAU01000003.1	GCA_003687585.1
RFAS01000001.1	GCA_003687625.1
RFAV01000026.1	GCA_003687645.1
RHJF01000043.1	GCA_003698285.1
RHJD01000001.1	GCA_003698305.1
RHJH01000017.1	GCA_003698345.1
RLCD01000117.1	GCA_003737125.1
RLMM01000001.1	GCA_003742505.1
RLMK01000001.1	GCA_003742545.1
RLPA01000004.1	GCA_003743925.1
RLVL01000022.1	GCA_003747965.1
RLWN01000001.1	GCA_003748485.1
RLZD01000032.1	GCA_003749945.1
RMGG01000003.1	GCA_003758445.1
RMTY01000062.1	GCA_003762505.1
RMTY01000024.1	GCA_003762505.1
RNCZ01000011.1	GCA_003765885.1
RNDQ01000010.1	GCA_003767845.1
RORH01000001.1	GCA_003781125.1
ROTY01000050.1	GCA_003785165.1
ROUC01000088.1	GCA_003785405.1
RSLW01000001.1	GCA_003870355.1
RSMF01000001.1	GCA_003870835.1
RSLM01000006.1	GCA_003871055.1
RSNC01000003.1	GCA_003871855.1
RSNB01000002.1	GCA_003871995.1
RSRV01000003.1	GCA_003873535.1
RSUW01000001.1	GCA_003875355.1
RSUM01000001.1	GCA_003875415.1
RSVV01000044.1	GCA_003876055.1
RTVM01000004.1	GCA_003891535.1
RUCK01000001.1	GCA_003894995.1
RUHY01000001.1	GCA_003898155.1
RUJE01000002.1	GCA_003899995.1
RULN01000029.1	GCA_003900555.1
RUTF01000028.1	GCA_003904295.1
RVNR01000043.1	GCA_003914775.1
RWAV01000001.1	GCA_003920675.1
AAAABA020000002.1	GCA_004027975.2
SATE01000025.1	GCA_004104175.1
SATE01000023.1	GCA_004104175.1
SATD01000001.1	GCA_004104235.1
SATC01000006.1	GCA_004104255.1
SATK01000001.1	GCA_004104295.1
SATJ01000001.1	GCA_004104315.1
SATG01000023.1	GCA_004104335.1
SATG01000025.1	GCA_004104335.1
AAAABF010000002.1	GCA_004129295.1
AAAABE010000001.1	GCA_004129315.1
AAAABP010000042.1	GCA_004129355.1
AAAABG010000003.1	GCA_004129395.1
AAAABQ010000030.1	GCA_004129425.1
AAAACI010000045.1	GCA_004130025.1
AAAACK010000002.1	GCA_004142025.1
AAAACP010000003.1	GCA_004142125.1
AAAACO010000034.1	GCA_004142165.1
AAAADL010000002.1	GCA_004142225.1
AAAACS010000060.1	GCA_004142245.1
AAAACU010000001.1	GCA_004142265.1
AAAACW010000001.1	GCA_004142425.1
AAAADK010000001.1	GCA_004142445.1
AAAADE010000019.1	GCA_004142625.1
AAAACZ010000008.1	GCA_004142635.1
AAAADR010000004.1	GCA_004142765.1
AAAADQ010000001.1	GCA_004142825.1
AAAAEZ010000001.1	GCA_004143085.1
AAAAEJ010000001.1	GCA_004143125.1
AAAAEO010000059.1	GCA_004143185.1
AAAAEQ010000001.1	GCA_004143225.1
AAAAEL010000001.1	GCA_004143265.1
AAAAER010000001.1	GCA_004143345.1
AAAAEV010000002.1	GCA_004143355.1
AAAAET010000002.1	GCA_004143425.1
AAAABO010000006.1	GCA_004150345.1
AAAAGC010000034.1	GCA_004150445.1
AAAAFZ010000001.1	GCA_004150455.1
AAAAFF010000022.1	GCA_004150485.1
AAAAFI010000003.1	GCA_004150495.1
AAAAFH010000004.1	GCA_004150585.1
AAAAFK010000013.1	GCA_004150665.1
AAAAGF010000001.1	GCA_004150675.1
AAAAGH010000001.1	GCA_004150885.1
AAAHGL010000001.1	GCA_004358485.1
AAAHGS010000001.1	GCA_004358505.1
AAAHGN010000001.1	GCA_004358525.1
AAAHGP010000010.1	GCA_004358545.1
AAAHGO010000001.1	GCA_004358555.1
AAAHGM010000001.1	GCA_004358585.1
AAAHGT020000001.1	GCA_004358605.2
AAAHGQ010000001.1	GCA_004358625.1
AAAHGR020000001.1	GCA_004358645.2
AAAHHG010000001.1	GCA_004379855.1
AAAHHE010000019.1	GCA_004379915.1
AAAHHD010000001.1	GCA_004379925.1
AAAHHI010000001.1	GCA_004379995.1
AAAHHP010000004.1	GCA_004380065.1
AAAHHO010000001.1	GCA_004380075.1
AAAHHM010000001.1	GCA_004380115.1
AAAHHS010000001.1	GCA_004381095.1
AAAHHX010000005.1	GCA_004381105.1
AAAHHT010000009.1	GCA_004381155.1
AAAHID010000003.1	GCA_004381335.1
AAAHIC010000001.1	GCA_004381355.1
AAAHIL010000001.1	GCA_004381375.1
AAAHIE010000001.1	GCA_004381435.1
AAAHIH010000001.1	GCA_004381545.1
AAAHIQ010000009.1	GCA_004381615.1
AAAHIU010000001.1	GCA_004381815.1
AAAHIW010000001.1	GCA_004381835.1
AAAHIY010000001.1	GCA_004381875.1
AAAHJO010000001.1	GCA_004382045.1
AAAHKH010000001.1	GCA_004382645.1
AAAHKL010000001.1	GCA_004382695.1
AAAHKT010000001.1	GCA_004382965.1
AAAHKQ010000001.1	GCA_004383025.1
AAAHKW010000002.1	GCA_004383145.1
AAAHKZ010000001.1	GCA_004383225.1
AAAHLD010000001.1	GCA_004383255.1
AAAHLI010000001.1	GCA_004383385.1
AAAHMD010000014.1	GCA_004383445.1
AAAHLN010000001.1	GCA_004383485.1
AAAHLP010000001.1	GCA_004383625.1
AAAHNN010000001.1	GCA_004383765.1
AAAHMG010000004.1	GCA_004384045.1
AAAHMK010000004.1	GCA_004384085.1
AAAHOI010000003.1	GCA_004384145.1
AAAHMN010000003.1	GCA_004384165.1
AAAHOK010000001.1	GCA_004384245.1
AAAHMV010000001.1	GCA_004384325.1
AAAHOJ010000001.1	GCA_004384345.1
AAAHMU010000008.1	GCA_004384385.1
AAAHMW010000001.1	GCA_004384405.1
AAAHOO010000001.1	GCA_004384445.1
AAAHNC010000001.1	GCA_004384465.1
AAAHNI010000032.1	GCA_004384525.1
AAAHNL010000003.1	GCA_004384545.1
AAAHNM010000001.1	GCA_004384565.1
AAAHNY010000001.1	GCA_004384745.1
AAAHOD010000001.1	GCA_004384805.1
AAAHNZ010000001.1	GCA_004384825.1
AAAHOF010000001.1	GCA_004384845.1
AAAHON010000001.1	GCA_004384945.1
AAAHOL010000001.1	GCA_004384965.1
AAAHPP010000001.1	GCA_004385125.1
AAAHQR010000001.1	GCA_004385245.1
AAAHOM010000001.1	GCA_004385335.1
AAAHQK010000001.1	GCA_004385365.1
AAAHOR010000002.1	GCA_004385385.1
AAAHOP010000001.1	GCA_004385395.1
AAAHOS010000001.1	GCA_004385445.1
AAAHOT010000001.1	GCA_004385485.1
AAAHOV010000001.1	GCA_004385565.1
AAAHOX010000002.1	GCA_004385605.1
AAAHPB010000001.1	GCA_004385685.1
AAAHPR010000001.1	GCA_004385845.1
AAAHPV010000001.1	GCA_004385905.1
AAAHQF010000001.1	GCA_004385945.1
AAAHPZ010000001.1	GCA_004385985.1
AAAHPW010000001.1	GCA_004386005.1
AAAHQB010000025.1	GCA_004386025.1
AAAHQE010000005.1	GCA_004386045.1
AAAHQC010000086.1	GCA_004386065.1
AAAHQZ010000001.1	GCA_004386265.1
AAAHQW010000005.1	GCA_004386305.1
AAAHRB010000031.1	GCA_004386405.1
AAAHRD010000016.1	GCA_004386425.1
AAAHRE010000015.1	GCA_004386465.1
AAAHRL010000003.1	GCA_004386505.1
AAAHRX010000003.1	GCA_004386705.1
AAAHRZ010000001.1	GCA_004386745.1
AAAHSZ010000030.1	GCA_004386865.1
AAAHTA010000001.1	GCA_004386885.1
AAAHTE010000001.1	GCA_004386925.1
AAAHSM010000003.1	GCA_004386985.1
AAAHTR010000014.1	GCA_004387025.1
AAAHUZ010000002.1	GCA_004387085.1
AAAHUZ010000019.1	GCA_004387085.1
AAAHUW010000001.1	GCA_004387105.1
AAAHSS010000001.1	GCA_004387145.1
AAAHST010000001.1	GCA_004387165.1
AAAHSN010000001.1	GCA_004387205.1
AAAHTT010000001.1	GCA_004387225.1
AAAHTU010000001.1	GCA_004387265.1
AAAHUS010000016.1	GCA_004387325.1
AAAHTQ010000005.1	GCA_004387365.1
AAAHUR010000001.1	GCA_004387385.1
AAAHUX010000001.1	GCA_004387495.1
AAAHSG010000001.1	GCA_004387725.1
AAAHYD010000092.1	GCA_004387765.1
AAAHSF010000009.1	GCA_004387805.1
AAAHSP010000001.1	GCA_004387845.1
AAAHSL010000001.1	GCA_004387865.1
AAAHSK010000001.1	GCA_004387925.1
AAAHSW010000012.1	GCA_004387965.1
AAAHTD010000007.1	GCA_004388045.1
AAAHTO010000001.1	GCA_004388165.1
AAAHUU010000006.1	GCA_004388665.1
AAAHVE010000040.1	GCA_004388745.1
AAAHVK010000001.1	GCA_004388765.1
AAAHVF010000009.1	GCA_004388785.1
AAAHVN010000002.1	GCA_004388845.1
AAAHVJ010000001.1	GCA_004388865.1
AAAHVG010000018.1	GCA_004388875.1
AAAHVO010000029.1	GCA_004388955.1
AAAHVR010000047.1	GCA_004389125.1
AAAHVR010000051.1	GCA_004389125.1
AAAHWG010000051.1	GCA_004389215.1
AAAHWR010000003.1	GCA_004389385.1
AAAHWQ010000001.1	GCA_004389405.1
AAAHXF010000001.1	GCA_004389505.1
AAAHXI010000001.1	GCA_004389645.1
AAAHXT010000001.1	GCA_004389785.1
AAAHXQ010000003.1	GCA_004389825.1
AAAHXS010000001.1	GCA_004389885.1
AAAHYB010000023.1	GCA_004389945.1
AAAHZH010000001.1	GCA_004390145.1
AAAHYG010000001.1	GCA_004390265.1
AAAHYO010000001.1	GCA_004390285.1
AAAHYQ010000003.1	GCA_004390355.1
AAAHYM010000001.1	GCA_004390385.1
AAAHYY010000001.1	GCA_004390475.1
AAAHZJ010000001.1	GCA_004390505.1
AAAHYX010000002.1	GCA_004390525.1
AAAHYW010000001.1	GCA_004390545.1
AAAHYZ010000001.1	GCA_004390565.1
AAAHZL010000001.1	GCA_004390585.1
AAAHZO010000001.1	GCA_004390605.1
AAAHZD010000015.1	GCA_004390625.1
AAAHZA010000023.1	GCA_004390645.1
AAAHZR010000001.1	GCA_004390685.1
AAAHZP010000001.1	GCA_004390745.1
AAAIAK010000001.1	GCA_004390845.1
AAAIBL010000001.1	GCA_004391125.1
AAAIBM010000001.1	GCA_004391175.1
AAAHZW010000013.1	GCA_004391225.1
AAAHZZ010000001.1	GCA_004391265.1
AAAIAO010000003.1	GCA_004391485.1
AAAIAR010000001.1	GCA_004391545.1
AAAIAW010000001.1	GCA_004391585.1
AAAIEA010000001.1	GCA_004391975.1
AAAIHJ010000001.1	GCA_004392105.1
AAAIEX010000001.1	GCA_004392385.1
AAAIEU010000001.1	GCA_004392425.1
AAAIEV010000001.1	GCA_004392445.1
AAAIGA010000004.1	GCA_004392545.1
AAAIHE010000066.1	GCA_004392765.1
AAAICG010000029.1	GCA_004392825.1
AAAICF010000001.1	GCA_004393025.1
AAAICM010000011.1	GCA_004393045.1
AAAIDJ010000001.1	GCA_004393165.1
AAAIDE010000008.1	GCA_004393185.1
AAAIDG010000001.1	GCA_004393305.1
AAAIDI010000001.1	GCA_004393325.1
AAAIDN010000001.1	GCA_004393385.1
AAAIEH010000002.1	GCA_004393585.1
AAAIEC010000001.1	GCA_004393605.1
AAAIDZ010000011.1	GCA_004393625.1
AAAIEM010000030.1	GCA_004393715.1
AAAIEL010000019.1	GCA_004393785.1
AAAIFB010000001.1	GCA_004393845.1
AAAIFS010000001.1	GCA_004394105.1
AAAIFP010000001.1	GCA_004394225.1
AAAIGE010000001.1	GCA_004394305.1
AAAIGN010000002.1	GCA_004394405.1
AAAIGK010000014.1	GCA_004394425.1
AAAIGR010000001.1	GCA_004394545.1
AAAIHA010000016.1	GCA_004394625.1
AAAIGT010000001.1	GCA_004394645.1
AAAIHH010000174.1	GCA_004394685.1
AAAIHK010000054.1	GCA_004394705.1
AAAIJY010000001.1	GCA_004394905.1
AAAILG010000001.1	GCA_004394915.1
AAAILF010000016.1	GCA_004394945.1
AAAIIC010000003.1	GCA_004395045.1
AAAIJC010000008.1	GCA_004395125.1
AAAIKE010000001.1	GCA_004395285.1
AAAILH010000024.1	GCA_004395445.1
AAAIMJ010000022.1	GCA_004395485.1
AAAIHM010000023.1	GCA_004395525.1
AAAIHR010000007.1	GCA_004395585.1
AAAIHO010000002.1	GCA_004395605.1
AAAIHQ010000044.1	GCA_004395725.1
AAAIHP010000005.1	GCA_004395785.1
AAAIIJ010000005.1	GCA_004395885.1
AAAIIN010000089.1	GCA_004396005.1
AAAIIU010000001.1	GCA_004396045.1
AAAIJI010000001.1	GCA_004396125.1
AAAIJJ010000015.1	GCA_004396145.1
AAAIJL010000009.1	GCA_004396185.1
AAAIJP010000015.1	GCA_004396285.1
AAAIJS010000024.1	GCA_004396415.1
AAAIJW010000002.1	GCA_004396465.1
AAAIKK010000003.1	GCA_004396505.1
AAAIKS010000005.1	GCA_004396545.1
AAAIKM010000001.1	GCA_004396565.1
AAAILP010000055.1	GCA_004396975.1
AAAILQ010000023.1	GCA_004397065.1
AAAILW010000001.1	GCA_004397105.1
AAAILS010000001.1	GCA_004397125.1
AAAIQW010000044.1	GCA_004397425.1
AAAIRC010000006.1	GCA_004397485.1
AAAIQY010000017.1	GCA_004397525.1
AAAIRA010000001.1	GCA_004397605.1
AAAIRF010000001.1	GCA_004397625.1
AAAIRI010000001.1	GCA_004397685.1
AAAINL010000001.1	GCA_004397745.1
AAAINR010000001.1	GCA_004397865.1
AAAIOQ010000001.1	GCA_004397945.1
AAAIOO010000001.1	GCA_004397965.1
AAAIPT010000022.1	GCA_004398045.1
AAAIQR010000008.1	GCA_004398125.1
AAAINA010000001.1	GCA_004398345.1
AAAIMY010000027.1	GCA_004398405.1
AAAING010000061.1	GCA_004398465.1
AAAING010000064.1	GCA_004398465.1
AAAINF010000001.1	GCA_004398605.1
AAAIOD010000001.1	GCA_004398885.1
AAAIOB010000001.1	GCA_004398905.1
AAAIOT010000001.1	GCA_004399055.1
AAAIOZ010000001.1	GCA_004399175.1
AAAIPL010000001.1	GCA_004399275.1
AAAIPG010000001.1	GCA_004399305.1
AAAIPO010000043.1	GCA_004399345.1
AAAIQB010000001.1	GCA_004399545.1
AAAIQE010000001.1	GCA_004399585.1
AAAIQF010000027.1	GCA_004399625.1
AAAIQG010000006.1	GCA_004399725.1
AAAIRJ010000001.1	GCA_004399885.1
AAAIUA010000001.1	GCA_004403645.1
AAAITX010000136.1	GCA_004403665.1
AAAIUB010000001.1	GCA_004403825.1
AAAISK010000008.1	GCA_004403905.1
AAAISS010000003.1	GCA_004404065.1
AAAISR010000001.1	GCA_004404245.1
AAAIVD010000016.1	GCA_004404285.1
AAAIRS020000001.1	GCA_004404385.2
AAAIUO010000021.1	GCA_004404685.1
AAAIYB010000001.1	GCA_004404705.1
AAAIYP010000001.1	GCA_004404745.1
AAAITL010000021.1	GCA_004404865.1
AAAITB010000001.1	GCA_004404885.1
AAAIZI010000001.1	GCA_004404925.1
AAAITE010000023.1	GCA_004405185.1
AAAIVF010000001.1	GCA_004405285.1
AAAIXK010000001.1	GCA_004405345.1
AAAISB010000001.1	GCA_004405465.1
AAAIZL010000021.1	GCA_004405525.1
AAAIZK010000008.1	GCA_004405545.1
AAAIUK010000001.1	GCA_004405565.1
AAAIRY010000001.1	GCA_004405605.1
AAAIZM010000001.1	GCA_004405745.1
AAAITV010000001.1	GCA_004405785.1
AAAIYN010000001.1	GCA_004405965.1
AAAIXO010000001.1	GCA_004405985.1
AAAIZU010000001.1	GCA_004406105.1
AAAIZF010000001.1	GCA_004406125.1
AAAIZO010000001.1	GCA_004406145.1
AAAIZZ010000044.1	GCA_004406185.1
AAAJAF010000001.1	GCA_004406255.1
AAAJBA010000001.1	GCA_004406325.1
AAAJBC010000010.1	GCA_004406345.1
AAAJBB010000001.1	GCA_004406385.1
AAAJBH010000001.1	GCA_004406425.1
AAAJBR010000003.1	GCA_004406445.1
AAAJDF010000010.1	GCA_004406745.1
AAAJCZ010000001.1	GCA_004406765.1
AAAJED010000001.1	GCA_004406895.1
AAAJEC010000001.1	GCA_004406925.1
AAAIXH010000001.1	GCA_004407155.1
AAAIVY010000001.1	GCA_004407175.1
AAAIUT010000001.1	GCA_004407265.1
AAAJAI010000001.1	GCA_004407365.1
AAAJCN010000011.1	GCA_004407385.1
AAAIST010000001.1	GCA_004407425.1
AAAIZH010000001.1	GCA_004407505.1
AAAISU010000001.1	GCA_004407535.1
AAAIZJ010000001.1	GCA_004407825.1
AAAJBO010000014.1	GCA_004407885.1
AAAJBO010000002.1	GCA_004407885.1
AAAITT010000128.1	GCA_004408025.1
AAAJAN010000001.1	GCA_004408085.1
AAAIWW010000001.1	GCA_004408125.1
AAAJEQ010000001.1	GCA_004408165.1
AAAIXX010000001.1	GCA_004408285.1
AAAIXZ010000001.1	GCA_004408485.1
AAAIYK010000001.1	GCA_004408565.1
AAAJGU010000005.1	GCA_004408625.1
AAAIYT010000001.1	GCA_004408645.1
AAAIZC010000001.1	GCA_004408745.1
AAAIZN010000011.1	GCA_004408825.1
AAAIZY010000001.1	GCA_004408925.1
AAAJAA010000008.1	GCA_004408965.1
AAAJAD010000018.1	GCA_004408985.1
AAAJAG010000013.1	GCA_004409005.1
AAAJAX010000001.1	GCA_004409165.1
AAAJBF010000032.1	GCA_004409225.1
AAAJBS010000001.1	GCA_004409245.1
AAAJBG010000001.1	GCA_004409255.1
AAAJBQ010000025.1	GCA_004409285.1
AAAJBQ010000019.1	GCA_004409285.1
AAAJBU010000001.1	GCA_004409305.1
AAAJBT010000001.1	GCA_004409325.1
AAAJBV010000001.1	GCA_004409345.1
AAAJCM010000001.1	GCA_004409485.1
AAAJCP010000001.1	GCA_004409505.1
AAAJDC010000001.1	GCA_004409645.1
AAAJDK010000041.1	GCA_004409665.1
AAAJDB010000001.1	GCA_004409685.1
AAAJDQ010000019.1	GCA_004409705.1
AAAJEE010000155.1	GCA_004409945.1
AAAJEJ010000052.1	GCA_004409985.1
AAAJEJ010000056.1	GCA_004409985.1
AAAJEV010000009.1	GCA_004410045.1
AAAJEL010000001.1	GCA_004410105.1
AAAJEX010000010.1	GCA_004410145.1
AAAJFA010000003.1	GCA_004410205.1
AAAJFF010000045.1	GCA_004410265.1
AAAJEZ010000001.1	GCA_004410305.1
AAAJGH010000039.1	GCA_004410445.1
AAAJGH010000034.1	GCA_004410445.1
AAAJGM010000068.1	GCA_004410605.1
AAAJHO010000051.1	GCA_004410765.1
AAAJIJ010000093.1	GCA_004410805.1
AAAJIF010000006.1	GCA_004410825.1
AAAJJX010000003.1	GCA_004411085.1
AAAJFS010000044.1	GCA_004411125.1
AAAJES010000001.1	GCA_004411205.1
AAAJKA010000019.1	GCA_004411325.1
AAAJKA010000016.1	GCA_004411325.1
AAAJJA010000007.1	GCA_004411485.1
AAAJLJ010000001.1	GCA_004411585.1
AAAJGA010000001.1	GCA_004411885.1
AAAJGD010000009.1	GCA_004411925.1
AAAJHD010000001.1	GCA_004412085.1
AAAJHN010000032.1	GCA_004412165.1
AAAJHM010000016.1	GCA_004412225.1
AAAJHU010000001.1	GCA_004412265.1
AAAJHS010000094.1	GCA_004412325.1
AAAJHQ010000004.1	GCA_004412385.1
AAAJIP010000005.1	GCA_004412545.1
AAAJJT010000011.1	GCA_004412985.1
AAAJKB010000039.1	GCA_004413165.1
AAAJKB010000054.1	GCA_004413165.1
AAAJJS010000023.1	GCA_004413185.1
AAAJKF010000001.1	GCA_004413205.1
AAAJKJ010000001.1	GCA_004413265.1
AAAJKN010000001.1	GCA_004413325.1
