representative	size
GCF_003184245.1	2
GCF_003515755.1	1
GCF_003569945.1	16
GCF_003987655.1	1
GCF_004153165.1	1
GCF_004359975.2	2
GCF_004361445.1	15
GCF_004361545.1	5
GCF_004361555.1	1
GCF_004636745.1	39
GCF_005864315.1	1
GCF_006339625.1	1
GCF_007991495.1	1
GCF_008270065.1	1
GCF_008270085.1	2
GCF_009648335.1	29
GCF_012030075.1	1
GCF_014202695.1	1
GCF_014223065.1	1
GCF_014223185.1	1
GCF_014224445.1	2
GCF_014225515.1	30
GCF_014225605.1	1
GCF_014226145.1	30
GCF_014226815.1	2
GCF_014227195.1	1
GCF_014228215.1	1
GCF_014228245.1	1
GCF_014228255.1	2
GCF_014228265.1	1
GCF_014228275.1	1
GCF_014228325.1	1
GCF_014228355.1	1
GCF_014228365.1	1
GCF_014228385.1	1
GCF_014228415.1	1
GCF_014228445.1	1
GCF_014228465.1	1
GCF_014228695.1	1
GCF_014229245.1	1
GCF_014322705.1	1
GCF_014526615.1	2
GCF_014696255.1	519
GCF_014830205.1	1
GCF_014897375.1	1
GCF_015275825.1	3
GCF_015276295.1	5
GCF_015277245.1	1
GCF_015277315.1	2
GCF_015277395.1	24
GCF_015277435.1	1
GCF_015697685.1	9
GCF_016014145.1	24
GCF_016127855.1	5
GCF_016745275.1	2
GCF_016881825.1	9
GCF_016882005.1	35
GCF_017316105.1	1
GCF_017377505.2	1
GCF_017892545.1	3
GCF_018433055.1	2
GCF_018475665.1	3
GCF_018475685.1	21
GCF_018617295.1	1
GCF_018617345.1	1
GCF_018618155.1	1
GCF_018918325.1	1
GCF_018987235.1	5
GCF_019093865.1	1
GCF_019279755.1	3
GCF_019650195.1	3
GCF_019650215.1	1
GCF_020042005.1	2
GCF_020567645.1	1
GCF_020743785.1	9
GCF_020882195.1	79
GCF_021029705.2	2
GCF_021278925.1	1
GCF_021764685.1	1
GCF_023158915.1	13
GCF_023170065.1	1
GCF_023611825.1	69
GCF_023656105.1	42
GCF_024172625.1	1
GCF_024397795.1	3
GCF_024741495.1	1
GCF_024741535.1	6
GCF_024741695.1	2
GCF_024800705.1	9
GCF_026547205.1	1
GCF_026547225.1	1
GCF_026616575.1	12
GCF_026802095.1	3
GCF_027153665.1	50
GCF_027158945.1	22
GCF_027584215.1	4
GCF_027853395.1	1
GCF_027863775.1	1
GCF_027923465.1	1
GCF_027925905.1	1
GCF_028335165.1	5
GCF_028335285.1	1
GCF_029011595.1	6
GCF_029269785.1	3
GCF_029392835.1	1
GCF_029870715.1	13
GCF_030234055.1	1
GCF_030769775.1	15
GCF_031826655.1	44
GCF_031930075.1	1
GCF_031988265.1	1
GCF_032376885.1	3
GCF_032572675.1	1
GCF_033253735.1	1
GCF_035789175.1	1
GCF_035797825.1	1
GCF_035813655.1	2
GCF_036010165.1	1
GCF_036221065.1	1
GCF_036225285.1	1
GCF_036225345.1	1
GCF_036225365.1	1
GCF_036636755.1	1
GCF_036812905.1	2
GCF_036850945.1	1
GCF_037992235.1	2
GCF_038001585.1	5
GCF_038001685.1	4
GCF_038009125.1	1
GCF_038039545.1	2
GCF_039748115.1	1
GCF_039906175.1	1
GCF_040428525.1	8
GCF_040428535.1	4
GCF_040428625.1	5
GCF_040428635.1	4
GCF_040428695.1	24
GCF_040428825.1	20
GCF_040790835.1	1
GCF_041025415.1	18
GCF_041414805.1	1
GCF_041433935.1	3
GCF_041720895.1	130
GCF_045528045.1	1
GCF_045528065.1	1
GCF_045528085.1	1
GCF_045528145.1	2
GCF_045528165.1	3
GCF_045528185.1	1
GCF_045528205.1	1
GCF_045528225.1	1
GCF_045528245.1	1
GCF_045528285.1	2
GCF_046244435.1	3
GCF_046268005.1	1
GCF_046272005.1	82
GCF_900111595.1	1
GCF_900163775.1	1
GCF_900447695.1	1
GCF_900452495.1	26
GCF_900457635.1	211
GCF_900457805.1	3
GCF_900636685.1	4
GCF_902481605.1	1
GCF_905372775.1	1
GCF_937903005.1	1
GCF_963521215.1	1
GCF_963524765.1	1
GCF_963554205.1	1
