Organism                                                      Scaffold              Start    End      Score  LMOf2365_1112  LMOf2365_1113  LMOf2365_1114  LMOf2365_1115  LMOf2365_1116  LMOf2365_1117  LMOf2365_1118  LMOf2365_1119
Listeria monocytogenes PNUSAL004108                           REPD01000041.1        341      5439     11.33  0              1              1              1              1              1              1              0            
Listeria monocytogenes CFSAN060136                            RSNC01000003.1        301245   306923   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASDHR010000052.1     128      3552     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes ST6                                    DASDQV010000074.1     251      4043     9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes 492673                                 AABFDK010000155.1     136      3909     9.25   0              0              0              1              1              1              1              1            
Listeria monocytogenes ST6                                    DASEBO010000017.1     60264    62982    7.18   0              1              1              1              1              0              0              0            
Listeria monocytogenes 337                                    DABXYZ010000025.1     0        3494     7.23   0              0              0              0              1              1              1              1            
Listeria monocytogenes PNUSAL002136                           AAAZQU010000064.1     161      3043     5.19   0              0              0              0              1              1              1              0            
Listeria monocytogenes YA00058279                             AABCHW010000092.1     0        2805     7.18   0              0              1              1              1              1              0              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASDMD010000028.1     0        4607     11.30  0              0              1              1              1              1              1              1            
Listeria monocytogenes FDA598313-16                           AAARYK010000035.1     269      5367     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DABQJA010000001.1     117727   123403   10.35  0              1              1              0              1              1              1              1            
Listeria monocytogenes 19B08592-8                             AAKFDU010000219.1     142      2198     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes ST6                                    DASDVY010000150.1     56       2036     5.13   0              0              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL019004                           ABMRVO010000009.1     124256   129810   10.32  0              1              1              1              0              1              1              1            
Listeria monocytogenes PNUSAL004463                           RLCD01000117.1        249      2244     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes serotype 4b FSLF6-0366                 RETF01000018.1        108      2912     5.19   0              0              0              0              0              1              1              1            
Listeria monocytogenes 282341                                 AABERP010000021.1     0        7053     12.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes CFSAN060957                            AAAAGF010000001.1     587007   592685   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL002556                           AAATPK010000045.1     185      4187     6.21   0              0              0              1              1              0              1              1            
Listeria monocytogenes PNUSAL002354                           AAATGL010000046.1     278      3651     9.22   0              1              1              1              1              1              0              0            
Listeria monocytogenes SKB46                                  DAKHMB010000044.1     423      2403     5.13   0              0              1              1              1              0              0              0            
Listeria monocytogenes CFSAN061336                            AAZCPO010000001.1     587022   591813   11.31  0              0              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL003222                           AAAVSU010000110.1     239      2234     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL016365                           ABKIKT010000001.1     587318   592997   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes FDA1109036-C001-004                    AAJZSA010000037.1     249      5348     8.28   0              1              1              1              1              0              1              0            
Listeria monocytogenes PNUSAL008920                           AAYUKU010000053.1     168      3590     4.17   0              0              0              1              1              0              1              0            
Listeria monocytogenes PNUSAL003084                           AAAVEQ010000067.1     263      2717     7.16   0              0              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL005507                           AAKATB010000056.1     91       2171     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes PNUSAL005636                           AAKGEQ010000035.1     0        2497     5.17   0              0              0              0              0              1              1              1            
Listeria monocytogenes PNUSAL005045                           AAJBPP010000041.1     0        2977     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes PNUSAL002247                           AAEXOZ010000030.1     22220    25087    7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL010130                           ABAKZP010000001.1     584831   590508   10.31  0              1              1              1              0              1              1              1            
Listeria monocytogenes PNUSAL003692                           AACJPL010000013.1     2144     7242     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes AG18-0030                              AABELQ010000036.1     0        3417     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes CFSAN095950                            AAZLPG010000014.1     170      4171     9.26   0              0              0              1              1              1              1              1            
Listeria monocytogenes PNUSAL005338                           AANEGY010000049.1     0        3246     4.16   0              0              0              0              1              0              1              1            
Listeria monocytogenes                                        DAADPN010000001.1     586906   592583   10.28  0              1              1              1              1              1              0              1            
Listeria monocytogenes PNUSAL004078                           REKD01000025.1        0        3486     7.23   0              0              0              0              1              1              1              1            
Listeria monocytogenes PNUSAL001427                           AAAHTE010000001.1     604721   610399   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL001338                           AAAHSN010000001.1     602808   608485   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes CFSAN030471                            AAAHSP010000001.1     681839   687517   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL004528                           AAAMZK010000032.1     152      3573     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes                                        DAPCGR010000001.1     592750   598411   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASCCY010000001.1     591516   596290   8.26   0              0              1              1              1              0              1              1            
Listeria monocytogenes FDA1157379-S081-006                    ABGKPS010000039.1     589      3456     7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes FSIS22029578                           AAXDGT010000031.1     13342    17134    9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL008190                           AAWTRG010000003.1     295531   300322   11.32  0              0              1              1              1              1              1              1            
Listeria monocytogenes FSIS12324974                           ABMFCI010000018.1     68702    73800    11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes FSIS22029581                           AAXDDY010000054.1     249      2244     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes IA-573326                              AAJZJP010000046.1     338      2876     5.17   0              0              0              0              0              1              1              1            
Listeria monocytogenes FSIS12208178                           ABEOPB010000026.1     0        3466     7.23   0              0              0              0              1              1              1              1            
Listeria monocytogenes FSIS11814891                           AAAADE010000019.1     143      3921     9.25   0              0              0              1              1              1              1              1            
Listeria monocytogenes FDA656703 52-1                         AAAJXD010000069.1     189      3135     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes CFSAN060106                            AAAIVD010000016.1     68480    74158    13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL022517                           ABTNAS010000001.1     622127   627804   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes 20120282                               DAAFHT010000071.1     298      2951     5.18   0              0              0              0              0              1              1              1            
Listeria monocytogenes SENASICA_Li_S45                        AACJXQ010000107.1     13       2128     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes PNUSAL004998                           AAFOXE010000016.1     0        3388     4.17   0              0              0              0              1              0              1              1            
Listeria monocytogenes                                        DAFJFM010000001.1     0        3363     9.22   0              1              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL004494                           AAAMTF010000025.1     0        3587     7.24   0              0              0              0              1              1              1              1            
Listeria monocytogenes CFSAN093441                            AANOOB010000001.1     590848   595622   8.26   0              0              1              1              1              0              1              1            
Listeria monocytogenes OSF108345                              AAXIYA010000172.1     0        1442     5.09   0              1              1              1              0              0              0              0            
Listeria monocytogenes CFSAN076307                            ABCEWV010000057.1     113      3517     4.17   0              0              0              1              1              0              1              0            
Listeria monocytogenes PNUSAL005008                           AAKXWG010000028.1     1125     5319     6.22   0              0              1              1              1              0              1              0            
Listeria monocytogenes PNUSAL017501                           ABLUKW010000034.1     0        2898     5.19   0              0              0              0              1              1              1              0            
Listeria monocytogenes 06B05669H-1                            AAANQN010000055.1     145      3566     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes                                        DAFJFL010000049.1     0        4178     9.28   0              0              1              1              1              1              1              0            
Listeria monocytogenes 1527779                                ABDVQD010000002.1     445      5543     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes PNUSAL009650                           AAZTDY010000001.1     637333   642124   11.32  0              0              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL005487                           AAJVJM010000013.1     0        2442     7.16   0              1              1              1              1              0              0              0            
Listeria monocytogenes CFSAN081674                            AAQPPW010000095.1     1125     3053     5.13   0              0              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL000371                           AAAKZF010000020.1     161      4033     9.26   0              0              0              1              1              1              1              1            
Listeria monocytogenes CFSAN060192                            AAAIVF010000001.1     116331   122009   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASBGS010000034.1     1267     5478     9.28   0              0              1              1              1              1              1              0            
Listeria monocytogenes PNUSAL002382                           AAATMM010000022.1     136      4137     9.27   0              0              0              1              1              1              1              1            
Listeria monocytogenes OSF108023                              AAXIAV010000069.1     15       3436     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes                                        DABKIR010000009.1     149832   153404   7.24   0              0              0              0              1              1              1              1            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASBGT010000004.1     0        1681     5.11   0              0              1              1              1              0              0              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASBGT010000031.1     240      3044     5.19   0              0              0              0              0              1              1              1            
Listeria monocytogenes CFIAFB20180135                         DAAJNX010000001.1     342      5440     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes OSF108172                              AAXIHQ010000062.1     313      2308     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes LM07-01067                             CYVM01000006.1        591058   596885   15.38  1              1              1              1              1              1              1              1            
Listeria monocytogenes CFIAFB20160021                         DAAIXR010000001.1     580704   583410   7.18   0              1              1              1              1              0              0              0            
Listeria monocytogenes FDA0973150-023-001                     AAAWDH010000071.1     153      2985     5.19   0              0              0              0              1              1              1              0            
Listeria monocytogenes PNUSAL002251                           RCPG01000024.1        354      4146     9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes serotype 1/2b CFSAN090862              ABJNTF010000001.1     457514   463175   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes CFSAN060201                            AAAKTV010000001.1     114662   120340   13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes CFSAN076029                            AAQRXU010000001.1     17838    22612    8.26   0              0              1              1              1              0              1              1            
Listeria monocytogenes PNUSAL000469                           AAAJBO010000014.1     212      3016     5.19   0              0              0              0              0              1              1              1            
Listeria monocytogenes PNUSAL004379                           AAAMPX010000044.1     245      2742     7.16   0              1              1              1              1              0              0              0            
Listeria monocytogenes 18ZQLM06                               NZ_VOXM01000048.1     135      3927     9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes 1242922                                ABBGSE010000001.1     472      5570     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes PNUSAL004923                           AAFFLJ010000082.1     1429     3409     5.13   0              0              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL007182                           AARURR010000037.1     98       3519     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes MF7056                                 JAEPJD010000054.1     178      2173     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes FSIS32206684                           ABFQUW010000019.1     0        2888     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes 897262                                 AAPFCP010000001.1     589797   594588   11.32  0              0              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL017055                           ABLPAM010000001.1     114230   119900   10.32  0              1              1              1              0              1              1              1            
Listeria monocytogenes PNUSAL003459                           AAAWKB010000001.1     0        5445     10.27  0              1              1              1              1              1              0              1            
Listeria monocytogenes DMG1500235                             DAAJSR010000088.1     123      4334     9.28   0              0              1              1              1              1              1              0            
Listeria monocytogenes PNUSAL001314                           AAAIEM010000030.1     161      4162     9.27   0              0              0              1              1              1              1              1            
Listeria monocytogenes FDA299415-2                            REJB01000029.1        0        3377     7.23   0              0              0              0              1              1              1              1            
Listeria monocytogenes CFSAN060071                            AAAKTI010000014.1     66573    72251    13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes CFSAN059928                            AAAUTV010000002.1     80413    85511    11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes CFSAN061614                            AAAKWC010000061.1     249      3116     7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL004274                           AAAMPO010000001.1     510084   515762   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL004495                           AAAMVD010000001.1     17385    23063    13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL004696                           AAANRX010000056.1     295      2290     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes FDA917978-143-22                       AAAPKH010000001.1     118555   124233   13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL004145                           REPM01000068.1        0        2291     5.15   0              0              0              0              0              1              1              1            
Listeria monocytogenes PNUSAL002972                           AAAVUO010000002.1     237066   239061   5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes SFBRL345_S15                           DABYAJ010000038.1     163      3567     4.17   0              0              0              1              1              0              1              0            
Listeria monocytogenes                                        DAEZFK010000003.1     17839    23517    10.32  0              1              1              1              0              1              1              1            
Listeria monocytogenes DMG1500207                             DAAFBS010000118.1     110      4111     9.27   0              0              0              1              1              1              1              1            
Listeria monocytogenes Isolate 3/5                            DBCLDJ010000028.1     24757    29855    11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes                                        DABKQD010000085.1     193      3096     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes CFSAN078580                            AAQPMF010000080.1     0        3344     9.22   0              1              1              1              1              1              0              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASBUZ010000020.1     0        3498     4.14   0              0              0              0              1              1              0              1            
Listeria monocytogenes FDA731238 48-1                         AAAQEW010000001.1     622120   627799   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes                                        DAEZNV010000062.1     403      4614     9.28   0              0              1              1              1              1              1              0            
Listeria monocytogenes GIMC2182:LmcCCK10                      NZ_JBHHKH010000007.1  17894    23571    10.28  0              1              1              1              1              1              0              1            
Listeria monocytogenes FRR B 2727                             NZ_NAVA01000019.1     21647    26745    8.28   0              1              1              1              0              1              1              0            
Listeria monocytogenes LM05-00172                             CYUS01000003.1        22864    28691    15.38  1              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL005287                           AANEGB010000005.1     0        4658     11.30  0              0              1              1              1              1              1              1            
Listeria monocytogenes DMG1500333                             DAAKDC010000038.1     212      2327     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes PNUSAL004628                           AAANHE010000026.1     224      3645     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes CFSAN068211                            AAQRPU010000001.1     609374   614148   8.26   0              0              1              1              1              0              1              1            
Listeria monocytogenes PNUSAL001589                           AAAKKP010000050.1     299      5380     8.28   0              1              1              1              1              0              1              0            
Listeria monocytogenes PNUSAL004492                           RMTY01000024.1        47753    50519    7.18   0              1              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL004254                           RFAA01000050.1        0        3341     7.22   0              0              0              0              1              1              1              1            
Listeria monocytogenes PNUSAL004040                           RCOV01000050.1        0        1820     5.12   0              0              1              1              1              0              0              0            
Listeria monocytogenes TX-ACF1501700                          AAAPIK010000157.1     0        1926     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL015067                           ABIAUT010000001.1     606197   611874   10.31  0              1              1              1              0              1              1              1            
Listeria monocytogenes CFSAN059051                            AAAVWX010000004.1     3264     8942     13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes OSF108502                              AAXURO010000081.1     341      2004     5.11   0              0              1              1              1              0              0              0            
Listeria monocytogenes OSF108119                              AAYKVS010000050.1     0        3520     7.23   0              0              0              0              1              1              1              1            
Listeria monocytogenes                                        DAACGF010000007.1     117203   122880   7.23   0              1              0              1              1              1              0              1            
Listeria monocytogenes PNUSAL003777                           AAAXOC010000007.1     251      3118     7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes CFSAN081627                            AAQQUC010000001.1     631330   636991   10.32  0              1              1              1              1              0              1              1            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASBJF010000001.1     117521   122312   11.31  0              0              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL003824                           AABCCH010000065.1     14       2818     5.19   0              0              0              0              0              1              1              1            
Listeria monocytogenes                                        DABKNX010000052.1     276      2391     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes DMG1500040                             DAAJXE010000061.1     77       3498     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes PNUSAL002008                           AAAYVK010000042.1     0        2860     5.19   0              0              0              0              1              1              1              0            
Listeria monocytogenes 871183                                 AANDIE010000035.1     400      5496     8.28   0              1              1              1              1              0              1              0            
Listeria monocytogenes MOD1_LS1010                            NZ_MTFN01000001.1     631049   636147   11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes PNUSAL002981                           AABCBP010000036.1     87       4088     9.26   0              0              0              1              1              1              1              1            
Listeria monocytogenes FLAG-08084                             AAAPWQ010000002.1     0        5531     13.36  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL000673                           AAAQQY010000007.1     155169   160661   13.36  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL000178                           AAAREV010000001.1     126369   132047   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL002211                           AABARG010000001.1     340113   345791   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes FDA605850 72-3                         AABCMT010000001.1     622150   627828   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes ST6                                    DASDTC010000074.1     0        2618     7.17   0              0              1              1              1              1              0              0            
Listeria monocytogenes CFIAFB20140070                         DAAIGN010000001.1     297853   302950   8.29   0              1              0              1              1              1              1              0            
Listeria monocytogenes LIS22-0203                             ABFNUB010000104.1     0        3256     7.22   0              0              0              0              1              1              1              1            
Listeria monocytogenes FDA841562 S7                           AAALQV010000025.1     207      3234     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASBBF010000043.1     0        2724     5.18   0              0              0              0              0              1              1              1            
Listeria monocytogenes OSF108093                              AAXIER010000053.1     1517     5309     9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes CFSAN046098                            NZ_NXQM01000037.1     173      3594     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes 127398                                 AAEOKW010000055.1     168      3465     4.17   0              0              0              1              0              1              1              0            
Listeria monocytogenes p975-16                                NZ_PXWJ01000006.1     79927    85604    10.32  0              1              0              1              1              1              1              1            
Listeria monocytogenes 160017                                 AABEFW010000007.1     195977   201654   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes YA00060134                             AABCHZ010000081.1     0        1887     5.12   0              0              1              1              1              0              0              0            
Listeria monocytogenes OSF108265                              AAXIHF010000062.1     390      4601     9.28   0              0              1              1              1              1              1              0            
Listeria monocytogenes 277                                    DABYBL010000033.1     339      3206     7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes CFIAFB20140067                         DAAITO010000027.1     261      2755     4.11   0              1              0              1              1              0              0              0            
Listeria monocytogenes                                        DAABXB010000001.1     288381   293172   11.31  0              0              1              1              1              1              1              1            
Listeria monocytogenes FDA848181-55-1                         AAAPKZ010000021.1     147      4148     9.27   0              0              0              1              1              1              1              1            
Listeria monocytogenes ST6                                    DASDUU010000101.1     392      2316     5.12   0              1              1              1              0              0              0              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DABQKP010000001.1     622151   627825   10.28  0              1              1              1              1              1              0              1            
Listeria monocytogenes 970251                                 AAVIYO010000002.1     350946   355920   8.28   0              1              1              1              0              1              1              0            
Listeria monocytogenes 142336                                 JAHALW010000013.1     17910    23462    7.27   0              1              0              1              0              1              1              1            
Listeria monocytogenes                                        AAARKN010000001.1     620994   626548   10.32  0              1              1              1              0              1              1              1            
Listeria monocytogenes LM06-00581                             CYUZ01000006.1        17904    23731    15.38  1              1              1              1              1              1              1              1            
Listeria monocytogenes 15647                                  NZ_SDHC01000001.1     621503   626600   8.28   0              1              1              1              1              0              1              0            
Listeria monocytogenes PNUSAL000266                           AAAHNI010000032.1     269      5367     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes FDA848181-79-1                         AAAPLB010000075.1     122      1842     5.11   0              0              0              1              1              1              0              0            
Listeria monocytogenes CFSAN072505                            AABEIS010000001.1     175099   180777   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes NYVetLIRN-148                          AACKJP010000030.1     318      2766     7.16   0              1              1              1              1              0              0              0            
Listeria monocytogenes CFSAN018418                            AAAKDE010000001.1     598448   604126   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL005028                           AAHZIB010000037.1     264      3131     7.18   0              1              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL005028                           AAHZIB010000040.1     0        2344     5.15   0              0              0              0              0              1              1              1            
Listeria monocytogenes L7-1735                                AAHZIJ010000009.1     283      5961     13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes L7-1749                                AAHZIZ010000009.1     309      5987     13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes L7-1734                                AAHZJV010000024.1     18578    24118    13.36  0              1              1              1              1              1              1              1            
Listeria monocytogenes FDA1070397-S044-007                    AAIAAG010000001.1     227      5324     11.33  0              1              1              1              1              1              1              0            
Listeria monocytogenes L7-0495                                AAJADM010000011.1     19135    24825    13.36  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL005971                           AALHTM010000019.1     47692    49687    5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes                                        DAADJP010000001.1     306769   312445   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes                                        DAADSB010000002.1     192555   198234   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes 445953                                 AANEJI010000001.1     138862   144540   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL006885                           AANEMI010000033.1     0        3340     7.22   0              0              0              0              1              1              1              1            
Listeria monocytogenes PNUSAL007238                           AATINX010000001.1     118422   124100   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL003599                           AAAXMO010000044.1     13426    16280    7.18   0              1              1              1              1              0              0              0            
Listeria monocytogenes AG19-0261                              AAISUY010000059.1     403      3031     5.17   0              0              0              0              0              1              1              1            
Listeria monocytogenes AG19-0261                              AAISUY010000040.1     13225    15220    5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL001267                           AAANRF010000023.1     0        4980     11.33  0              1              1              1              1              1              1              0            
Methanosphaera sp.                                            DUGI01000050.1        11       3030     7.07   0              0              0              1              1              1              1              0            
Listeria monocytogenes PNUSAL007557                           AAUAYP010000001.1     605069   610747   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes NMSU-EP28                              AAWIFW010000001.1     654154   659832   13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes                                        DAACFO010000001.1     614981   620659   10.32  0              1              1              1              1              0              1              1            
Listeria monocytogenes PNUSAL016934                           ABLGAF010000014.1     68713    70708    5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL002163                           AAAZYB010000020.1     86       4087     9.27   0              0              0              1              1              1              1              1            
Listeria monocytogenes                                        DAYOYK010000183.1     6        3427     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes 06B06674E-6                            AAANTJ010000011.1     390      3257     7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes LM08-01516                             CYWK01000002.1        119003   124830   15.38  1              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL005848                           AALONQ010000044.1     239      5338     8.28   0              1              1              1              0              1              1              0            
Listeria monocytogenes 1908348                                ABLVGQ010000041.1     0        2842     5.19   0              0              0              0              1              1              1              0            
Listeria monocytogenes                                        DAYPNC010000060.1     264      4056     9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes CFSAN011037                            AAAQSI010000027.1     283      5381     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes                                        DAYOZE010000148.1     0        2363     5.15   0              0              0              0              0              1              1              1            
Listeria monocytogenes                                        DAYNUS010000062.1     0        3334     7.22   0              0              0              0              1              1              1              1            
Listeria monocytogenes PNUSAL013811                           ABGCEY010000001.1     593327   598988   10.29  0              1              1              1              1              1              0              1            
Listeria monocytogenes SFBRL219_S1                            DABXUZ010000001.1     588322   594010   10.30  0              1              1              1              0              1              1              1            
Listeria monocytogenes SFBRL130_S40                           DABYHM010000015.1     4275     9383     8.27   0              1              1              1              0              1              1              0            
