Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43	Number	Strand	Layout_group	representative	dereplication_status	Start_x	Start_y	End_x	End_y	Start_bin	End_bin	Interval_bin	Start_drep	End_drep	Interval_drep
GCF_036763025.1	NZ_JBAIYY010000001.1	17954.0	24803.0	9881.0	1	1	0	1	0	1	1	76	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NC_017992.1:1749452-1766295	redundant										
GCF_028895185.1	NZ_JAEUWW010000001.1	897469.0	904313.0	9932.0	1	1	0	1	0	1	1	72	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NC_017992.1:1749452-1766295	redundant										
GCF_000389635.1	NC_021182.1	2343623.0	2350770.0	9450.0	1	1	0	1	0	1	1	172	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NC_021182.1:2338623-2355770	dereplication_representative										
GCF_000169255.2	NZ_AAXG02000012.1	158845.0	168475.0	6278.0	1	1	0	1	0	0	0	285	(-1, -1, -1)	(2, 1, 0)	NZ_AAXG02000012.1:153845-173475	dereplication_representative										
GCF_000300195.1	NZ_AMQH01000006.1	374099.0	381023.0	9612.0	1	1	0	1	0	1	1	88	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_AMQH01000006.1:369099-386023	dereplication_representative										
GCF_014218335.1	NZ_AP023367.1	1231730.0	1239141.0	5819.0	0	1	0	1	0	1	0	372	(1, 1, 1)	(2, 1, 0)	NZ_AP023367.1:1226730-1244141	dereplication_representative										
GCF_016591975.1	NZ_AP024169.1	1429390.0	1436782.0	5944.0	0	1	0	1	0	1	0	346	(1, 1, 1)	(2, 1, 0)	NZ_AP024169.1:1424390-1441782	dereplication_representative										
GCF_047150065.1	NZ_AP027090.1	2744870.0	2751367.0	9511.0	1	1	0	1	0	1	1	126	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_AP027090.1:2739870-2756367	dereplication_representative										
GCF_002355795.1	NZ_AP017630.1	2264092.0	2270589.0	9513.0	1	1	0	1	0	1	1	125	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_AP027090.1:2739870-2756367	redundant										
GCF_033097505.1	NZ_AP028654.1	1680102.0	1687185.0	11792.0	1	1	0	1	1	1	1	6	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_AP028654.1:1675102-1692185	dereplication_representative										
GCF_042848755.1	NZ_AP031438.1	1471174.0	1476774.0	6253.0	1	1	0	1	0	0	0	291	(-1, -1, -1)	(2, 1, 0)	NZ_AP031438.1:1466174-1481774	dereplication_representative										
GCF_045865195.1	NZ_AP031606.1	2267635.0	2274793.0	9565.0	1	1	0	1	0	1	1	103	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_AP031606.1:2262635-2279793	dereplication_representative										
GCF_000421965.1	NZ_ATAY01000011.1	6298.0	14002.0	10281.0	1	1	0	1	1	1	1	57	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_ATAY01000011.1:1298-19002	dereplication_representative										
GCF_029318685.1	NZ_CP119677.1	1795576.0	1803326.0	10429.0	1	1	0	1	1	1	1	51	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_ATAY01000011.1:1298-19002	redundant										
GCF_000244875.1	NC_016791.1	1824208.0	1831968.0	10399.0	1	1	0	1	1	1	1	53	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_ATAY01000011.1:1298-19002	redundant										
GCF_039521365.1	NZ_BAAACF010000012.1	203400.0	210257.0	7716.0	1	1	0	1	0	0	1	245	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_BAAACF010000012.1:198400-215257	dereplication_representative										
GCF_039521565.1	NZ_BAAACP010000006.1	140604.0	146307.0	7807.0	1	1	0	1	1	0	0	242	(1, 1, 1, 1)	(3, 2, 1, 0)	NZ_BAAACP010000006.1:135604-151307	dereplication_representative										
GCF_042845895.1	NZ_BAABYN010000001.1	2990959.0	2997730.0	5937.0	0	1	0	1	0	1	0	349	(-1, -1, -1)	(2, 1, 0)	NZ_BAABYN010000001.1:2985959-3002730	dereplication_representative										
GCF_042848345.1	NZ_BAABZE010000001.1	5323325.0	5328070.0	6004.0	0	1	0	1	0	1	0	328	(-1, -1, -1)	(2, 1, 0)	NZ_BAABZE010000001.1:5318325-5333070	dereplication_representative										
GCF_027696135.1	NZ_JAQETU010000021.1	46809.0	51554.0	6024.0	0	1	0	1	0	1	0	324	(-1, -1, -1)	(2, 1, 0)	NZ_BAABZE010000001.1:5318325-5333070	redundant										
GCF_042846325.1	NZ_BAABZG010000001.1	2210185.0	2221081.0	6258.0	1	1	0	1	0	0	0	289	(1, 1, 1)	(2, 1, 0)	NZ_BAABZG010000001.1:2205185-2226081	dereplication_representative										
GCF_001311925.1	NZ_BBCG01000019.1	17620.0	21498.0	4922.0	0	0	0	1	0	1	1	396	(-1, -1, -1)	(2, 1, 0)	NZ_BBCG01000019.1:12620-26498	dereplication_representative										
GCF_001748365.1	NZ_BDHH01000005.1		8565.0	7626.0	0	0	0	1	1	1	1	247	(1, 1, 1, 1)	(3, 2, 1, 0)	NZ_BDHH01000005.1:1-13565	dereplication_representative	4494.0	1.0								
GCF_002724055.1	NZ_BDQY01000002.1	57404.0	65369.0	11144.0	1	1	0	1	1	1	1	31	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_BDQY01000002.1:52404-70369	dereplication_representative										
GCF_017312485.1	NZ_BMBA01000001.1	1204040.0	1210812.0	9452.0	1	1	0	1	0	1	1	168	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_BMBA01000001.1:1199040-1215812	dereplication_representative										
GCF_014193895.1	NZ_BLZR01000001.1	3256981.0	3263758.0	9466.0	1	1	0	1	0	1	1	151	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_BMBA01000001.1:1199040-1215812	redundant										
GCF_016595795.1	NZ_JAENHN010000006.1	91272.0	98052.0	9459.0	1	1	0	1	0	1	1	157	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_BMBA01000001.1:1199040-1215812	redundant										
GCF_018332455.1	NZ_BOPZ01000008.1	44701.0	51714.0	9545.0	1	1	0	1	0	1	1	110	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_BOPZ01000008.1:39701-56714	dereplication_representative										
GCF_022834975.1	NZ_BQNK01000001.1	1171699.0	1176472.0	6028.0	0	1	0	1	0	1	0	323	(1, 1, 1)	(2, 1, 0)	NZ_BQNK01000001.1:1166699-1181472	dereplication_representative										
GCF_024341925.1	NZ_BQXZ01000002.1	837867.0	844644.0	9433.0	1	1	0	1	0	1	1	178	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_BQXZ01000002.1:832867-849644	dereplication_representative										
GCF_024345225.1	NZ_BROD01000001.1	1375321.0	1382172.0	9423.0	1	1	0	1	0	1	1	187	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_BROD01000001.1:1370321-1387172	dereplication_representative										
GCF_039545435.1	NZ_BRPJ01000046.1	21987.0	26755.0	5952.0	0	1	0	1	0	1	0	341	(-1, -1, -1)	(2, 1, 0)	NZ_BRPJ01000046.1:16987-31755	dereplication_representative										
GCF_902143515.1	NZ_CABFVD010000001.1	114358.0	121386.0	9521.0	1	1	0	1	0	1	1	121	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CABFVD010000001.1:109358-126386	dereplication_representative										
GCF_902374755.1	NZ_CABKRL010000001.1	762143.0	769229.0	9405.0	1	1	0	1	0	1	1	192	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CABKRL010000001.1:757143-774229	dereplication_representative										
GCF_010692705.1	NZ_JAAGPU010000003.1	70116.0	77211.0	9434.0	1	1	0	1	0	1	1	176	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CABKRL010000001.1:757143-774229	redundant										
GCF_902375375.1	NZ_CABKTN010000007.1	926951.0	933826.0	9628.0	1	1	0	1	0	1	1	84	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CABKTN010000007.1:921951-938826	dereplication_representative										
GCF_902376185.1	NZ_CABKWO010000005.1	1115119.0	1121623.0	9413.0	1	1	0	1	0	1	1	191	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CABKWO010000005.1:1110119-1126623	dereplication_representative										
GCF_902377545.1	NZ_CABLCB010000083.1	376971.0	383904.0	9399.0	1	1	0	1	0	1	1	194	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CABLCB010000083.1:371971-388904	dereplication_representative										
GCF_902386815.1	NZ_CABMKD010000012.1	1599551.0	1605064.0	6218.0	1	1	0	1	0	0	0	305	(-1, -1, -1)	(2, 1, 0)	NZ_CABMKD010000012.1:1594551-1610064	dereplication_representative										
GCF_902386895.1	NZ_CABMKL010000001.1	2240290.0	2244987.0	5951.0	0	1	0	1	0	1	0	342	(1, 1, 1)	(2, 1, 0)	NZ_CABMKL010000001.1:2235290-2249987	dereplication_representative										
GCF_902386975.1	NZ_CABMKM010000004.1	597220.0	602040.0	6291.0	1	1	0	1	0	0	0	282	(-1, -1, -1)	(2, 1, 0)	NZ_CABMKM010000004.1:592220-607040	dereplication_representative										
GCF_943192995.1	NZ_CALPCP010000015.1	57561.0	64144.0	6246.0	1	1	0	1	0	0	0	296	(-1, -1, -1)	(2, 1, 0)	NZ_CALPCP010000015.1:52561-69144	dereplication_representative										
GCF_943193115.1	NZ_CALPCY010000007.1	93434.0	98187.0	5803.0	0	1	0	1	0	1	0	374	(-1, -1, -1)	(2, 1, 0)	NZ_CALPCY010000007.1:88434-103187	dereplication_representative										
GCF_943736985.1	NZ_CALSFS010000005.1	9922.0	17030.0	9551.0	1	1	0	1	0	1	1	107	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CALSFS010000005.1:4922-22030	dereplication_representative										
GCF_947381515.1	NZ_CANCWE010000007.1	108409.0	115488.0	9516.0	1	1	0	1	0	1	1	124	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CANCWE010000007.1:103409-120488	dereplication_representative										
GCF_947568225.1	NZ_CANOOQ010000001.1	853204.0	858025.0	6301.0	1	1	0	1	0	0	0	280	(1, 1, 1)	(2, 1, 0)	NZ_CANOOQ010000001.1:848204-863025	dereplication_representative										
GCF_964238185.1	NZ_CAXSLG010000003.1	94100.0	98820.0	5984.0	0	1	0	1	0	1	0	334	(-1, -1, -1)	(2, 1, 0)	NZ_CAXSLG010000003.1:89100-103820	dereplication_representative										
GCF_964246085.1	NZ_CAXTPD010000001.1	156446.0	161134.0	5885.0	0	1	0	1	0	1	0	366	(1, 1, 1)	(2, 1, 0)	NZ_CAXTPD010000001.1:151446-166134	dereplication_representative										
GCF_964259345.1	NZ_CAXVJR010000007.1	17308.0	23009.0	7880.0	1	1	0	1	1	0	0	233	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CAXVJR010000007.1:12308-28009	dereplication_representative										
GCF_900002825.1	NZ_CDAA01000001.1	3201790.0	3208239.0	7860.0	1	1	0	1	1	0	0	238	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CDAA01000001.1:3196790-3213239	dereplication_representative										
GCF_024723825.1	NZ_JANQBQ010000001.1	1921015.0	1927465.0	7876.0	1	1	0	1	1	0	0	235	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CDAA01000001.1:3196790-3213239	redundant										
GCF_027853495.1	NZ_JAPNNV010000006.1	22583.0	29035.0	7878.0	1	1	0	1	1	0	0	234	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CDAA01000001.1:3196790-3213239	redundant										
GCF_000709435.1	NZ_CP008713.1	935677.0	944256.0	9281.0	1	1	0	1	0	1	1	209	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP008713.1:930677-949256	dereplication_representative										
GCF_001042715.1	NZ_CP009687.1	1790987.0	1798651.0	11310.0	1	1	0	1	1	1	1	19	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP009687.1:1785987-1803651	dereplication_representative										
GCF_000968375.1	NZ_CP009933.1	5274198.0	5281298.0	9462.0	1	1	0	1	0	1	1	154	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP009933.1:5269198-5286298	dereplication_representative										
GCF_003096175.1	NZ_CP020953.1	4661854.0	4668955.0	9477.0	1	1	0	1	0	1	1	145	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP009933.1:5269198-5286298	redundant										
GCF_001038625.1	NZ_CP011803.1	3836070.0	3843170.0	9495.0	1	1	0	1	0	1	1	132	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP009933.1:5269198-5286298	redundant										
GCF_033561535.1	NZ_CP131467.1	5560724.0	5567835.0	9479.0	1	1	0	1	0	1	1	143	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP009933.1:5269198-5286298	redundant										
GCF_001886775.1	NZ_CP013242.1		6818.0	7434.0	0	1	0	1	0	1	1	251	(1, 1, 1, 1)	(3, 2, 1, 0)	NZ_CP013242.1:1-11818	dereplication_representative	772.0	1.0								
GCF_001889365.1	NZ_CP013296.1	559240.0	566367.0	9506.0	1	1	0	1	0	1	1	129	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP013242.1:1-11818	readded_by_content										
GCF_900447155.1	NZ_UFWX01000001.1	3451797.0	3458909.0	9457.0	1	1	0	1	0	1	1	162	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP013242.1:1-11818	redundant										
GCF_002074155.1	NZ_CP014176.1	1737288.0	1744391.0	9546.0	1	1	0	1	0	1	1	109	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP014176.1:1732288-1749391	dereplication_representative										
GCF_001697285.1	NZ_CP014673.1	2436851.0	2440592.0	5079.0	0	0	0	1	0	1	1	392	(-1, -1, -1)	(2, 1, 0)	NZ_CP014673.1:2431851-2445592	dereplication_representative										
GCF_001750685.1	NZ_CP017269.1	5667732.0	5675251.0	11615.0	1	1	0	1	1	1	1	12	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP017269.1:5662732-5680251	dereplication_representative										
GCF_001854185.1	NZ_CP017603.1	3131769.0	3139393.0	11318.0	1	1	0	1	1	1	1	18	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP017603.1:3126769-3144393	dereplication_representative										
GCF_002874775.1	NZ_CP020991.1	2609584.0	2614848.0	5140.0	0	0	0	1	0	1	1	385	(1, 1, 1)	(2, 1, 0)	NZ_CP020991.1:2604584-2619848	dereplication_representative										
GCF_002896855.1	NZ_CP021850.1	1708364.0	1718559.0	9623.0	1	1	0	1	0	1	1	85	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP021850.1:1703364-1723559	dereplication_representative										
GCF_003047205.1	NZ_CP028491.1	2282911.0	2297684.0	7907.0	1	1	0	1	0	1	1	230	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP028491.1:2277911-2302684	dereplication_representative										
GCF_003254825.1	NZ_CP030018.1	880844.0	888029.0	9458.0	1	1	0	1	0	1	1	158	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP030018.1:875844-893029	dereplication_representative										
GCF_003600355.1	NZ_CP032416.1	963496.0	970397.0	9491.0	1	1	0	1	0	1	1	135	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP032416.1:958496-975397	dereplication_representative										
GCF_008807835.1	NZ_CP032452.1	2758014.0	2763712.0	7870.0	1	1	0	1	1	0	0	237	(1, 1, 1, 1)	(3, 2, 1, 0)	NZ_CP032452.1:2753014-2768712	dereplication_representative										
GCF_003718715.1	NZ_CP033465.1	2012669.0	2019681.0	9430.0	1	1	0	1	0	1	1	182	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP033465.1:2007669-2024681	dereplication_representative										
GCF_004103695.1	NZ_CP035280.1	852020.0	858861.0	9607.0	1	1	0	1	0	1	1	89	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP035280.1:847020-863861	dereplication_representative										
GCF_006016075.1	NZ_CP040093.1	616298.0	623137.0	9967.0	1	1	0	1	0	1	1	68	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP040093.1:611298-628137	dereplication_representative										
GCF_005886215.1	NZ_CP040506.1	4444085.0	4448800.0	6014.0	0	1	0	1	0	1	0	326	(1, 1, 1)	(2, 1, 0)	NZ_CP040506.1:4439085-4453800	dereplication_representative										
GCF_006351925.1	NZ_CP040924.1	1662211.0	1669073.0	9506.0	1	1	0	1	0	1	1	128	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP040924.1:1657211-1674073	dereplication_representative										
GCF_008152325.1	NZ_CP042243.1	1379749.0	1387241.0	11775.0	1	1	0	1	1	1	1	7	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP042243.1:1374749-1392241	dereplication_representative										
GCF_022539405.1	NZ_CP054394.1	1661750.0	1667083.0	6213.0	1	1	0	1	0	0	0	308	(-1, -1, -1)	(2, 1, 0)	NZ_CP054394.1:1656750-1672083	dereplication_representative										
GCF_014467015.1	NZ_CP058559.1	2764531.0	2783262.0	10057.0	1	1	0	1	1	1	1	64	(1, 1, 1, -1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP058559.1:2759531-2788262	dereplication_representative										
GCF_018141425.1	NZ_CP058561.1	4799268.0	4806533.0	6001.0	0	1	0	1	0	1	0	330	(1, 1, 1)	(2, 1, 0)	NZ_CP058561.1:4794268-4811533	dereplication_representative										
GCF_018141405.1	NZ_CP058648.1	2755756.0	2765846.0	10448.0	1	1	0	1	0	1	1	48	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP058648.1:2750756-2770846	dereplication_representative										
GCF_018141445.1	NZ_CP058649.1	3813729.0	3822702.0	6109.0	0	1	0	1	0	1	0	317	(-1, -1, -1)	(2, 1, 0)	NZ_CP058649.1:3808729-3827702	dereplication_representative										
GCF_013781885.1	NZ_CP059378.1	3021409.0	3028355.0	9440.0	1	1	0	1	0	1	1	174	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP059378.1:3016409-3033355	dereplication_representative										
GCF_035905475.1	NZ_CP121166.1	1916554.0	1923637.0	9457.0	1	1	0	1	0	1	1	161	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP059378.1:3016409-3033355	redundant										
GCF_017357865.1	NZ_CP060096.1	1523723.0	1530520.0	10005.0	1	1	0	1	0	1	1	66	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP060096.1:1518723-1535520	dereplication_representative										
GCF_014303955.1	NZ_CP060286.1	550054.0	554812.0	6307.0	1	1	0	1	0	0	0	278	(-1, -1, -1)	(2, 1, 0)	NZ_CP060286.1:545054-559812	dereplication_representative										
GCF_014467055.1	NZ_CP060696.1	1179204.0	1189289.0	3164.0	0	0	0	1	0	1	1	400	(1, 1, -1)	(5, 4, 3)	NZ_CP060696.1:1174204-1194289	dereplication_representative										
GCF_014467055.1	NZ_CP060696.1	1391879.0	1396903.0	6328.0	1	1	0	1	0	0	0	274	(-1, -1, -1)	(2, 1, 0)	NZ_CP060696.1:1386879-1401903	dereplication_representative										
GCF_005473905.2	NZ_CP061336.1	2630868.0	2639200.0	10406.0	1	1	0	1	1	1	1	52	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_CP061336.1:2625868-2644200	dereplication_representative										
GCF_016071375.1	NZ_CP063816.1	1307198.0	1314043.0	9468.0	1	1	0	1	0	1	1	150	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP063816.1:1302198-1319043	dereplication_representative										
GCF_017100085.1	NZ_CP063965.1	1604869.0	1611719.0	9447.0	1	1	0	1	0	1	1	173	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP063816.1:1302198-1319043	redundant										
GCF_000204565.1	NC_015425.1	1172810.0	1179660.0	9452.0	1	1	0	1	0	1	1	167	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP063816.1:1302198-1319043	redundant										
GCF_016906045.1	NZ_CP070235.1	2933123.0	2937987.0	5934.0	0	1	0	1	0	1	0	350	(-1, -1, -1)	(2, 1, 0)	NZ_CP070235.1:2928123-2942987	dereplication_representative										
GCF_020911725.1	NZ_CP076620.1	1533044.0	1539918.0	8254.0	1	1	0	1	0	1	0	219	(1, 1, 1, 1)	(3, 2, 1, 0)	NZ_CP076620.1:1528044-1544918	dereplication_representative										
GCF_019203185.1	NZ_CP078093.1	2373195.0	2380631.0	11643.0	1	1	0	1	1	1	1	11	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP078093.1:2368195-2385631	dereplication_representative										
GCF_020736365.1	NZ_CP085988.1	3385709.0	3390627.0	6003.0	0	1	0	1	0	1	0	329	(-1, -1, -1)	(2, 1, 0)	NZ_CP085988.1:3380709-3395627	dereplication_representative										
GCF_026650965.1	NZ_CP086237.1	4457510.0	4464406.0	9451.0	1	1	0	1	0	1	1	170	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	dereplication_representative										
GCF_018861905.1	NZ_JAHLDU010000010.1	78708.0	85605.0	9402.0	1	1	0	1	0	1	1	193	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	readded_by_score										
GCF_018861865.1	NZ_JAHLDV010000003.1	81880.0	88776.0	9483.0	1	1	0	1	0	1	1	141	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	redundant										
GCF_018861795.1	NZ_JAHLDR010000001.1	341035.0	347932.0	9481.0	1	1	0	1	0	1	1	142	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	redundant										
GCF_020443575.1	NZ_JAIZZY010000004.1	211524.0	218421.0	9471.0	1	1	0	1	0	1	1	147	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	redundant										
GCF_026650925.1	NZ_CP086147.1	3237009.0	3243906.0	9461.0	1	1	0	1	0	1	1	155	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	redundant										
GCF_026651005.1	NZ_CP086243.1	3602756.0	3609653.0	9455.0	1	1	0	1	0	1	1	163	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	redundant										
GCF_030585465.1	NZ_CP077615.1	3153519.0	3160416.0	9462.0	1	1	0	1	0	1	1	153	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	redundant										
GCF_030585505.1	NZ_CP077610.1	2266100.0	2272996.0	9454.0	1	1	0	1	0	1	1	165	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP086237.1:4452510-4469406	redundant										
GCF_002006235.2	NZ_CP096988.1	220312.0	227472.0	9457.0	1	1	0	1	0	1	1	159	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP096988.1:215312-232472	dereplication_representative										
GCF_000364165.2	NZ_CP097810.1	1403400.0	1406973.0	5121.0	0	0	0	1	0	1	1	389	(1, 1, 1)	(2, 1, 0)	NZ_CP097810.1:1398400-1411973	dereplication_representative										
GCF_025146005.1	NZ_CP102254.1	995138.0	1003100.0	5906.0	0	1	0	1	0	1	0	361	(1, 1, 1)	(2, 1, 0)	NZ_CP102254.1:990138-1008100	dereplication_representative										
GCF_039789045.1	NZ_CP121164.1	891591.0	899555.0	5914.0	0	1	0	1	0	1	0	359	(1, 1, 1)	(2, 1, 0)	NZ_CP102254.1:990138-1008100	redundant										
GCF_026410065.1	NZ_CP112872.1	2472981.0	2480000.0	9491.0	1	1	0	1	0	1	1	136	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP112872.1:2467981-2485000	dereplication_representative										
