Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43	Number	Strand	Layout_group	assembly_file	representative	dereplication_status
GCF_001042715.1	NZ_CP009687.1	1790987	1798651	11310.0	1	1	0	1	1	1	1	19	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_001042715.1_ASM104271v1_genomic.fna.gz	GCF_001042715.1_ASM104271v1_genomic.fna.gz	dereplication_representative
GCF_001047375.1	NZ_LFVU01000027.1	16189	24634	9963.0	1	1	0	1	0	1	1	69	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_001047375.1_ASM104737v1_genomic.fna.gz	GCF_001047375.1_ASM104737v1_genomic.fna.gz	dereplication_representative
GCF_001262605.1	NZ_LGTC01000001.1	793877	802891	9657.0	1	1	0	1	0	1	1	82	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_001262605.1_ASM126260v1_genomic.fna.gz	GCF_001262605.1_ASM126260v1_genomic.fna.gz	dereplication_representative
GCF_001263795.1	NZ_LHUR01000011.1	217545	224381	9621.0	1	1	0	1	0	1	1	87	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001263795.1_ASM126379v1_genomic.fna.gz	GCF_001263795.1_ASM126379v1_genomic.fna.gz	dereplication_representative
GCF_001282685.1	NZ_LN875035.1	3188052	3191702	5337.0	0	0	0	1	0	1	1	376	(-1, -1, -1)	(2, 1, 0)	GCF_001282685.1_Niameyia_massiliensis_genomic.fna.gz	GCF_001282685.1_Niameyia_massiliensis_genomic.fna.gz	dereplication_representative
GCF_001282725.1	NZ_LN876587.1	888085	895588	11595.0	1	1	0	1	1	1	1	14	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_001282725.1_Malnutritionisia_massiliensis_genomic.fna.gz	GCF_001282725.1_Malnutritionisia_massiliensis_genomic.fna.gz	dereplication_representative
GCF_001299475.1	NZ_CYUJ01000002.1	774043	778018	6730.0	1	1	0	1	0	0	0	255	(1, 1, 1)	(2, 1, 0)	GCF_001299475.1_Neofamilia_massiliensis_genomic.fna.gz	GCF_001299475.1_Neofamilia_massiliensis_genomic.fna.gz	dereplication_representative
GCF_001311925.1	NZ_BBCG01000019.1	17620	21498	4922.0	0	0	0	1	0	1	1	396	(-1, -1, -1)	(2, 1, 0)	GCF_001311925.1_ASM131192v1_genomic.fna.gz	GCF_001311925.1_ASM131192v1_genomic.fna.gz	dereplication_representative
GCF_001317355.1	NZ_LKET01000028.1	139088	145969	9960.0	1	1	0	1	0	1	1	70	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001317355.1_ASM131735v1_genomic.fna.gz	GCF_001317355.1_ASM131735v1_genomic.fna.gz	dereplication_representative
GCF_001403635.1	NZ_LN879468.1	1056127	1062808	8173.0	1	1	0	1	0	1	0	220	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_001403635.1_Clostridium_massilioamazoniensis_genomic.fna.gz	GCF_001403635.1_Clostridium_massilioamazoniensis_genomic.fna.gz	dereplication_representative
GCF_001440545.1	NZ_LKHP01000003.1	230763	237237	10101.0	1	1	0	1	0	1	1	62	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_001440545.1_ASM144054v1_genomic.fna.gz	GCF_001440545.1_ASM144054v1_genomic.fna.gz	dereplication_representative
GCF_001559865.1	NZ_LOHE01000068.1	83311	94359	12085.0	1	1	0	2	1	1	1	4	(1, 1, 1, 1, 1, 1, 1)	(6, 5, 4, 3, 2, 1, 0)	GCF_001559865.1_ASM155986v1_genomic.fna.gz	GCF_001559865.1_ASM155986v1_genomic.fna.gz	dereplication_representative
GCF_001562415.1	NZ_LOEE01000019.1	10128	27962	12042.0	1	1	1	1	1	1	1	5	(-1, -1, -1, -1, -1, -1, -1)	(6, 5, 4, 3, 2, 1, 0)	GCF_001562415.1_ASM156241v1_genomic.fna.gz	GCF_001562415.1_ASM156241v1_genomic.fna.gz	dereplication_representative
GCF_001571775.1	NZ_LRVM01000006.1	145605	152022	3375.0	0	0	0	1	0	1	1	399	(1, -1, -1)	(2, 1, 0)	GCF_001571775.1_ASM157177v1_genomic.fna.gz	GCF_001571775.1_ASM157177v1_genomic.fna.gz	dereplication_representative
GCF_001593985.1	NZ_LTBB01000001.1	43309	50138	9556.0	1	1	0	1	0	1	1	105	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001593985.1_ASM159398v1_genomic.fna.gz	GCF_001593985.1_ASM159398v1_genomic.fna.gz	dereplication_representative
GCF_001594005.1	NZ_LTBA01000001.1	392462	399332	9606.0	1	1	0	1	0	1	1	91	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001594005.1_ASM159400v1_genomic.fna.gz	GCF_001594005.1_ASM159400v1_genomic.fna.gz	dereplication_representative
GCF_001623875.1	NZ_LWAE01000001.1	832539	839731	9489.0	1	1	0	1	0	1	1	137	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_001623875.1_ASM162387v1_genomic.fna.gz	GCF_001623875.1_ASM162387v1_genomic.fna.gz	dereplication_representative
GCF_001636845.1	NZ_LITT01000004.1	107564	114493	9348.0	1	1	0	1	0	1	1	202	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001636845.1_ASM163684v1_genomic.fna.gz	GCF_001636845.1_ASM163684v1_genomic.fna.gz	dereplication_representative
GCF_000143685.1	NC_014328.1	3687411	3694350	9336.0	1	1	0	1	0	1	1	203	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000143685.1_ASM14368v1_genomic.fna.gz	GCF_001636845.1_ASM163684v1_genomic.fna.gz	redundant
GCF_019056555.1	NZ_CP020473.1	1396624	1403563	9320.0	1	1	0	1	0	1	1	205	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_019056555.1_ASM1905655v1_genomic.fna.gz	GCF_001636845.1_ASM163684v1_genomic.fna.gz	redundant
GCF_004006395.2	NZ_CP029758.2	3636555	3643493	9350.0	1	1	0	1	0	1	1	201	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_004006395.2_ASM400639v2_genomic.fna.gz	GCF_001636845.1_ASM163684v1_genomic.fna.gz	redundant
GCF_001655775.1	NZ_LXFF01000014.1	17687	24127	9292.0	1	1	0	1	0	1	1	208	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001655775.1_ASM165577v1_genomic.fna.gz	GCF_001655775.1_ASM165577v1_genomic.fna.gz	dereplication_representative
GCF_001697285.1	NZ_CP014673.1	2436851	2440592	5079.0	0	0	0	1	0	1	1	392	(-1, -1, -1)	(2, 1, 0)	GCF_001697285.1_ASM169728v1_genomic.fna.gz	GCF_001697285.1_ASM169728v1_genomic.fna.gz	dereplication_representative
GCF_001748365.1	NZ_BDHH01000005.1	4494	8565	7626.0	0	0	0	1	1	1	1	247	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_001748365.1_ASM174836v1_genomic.fna.gz	GCF_001748365.1_ASM174836v1_genomic.fna.gz	dereplication_representative
GCF_001750685.1	NZ_CP017269.1	5667732	5675251	11615.0	1	1	0	1	1	1	1	12	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_001750685.1_ASM175068v1_genomic.fna.gz	GCF_001750685.1_ASM175068v1_genomic.fna.gz	dereplication_representative
GCF_001758365.1	NZ_LZFO01000032.1	12223	19052	9601.0	1	1	0	1	0	1	1	94	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001758365.1_ASM175836v1_genomic.fna.gz	GCF_001758365.1_ASM175836v1_genomic.fna.gz	dereplication_representative
GCF_001854185.1	NZ_CP017603.1	3131769	3139393	11318.0	1	1	0	1	1	1	1	18	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_001854185.1_ASM185418v1_genomic.fna.gz	GCF_001854185.1_ASM185418v1_genomic.fna.gz	dereplication_representative
GCF_001886775.1	NZ_CP013242.1	772	6818	7434.0	0	1	0	1	0	1	1	251	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_001886775.1_ASM188677v1_genomic.fna.gz	GCF_001886775.1_ASM188677v1_genomic.fna.gz	dereplication_representative
GCF_001889365.1	NZ_CP013296.1	559240	566367	9506.0	1	1	0	1	0	1	1	129	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_001889365.1_ASM188936v1_genomic.fna.gz	GCF_001886775.1_ASM188677v1_genomic.fna.gz	readded_by_content
GCF_900447155.1	NZ_UFWX01000001.1	3451797	3458909	9457.0	1	1	0	1	0	1	1	162	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_900447155.1_53618_G01_genomic.fna.gz	GCF_001886775.1_ASM188677v1_genomic.fna.gz	redundant
GCF_001940245.1	NZ_MJIG01000003.1	270073	276885	5940.0	0	1	0	1	0	1	0	348	(1, 1, 1)	(2, 1, 0)	GCF_001940245.1_ASM194024v1_genomic.fna.gz	GCF_001940245.1_ASM194024v1_genomic.fna.gz	dereplication_representative
GCF_001940315.1	NZ_MJIF01000001.1	852509	861039	5921.0	0	1	0	1	0	1	0	356	(-1, -1, -1)	(2, 1, 0)	GCF_001940315.1_ASM194031v1_genomic.fna.gz	GCF_001940315.1_ASM194031v1_genomic.fna.gz	dereplication_representative
GCF_002006235.2	NZ_CP096988.1	220312	227472	9457.0	1	1	0	1	0	1	1	159	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_002006235.2_ASM200623v2_genomic.fna.gz	GCF_002006235.2_ASM200623v2_genomic.fna.gz	dereplication_representative
GCF_002029235.1	NZ_MZGV01000008.1	62285	69336	9521.0	1	1	0	1	0	1	1	122	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_002029235.1_ASM202923v1_genomic.fna.gz	GCF_002029235.1_ASM202923v1_genomic.fna.gz	dereplication_representative
GCF_002051585.1	NZ_MZGX01000020.1	10349	18459	10343.0	1	1	0	1	1	1	1	56	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_002051585.1_ASM205158v1_genomic.fna.gz	GCF_002051585.1_ASM205158v1_genomic.fna.gz	dereplication_representative
GCF_002074155.1	NZ_CP014176.1	1737288	1744391	9546.0	1	1	0	1	0	1	1	109	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_002074155.1_ASM207415v1_genomic.fna.gz	GCF_002074155.1_ASM207415v1_genomic.fna.gz	dereplication_representative
GCF_002159175.1	NZ_NFGZ01000003.1	187253	195884	6231.0	1	1	0	1	0	0	0	301	(-1, -1, -1)	(2, 1, 0)	GCF_002159175.1_ASM215917v1_genomic.fna.gz	GCF_002159175.1_ASM215917v1_genomic.fna.gz	dereplication_representative
GCF_002159465.1	NZ_NFIR01000007.1	2644	8839	5876.0	0	1	0	1	0	1	0	370	(1, 1, 1)	(2, 1, 0)	GCF_002159465.1_ASM215946v1_genomic.fna.gz	GCF_002159465.1_ASM215946v1_genomic.fna.gz	dereplication_representative
GCF_002161055.1	NZ_NFLT01000005.1	89842	93387	5261.0	0	0	0	1	0	1	1	378	(1, 1, 1)	(2, 1, 0)	GCF_002161055.1_ASM216105v1_genomic.fna.gz	GCF_002161055.1_ASM216105v1_genomic.fna.gz	dereplication_representative
GCF_002161065.1	NZ_NFLV01000003.1	187260	193346	5882.0	0	1	0	1	0	1	0	367	(-1, -1, -1)	(2, 1, 0)	GCF_002161065.1_ASM216106v1_genomic.fna.gz	GCF_002161065.1_ASM216106v1_genomic.fna.gz	dereplication_representative
GCF_002161085.1	NZ_NFLU01000008.1	23861	37995	6641.0	1	1	1	1	0	0	0	259	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_002161085.1_ASM216108v1_genomic.fna.gz	GCF_002161085.1_ASM216108v1_genomic.fna.gz	dereplication_representative
GCF_002161175.1	NZ_NFMA01000005.1	42490	47389	6226.0	1	1	0	1	0	0	0	303	(-1, -1, -1)	(2, 1, 0)	GCF_002161175.1_ASM216117v1_genomic.fna.gz	GCF_002161175.1_ASM216117v1_genomic.fna.gz	dereplication_representative
GCF_002161215.1	NZ_NFMB01000007.1	234145	244427	6312.0	1	1	0	1	0	0	0	277	(-1, -1, -1)	(2, 1, 0)	GCF_002161215.1_ASM216121v1_genomic.fna.gz	GCF_002161215.1_ASM216121v1_genomic.fna.gz	dereplication_representative
GCF_002216005.1	NZ_NIQC01000018.1	34583	40402	6337.0	1	1	0	1	0	0	0	273	(-1, -1, -1)	(2, 1, 0)	GCF_002216005.1_ASM221600v1_genomic.fna.gz	GCF_002216005.1_ASM221600v1_genomic.fna.gz	dereplication_representative
GCF_002250835.2	NZ_NOJY02000003.1	54947	63695	7925.0	1	1	0	1	1	0	0	228	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_002250835.2_ASM225083v2_genomic.fna.gz	GCF_002250835.2_ASM225083v2_genomic.fna.gz	dereplication_representative
GCF_002252565.1	NZ_NPML01000007.1	276849	289721	6561.0	1	1	0	1	0	0	0	266	(-1, -1, -1)	(2, 1, 0)	GCF_002252565.1_ASM225256v1_genomic.fna.gz	GCF_002252565.1_ASM225256v1_genomic.fna.gz	dereplication_representative
GCF_002270055.1	NZ_NIBG01000001.1	41833	53998	11490.0	1	1	0	1	1	1	1	16	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_002270055.1_ASM227005v1_genomic.fna.gz	GCF_002270055.1_ASM227005v1_genomic.fna.gz	dereplication_representative
GCF_002441855.2	NZ_CP029487.1	3965629	3969857	6749.0	1	1	0	1	0	0	0	254	(1, 1, 1)	(2, 1, 0)	GCF_002441855.2_ASM244185v2_genomic.fna.gz	GCF_002441855.2_ASM244185v2_genomic.fna.gz	dereplication_representative
GCF_002724055.1	NZ_BDQY01000002.1	57404	65369	11144.0	1	1	0	1	1	1	1	31	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_002724055.1_ASM272405v1_genomic.fna.gz	GCF_002724055.1_ASM272405v1_genomic.fna.gz	dereplication_representative
GCF_002735925.1	NZ_PEDL01000002.1	131692	135469	5249.0	0	0	0	1	0	1	1	379	(1, 1, 1)	(2, 1, 0)	GCF_002735925.1_ASM273592v1_genomic.fna.gz	GCF_002735925.1_ASM273592v1_genomic.fna.gz	dereplication_representative
GCF_002796935.1	NZ_PETE01000002.1	3921231	3928539	9602.0	1	1	0	1	0	1	1	93	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_002796935.1_ASM279693v1_genomic.fna.gz	GCF_002796935.1_ASM279693v1_genomic.fna.gz	dereplication_representative
GCF_002874775.1	NZ_CP020991.1	2609584	2614848	5140.0	0	0	0	1	0	1	1	385	(1, 1, 1)	(2, 1, 0)	GCF_002874775.1_ASM287477v1_genomic.fna.gz	GCF_002874775.1_ASM287477v1_genomic.fna.gz	dereplication_representative
GCF_002896855.1	NZ_CP021850.1	1708364	1718559	9623.0	1	1	0	1	0	1	1	85	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_002896855.1_ASM289685v1_genomic.fna.gz	GCF_002896855.1_ASM289685v1_genomic.fna.gz	dereplication_representative
GCF_002899675.1	NZ_PKUU01000024.1	78223	82920	5899.0	0	1	0	1	0	1	0	364	(1, 1, 1)	(2, 1, 0)	GCF_002899675.1_ASM289967v1_genomic.fna.gz	GCF_002899675.1_ASM289967v1_genomic.fna.gz	dereplication_representative
GCF_002934545.1	NZ_PTJA01000001.1	684800	689568	5979.0	0	1	0	1	0	1	0	335	(1, 1, 1)	(2, 1, 0)	GCF_002934545.1_ASM293454v1_genomic.fna.gz	GCF_002934545.1_ASM293454v1_genomic.fna.gz	dereplication_representative
GCF_013036995.1	NZ_JAAOXG010000088.1	32184	36953	5945.0	0	1	0	1	0	1	0	345	(1, 1, 1)	(2, 1, 0)	GCF_013036995.1_ASM1303699v1_genomic.fna.gz	GCF_002934545.1_ASM293454v1_genomic.fna.gz	redundant
GCF_048627165.1	NZ_JBMBWP010000002.1	1910090	1914859	5919.0	0	1	0	1	0	1	0	358	(-1, -1, -1)	(2, 1, 0)	GCF_048627165.1_ASM4862716v1_genomic.fna.gz	GCF_002934545.1_ASM293454v1_genomic.fna.gz	redundant
GCF_002964605.1	NZ_PQDH01000001.1	223422	231090	7495.0	0	1	0	1	0	1	1	250	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_002964605.1_ASM296460v1_genomic.fna.gz	GCF_002964605.1_ASM296460v1_genomic.fna.gz	dereplication_representative
GCF_002969215.1	NZ_NEMB01000003.1	3000213	3004653	5020.0	0	0	0	1	0	1	1	394	(-1, -1, -1)	(2, 1, 0)	GCF_002969215.1_ASM296921v1_genomic.fna.gz	GCF_002969215.1_ASM296921v1_genomic.fna.gz	dereplication_representative
GCF_003024715.1	NZ_PYLO01000004.1	243048	247787	6018.0	0	1	0	1	0	1	0	325	(1, 1, 1)	(2, 1, 0)	GCF_003024715.1_ASM302471v1_genomic.fna.gz	GCF_003024715.1_ASM302471v1_genomic.fna.gz	dereplication_representative
GCF_003047205.1	NZ_CP028491.1	2282911	2297684	7907.0	1	1	0	1	0	1	1	230	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_003047205.1_ASM304720v1_genomic.fna.gz	GCF_003047205.1_ASM304720v1_genomic.fna.gz	dereplication_representative
