CP030479.1	GCA_008934295.1
DAKZNN010000001.1	GCA_026880885.1
DAKZNS010000001.1	GCA_026880905.1
DAKZNQ010000003.1	GCA_026880925.1
DAKZNR010000003.1	GCA_026880945.1
DAKZOG010000001.1	GCA_026881425.1
DAKZOL010000009.1	GCA_026881445.1
DAKZON010000001.1	GCA_026881465.1
DAKZOP010000001.1	GCA_026881505.1
DAKZOJ010000001.1	GCA_026881525.1
DAKZOM010000001.1	GCA_026881665.1
DAKZOQ010000001.1	GCA_026881685.1
DAKZOR010000001.1	GCA_026881705.1
DAKZOS010000001.1	GCA_026881725.1
DAKZOT010000001.1	GCA_026881745.1
DAKZOU010000001.1	GCA_026881785.1
DAKZOV010000001.1	GCA_026881805.1
DAKZPA010000003.1	GCA_026881845.1
DAKZOY010000001.1	GCA_026881885.1
DAKZPC010000001.1	GCA_026881925.1
DAKZPR010000001.1	GCA_026882705.1
DAKZPQ010000001.1	GCA_026882745.1
DAKZPS010000001.1	GCA_026882765.1
DAKZPT010000003.1	GCA_026882785.1
DAKZPV010000001.1	GCA_026882805.1
DAKZPU010000002.1	GCA_026882825.1
DAKZPW010000001.1	GCA_026882845.1
DAKZPZ010000003.1	GCA_026882885.1
DAKZPY010000001.1	GCA_026882905.1
DAKZQG010000003.1	GCA_026883595.1
DAKZQI010000001.1	GCA_026883665.1
DAKZQK010000001.1	GCA_026883705.1
DAKZQO010000002.1	GCA_026883765.1
DAKZQN010000040.1	GCA_026883785.1
DAKZQW010000044.1	GCA_026883945.1
DAKZRC010000002.1	GCA_026884065.1
DAKZRF010000001.1	GCA_026884105.1
DAKZRQ010000003.1	GCA_026884345.1
DAKZRS010000002.1	GCA_026884365.1
DAKZRT010000002.1	GCA_026884405.1
DAKZRU010000001.1	GCA_026884425.1
DAKZRV010000001.1	GCA_026884445.1
DAKZRX010000003.1	GCA_026884485.1
DAKZRZ010000001.1	GCA_026884545.1
DAKZSA010000003.1	GCA_026884565.1
DAKZSO010000046.1	GCA_026885725.1
DAKZSP010000001.1	GCA_026885785.1
DAKZSQ010000001.1	GCA_026885825.1
DAKZSW010000001.1	GCA_026885925.1
DAKZSX010000001.1	GCA_026885945.1
DALNGD010000007.1	GCA_027198805.1
DALNRX010000001.1	GCA_027205065.1
DALNSG010000003.1	GCA_027205245.1
DALNWO010000001.1	GCA_027207545.1
DALNXR010000001.1	GCA_027208095.1
DALQSG010000004.1	GCA_027280785.1
DALQYH010000002.1	GCA_027283885.1
DALRAR010000002.1	GCA_027285085.1
DALRAP010000002.1	GCA_027285125.1
DALRCQ010000001.1	GCA_027286565.1
DALRCW010000002.1	GCA_027286685.1
DALRDE010000002.1	GCA_027286865.1
DALREF010000002.1	GCA_027287385.1
DALREI010000002.1	GCA_027287445.1
DALRHE010000002.1	GCA_027288905.1
DALRUI010000009.1	GCA_027301325.1
DALRVQ010000005.1	GCA_027302065.1
DALRWL010000006.1	GCA_027302425.1
DALRXX010000008.1	GCA_027303205.1
DALSAI010000007.1	GCA_027304445.1
DALSCI010000004.1	GCA_027305505.1
DALSCW010000003.1	GCA_027305825.1
DALSDP010000005.1	GCA_027340365.1
DALSES010000007.1	GCA_027344645.1
DALSME010000005.1	GCA_027358365.1
DALSMJ010000007.1	GCA_027358545.1
DALSNV010000008.1	GCA_027359335.1
DALSPU010000005.1	GCA_027361475.1
DALSRY010000003.1	GCA_027362635.1
DALSRX010000006.1	GCA_027362655.1
DALSTH010000006.1	GCA_027461315.1
DALSUE010000008.1	GCA_027461745.1
DALSVB010000007.1	GCA_027462205.1
DALSWX010000009.1	GCA_027463125.1
DALSXP010000007.1	GCA_027463485.1
DALSZB010000006.1	GCA_027464545.1
DALTAE010000006.1	GCA_027464865.1
DALTAV010000005.1	GCA_027465165.1
DALTBW010000004.1	GCA_027465705.1
DALTCA010000006.1	GCA_027465805.1
DALTCC010000006.1	GCA_027465825.1
DALTCR010000005.1	GCA_027466145.1
DALTDT010000004.1	GCA_027466685.1
DALTDW010000006.1	GCA_027466725.1
DALTDU010000005.1	GCA_027466745.1
DALTEE010000007.1	GCA_027466905.1
DALTFF010000005.1	GCA_027467405.1
DALTFC010000005.1	GCA_027467445.1
DALTFI010000006.1	GCA_027467495.1
DALTFH010000007.1	GCA_027467725.1
DALUTZ010000001.1	GCA_027509225.1
DALWLO010000001.1	GCA_027534765.1
DAMFCJ010000007.1	GCA_027630385.1
DAMFFB010000001.1	GCA_027631685.1
DAMHEB010000005.1	GCA_027657305.1
DAMJNH010000006.1	GCA_027722065.1
DAMKDX010000001.1	GCA_027733205.1
DAMKHG010000001.1	GCA_027735045.1
DAMKIU010000001.1	GCA_027735765.1
DAMKRE010000003.1	GCA_027741425.1
DAMKTC010000010.1	GCA_027742945.1
DAMLLI010000004.1	GCA_027754665.1
DAMLND010000008.1	GCA_027755565.1
DAMPAQ010000001.1	GCA_027809955.1
DAMPSP010000002.1	GCA_027819875.1
DAMPTA010000008.1	GCA_027820035.1
DAMQCN010000015.1	GCA_027825095.1
DAMSCE010000004.1	GCA_027910055.1
DAMULH010000042.1	GCA_027990065.1
DAMULI010000002.1	GCA_027990105.1
DAMULL010000001.1	GCA_027990185.1
DANEDY010000001.1	GCA_028457225.1
DANEDX010000003.1	GCA_028457265.1
DANEDZ010000001.1	GCA_028457305.1
DANEEA010000001.1	GCA_028457325.1
DANEED010000001.1	GCA_028457345.1
DANEEB010000001.1	GCA_028457365.1
DANEEC010000001.1	GCA_028457385.1
DANEEX010000001.1	GCA_028457795.1
DANEFC010000003.1	GCA_028457845.1
DANEFB010000001.1	GCA_028457865.1
DANEFE010000002.1	GCA_028457885.1
DANEEZ010000001.1	GCA_028457905.1
DANEFA010000003.1	GCA_028457925.1
DANEFD010000001.1	GCA_028457945.1
DANEFG010000001.1	GCA_028457985.1
DANEFH010000001.1	GCA_028458005.1
DANEFI010000001.1	GCA_028458025.1
DANEFJ010000001.1	GCA_028458045.1
DANEFL010000001.1	GCA_028458065.1
DANEFK010000001.1	GCA_028458085.1
DANEFM010000001.1	GCA_028458125.1
DANEGZ010000001.1	GCA_028459025.1
DANEHB010000004.1	GCA_028459045.1
DANEHA010000001.1	GCA_028459065.1
DANEHD010000003.1	GCA_028459105.1
DANEHF010000001.1	GCA_028459125.1
DANEHE010000001.1	GCA_028459145.1
DANEHG010000001.1	GCA_028459165.1
DANEHH010000001.1	GCA_028459185.1
DANEHI010000001.1	GCA_028459205.1
DANEHJ010000001.1	GCA_028459225.1
DANEHV010000001.1	GCA_028459385.1
DANEHW010000001.1	GCA_028459465.1
DANEHX010000001.1	GCA_028459505.1
DANEHZ010000001.1	GCA_028459525.1
DANEHY010000001.1	GCA_028459545.1
DANEIA010000001.1	GCA_028459565.1
DANEIC010000001.1	GCA_028459585.1
DANEIG010000001.1	GCA_028459605.1
DANEIB010000001.1	GCA_028459625.1
DANEID010000001.1	GCA_028459645.1
DANEIF010000001.1	GCA_028459665.1
DANEIE010000001.1	GCA_028459685.1
DANEIH010000001.1	GCA_028459705.1
DANEIQ010000006.1	GCA_028459885.1
DANEIR010000003.1	GCA_028459905.1
DANEIS010000001.1	GCA_028459925.1
DANEIY010000001.1	GCA_028465865.1
DANHSU010000006.1	GCA_028584025.1
DANHVE010000006.1	GCA_028585395.1
DANHXZ010000007.1	GCA_028586925.1
DANHYK010000005.1	GCA_028587205.1
DANHZY010000005.1	GCA_028588065.1
DANIRA010000001.1	GCA_028664675.1
DANIRD010000001.1	GCA_028664715.1
DANIRG010000001.1	GCA_028664795.1
DANIRL010000001.1	GCA_028664925.1
DANIRR010000001.1	GCA_028665035.1
DANISB010000001.1	GCA_028665215.1
DANISJ010000005.1	GCA_028665415.1
DANLNJ010000002.1	GCA_028802265.1
DAOAMN010000005.1	GCA_029386055.1
DAOIAH010000007.1	GCA_029690285.1
DAOIBC010000006.1	GCA_029690765.1
JARUXZ010000004.1	GCA_029764735.1
JARUXY010000003.1	GCA_029764755.1
JARUYA010000003.1	GCA_029764765.1
JARUYB010000002.1	GCA_029764775.1
JARUYC010000003.1	GCA_029764815.1
JARUYD010000003.1	GCA_029764835.1
JARUYE010000003.1	GCA_029764855.1
JARUYF010000003.1	GCA_029764895.1
DAOKMC010000001.1	GCA_029830555.1
DAOKOD010000004.1	GCA_029834295.1
DAOUOG010000005.1	GCA_030221565.1
CP127822.1	GCA_030290875.1
JAUJZW010000004.1	GCA_030486985.1
JAUJZV010000003.1	GCA_030487005.1
JAUJZX010000002.1	GCA_030487055.1
JAUJZU010000003.1	GCA_030487285.1
JAUJZP010000001.1	GCA_030487445.1
JAUKAL010000001.1	GCA_030487485.1
JAUKAM010000003.1	GCA_030487605.1
JAUKAN010000003.1	GCA_030487635.1
JAUKDA010000008.1	GCA_030488005.1
JAUKAY010000001.1	GCA_030488485.1
JAUKBI010000002.1	GCA_030488875.1
JAUKCJ010000002.1	GCA_030489245.1
JAUKCO010000003.1	GCA_030489515.1
DAOYSU010000096.1	GCA_030816055.1
JAVHZW010000007.1	GCA_031119695.1
DAPQBZ010000003.1	GCA_031900225.1
DAPQKG010000007.1	GCA_031923135.1
DAPTWU010000004.1	GCA_032096055.1
DAPTXB010000001.1	GCA_032096325.1
DAPTXK010000001.1	GCA_032096655.1
DAPTXR010000004.1	GCA_032096875.1
DAPTYJ010000004.1	GCA_032097705.1
DAPTYK010000001.1	GCA_032097805.1
DAPTZL010000001.1	GCA_032099305.1
DAPUAQ010000008.1	GCA_032105525.1
DAPWNI010000003.1	GCA_032221285.1
DAPWXC010000002.1	GCA_032226405.1
DAPXXY010000003.1	GCA_032283905.1
DAPZMO010000027.1	GCA_032322595.1
DAQANQ010000001.1	GCA_032393365.1
JAWEJO010000013.1	GCA_032470755.1
JAWEBE010000030.1	GCA_032475195.1
JAWEKW010000087.1	GCA_032486635.1
JAWFMI010000001.1	GCA_032514405.1
DAQCNL010000005.1	GCA_032532465.1
DAQCNM010000004.1	GCA_032532505.1
DAQCNN010000003.1	GCA_032532545.1
JAWGAS010000038.1	GCA_032549705.1
DAQDBM010000001.1	GCA_032556915.1
JAWHHQ010000094.1	GCA_032564175.1
JAWHHA010000002.1	GCA_032564755.1
JAVUQM010000004.1	GCA_032649425.1
JAVUVO010000001.1	GCA_032653685.1
DAQSJX010000011.1	GCA_033169555.1
DARNGB010000001.1	GCA_033736915.1
DARNGA010000003.1	GCA_033737055.1
DARNGE010000002.1	GCA_033752755.1
DARNGD010000001.1	GCA_033752775.1
DARNGC010000001.1	GCA_033752795.1
DARPRO010000001.1	GCA_033829405.1
DARPTO010000002.1	GCA_033830485.1
DASKWU010000006.1	GCA_034410125.1
DASKYE010000005.1	GCA_034411315.1
CP155057.1	GCA_039622155.1
JBDQRU010000001.1	GCA_039889935.1
JBFMOL010000012.1	GCA_040789785.1
JBGIYU010000001.1	GCA_041321195.1
JBGIYM010000001.1	GCA_041321355.1
DAXRFU010000008.1	GCA_042886055.1
DAXRIK010000017.1	GCA_042894045.1
DAXTIB010000005.1	GCA_042933845.1
DAXTIJ010000009.1	GCA_042933985.1
DAXTMR010000004.1	GCA_042936435.1
DAXXEL010000002.1	GCA_042995595.1
DAYAFN010000002.1	GCA_043048105.1
DAYAIP010000001.1	GCA_043049755.1
DAYAJA010000004.1	GCA_043049995.1
JBGNVK010000058.1	GCA_043195615.1
JBGNVW010000003.1	GCA_043196015.1
DAYLBJ010000004.1	GCA_043217575.1
DAYLBU010000007.1	GCA_043217795.1
DAYZAS010000004.1	GCA_043472795.1
DAZCHQ010000002.1	GCA_043525915.1
DAZCHR010000002.1	GCA_043525955.1
DAZCHX010000002.1	GCA_043526015.1
DAZCIA010000002.1	GCA_043526035.1
DAZCHZ010000002.1	GCA_043526075.1
DAZCJL010000002.1	GCA_043526865.1
DAZCKD010000002.1	GCA_043527595.1
DAZCMP010000002.1	GCA_043532955.1
DAZCOJ010000002.1	GCA_043538545.1
DAZCOV010000002.1	GCA_043539115.1
DAZCPU010000002.1	GCA_043539695.1
DAZCQL010000002.1	GCA_043540115.1
DAZCSO010000002.1	GCA_043541175.1
DAZCSN010000002.1	GCA_043541195.1
DAZCSQ010000002.1	GCA_043541215.1
DAZCTE010000002.1	GCA_043541515.1
DAZCVJ010000002.1	GCA_043542675.1
DAZCVW010000002.1	GCA_043542935.1
DAZCYB010000002.1	GCA_043544115.1
DAZCZT010000002.1	GCA_043544965.1
DAZCZS010000003.1	GCA_043544985.1
DAZDNF010000002.1	GCA_043552195.1
DAZDRM010000002.1	GCA_043554465.1
DAZDSZ010000002.1	GCA_043555285.1
DAZEDG010000002.1	GCA_043567605.1
DAZEIK010000002.1	GCA_043570265.1
DAZLFI010000001.1	GCA_043666875.1
DAZLKU010000001.1	GCA_043669875.1
DAZLLE010000001.1	GCA_043670075.1
JBETML010000010.1	GCA_043846475.1
JBETMS010000007.1	GCA_043846615.1
JBETMR010000002.1	GCA_043846635.1
DBAHDQ010000003.1	GCA_044153955.1
DBAHEL010000006.1	GCA_044154385.1
DBAHJG010000004.1	GCA_044156865.1
DBAHLG010000005.1	GCA_044157905.1
DBAHXV010000004.1	GCA_044164555.1
DBAHYD010000005.1	GCA_044164675.1
DBAHYG010000009.1	GCA_044164935.1
DBAHYK010000002.1	GCA_044164975.1
DBAHYL010000008.1	GCA_044165005.1
DBAUOE010000002.1	GCA_044414325.1
DBAUTR010000003.1	GCA_044417205.1
JAJJHE010000005.1	GCA_044898245.1
JAJJGT010000005.1	GCA_044898485.1
JAJJGV010000004.1	GCA_044898505.1
JAJJGE010000005.1	GCA_044898805.1
JAJJDM010000006.1	GCA_044902325.1
DBDLBL010000001.1	GCA_045942465.1
DBDOZH010000003.1	GCA_046099895.1
DBDPCC010000002.1	GCA_046101375.1
DBDSNT010000002.1	GCA_046174365.1
DBDSOG010000002.1	GCA_046174625.1
DBDSYK010000004.1	GCA_046180915.1
DBDSYS010000003.1	GCA_046181045.1
DBDSYR010000002.1	GCA_046181125.1
DBDTFI010000002.1	GCA_046184645.1
DBDTMB010000003.1	GCA_046197635.1
DBDTUX010000002.1	GCA_046203145.1
LR134088.1	GCA_900635275.1
CAIHQY010000001.1	GCA_903804955.1
CAIIML010000001.1	GCA_903810555.1
NC_007622.1	GCF_000009005.1
NC_017338.2	GCF_000144955.2
NZ_GG697985.1	GCF_000153665.1
NZ_GL622352.1	GCF_000185485.1
NZ_AHLK01000012.1	GCF_000247225.1
NC_017353.1	GCF_000270465.1
NZ_KB373323.1	GCF_000316075.2
NZ_KI978395.1	GCF_000542395.1
NZ_JIBS01000001.1	GCF_000649085.1
NZ_JIBR01000012.1	GCF_000649125.1
NZ_CCEL01000003.1	GCF_000751255.1
CCEN01000001.1	GCF_000751495.1
NZ_JZIO01000002.1	GCF_000949555.1
NZ_JZIP01000002.1	GCF_000949575.1
NZ_JZIQ01000002.1	GCF_000949585.1
LATU01000003.1	GCF_000972565.1
LATV01000010.1	GCF_000972575.1
NZ_JVTT01000025.1	GCF_001061555.1
NZ_KQ957362.1	GCF_001546615.1
NZ_CP014022.1	GCF_001558775.1
NZ_CP014023.2	GCF_001558815.2
NZ_LRMY01000020.1	GCF_001639785.1
NZ_CP015646.1	GCF_001656075.1
NZ_MAQG01000003.1	GCF_001681075.1
NZ_MAQR01000124.1	GCF_001681175.1
NZ_KV794617.1	GCF_001808805.1
NZ_KV795710.1	GCF_001809105.1
NZ_KV799491.1	GCF_001809965.1
NZ_KV799542.1	GCF_001810005.1
NZ_KV807464.1	GCF_001812005.1
NZ_KV808842.1	GCF_001812415.1
NZ_KV809470.1	GCF_001812565.1
NZ_KV812761.1	GCF_001813495.1
NZ_KV814444.1	GCF_001813905.1
NZ_KV817162.1	GCF_001814565.1
NZ_KV828025.1	GCF_001836305.1
NZ_KV828746.1	GCF_001836475.1
NZ_KV828982.1	GCF_001836545.1
NZ_KV830292.1	GCF_001836725.1
NZ_KV830673.1	GCF_001836835.1
NZ_KV830801.1	GCF_001836885.1
NZ_KV830854.1	GCF_001836895.1
NZ_KV830918.1	GCF_001836955.1
NZ_KV831174.1	GCF_001837025.1
NZ_KV831208.1	GCF_001837045.1
NZ_KV831395.1	GCF_001837105.1
NZ_KV831559.1	GCF_001837145.1
NZ_KV831596.1	GCF_001837155.1
NZ_KV832751.1	GCF_001837525.1
NZ_KV832945.1	GCF_001837575.1
NZ_KV839521.1	GCF_001838955.1
NZ_KV840185.1	GCF_001839145.1
NZ_KV840608.1	GCF_001839245.1
NZ_KV840817.1	GCF_001839265.1
NZ_KV840970.1	GCF_001839345.1
NZ_KV840939.1	GCF_001839355.1
NZ_KV841249.1	GCF_001839425.1
NZ_MLQF01000001.1	GCF_001855115.1
NZ_CP020406.2	GCF_002073395.2
NZ_CP020761.1	GCF_002096075.1
NZ_CP020762.1	GCF_002096115.1
NZ_CP020763.1	GCF_002096135.1
NZ_CP020735.1	GCF_002096155.1
NZ_CP020768.1	GCF_002096975.1
NZ_CP020764.1	GCF_002097035.1
NZ_NAIV01000097.1	GCF_002097615.1
NZ_CP020769.1	GCF_002104555.1
NZ_CP017069.2	GCF_002250095.2
NZ_CP023539.1	GCF_002407165.1
NZ_CP023970.1	GCF_002591215.1
NZ_PPPV01000016.1	GCF_002901705.1
NZ_PPQS01000039.1	GCF_002902405.1
NZ_NSBX01000007.1	GCF_003022395.1
NZ_QFCV01000003.1	GCF_003131115.1
NZ_QFCY01000002.1	GCF_003131225.1
NZ_QFCZ01000002.1	GCF_003133785.1
NZ_PZTO01000003.1	GCF_003236955.1
NZ_PZUH01000012.1	GCF_003237995.1
NZ_PZRO01000015.1	GCF_003239105.1
NZ_BECT01000001.1	GCF_003422765.1
NZ_KZ984531.1	GCF_003569945.1
NZ_QXEE01000004.1	GCF_003605295.1
NZ_RCVV01000002.1	GCF_003668615.1
RCVW01000003.1	GCF_003668625.1
NZ_RCVX01000003.1	GCF_003668685.1
NZ_SCHB01000003.1	GCF_004329485.1
NZ_SZZE01000001.1	GCF_006511305.1
NZ_SZYX01000001.1	GCF_006511365.1
NZ_SZYW01000012.1	GCF_006511405.1
NZ_SZYL01000001.1	GCF_006511575.1
NZ_SZZB01000002.1	GCF_006511665.1
NZ_SZYZ01000003.1	GCF_006511735.1
NZ_SZYK01000001.1	GCF_006511765.1
NZ_VDPG01000003.1	GCF_007666495.1
NZ_CP042046.1	GCF_007726465.1
NZ_CP042048.1	GCF_007827105.1
NZ_CP042008.1	GCF_007827125.1
NZ_CP041723.1	GCF_008728715.1
NZ_CP041724.1	GCF_008728735.1
NZ_CP041725.1	GCF_008728755.1
NZ_CP041726.1	GCF_008728775.1
NZ_CP041727.1	GCF_008728795.1
NZ_CP041722.1	GCF_008728815.1
NZ_VRPI01000001.1	GCF_008762475.1
NZ_VRPJ01000001.1	GCF_008762515.1
NZ_VRPK01000001.1	GCF_008762545.1
NZ_VRPL01000001.1	GCF_008762555.1
NZ_VRPM01000001.1	GCF_008762595.1
NZ_VRPN01000001.1	GCF_008762605.1
NZ_VRPO01000002.1	GCF_008762635.1
NZ_VRPP01000003.1	GCF_008762645.1
NZ_VRPQ01000003.1	GCF_008762675.1
NZ_VRPT01000001.1	GCF_008762685.1
NZ_VRPS01000001.1	GCF_008762705.1
NZ_VRPR01000001.1	GCF_008762715.1
NZ_VRPX01000002.1	GCF_008762775.1
NZ_VRPW01000044.1	GCF_008762785.1
NZ_VRPY01000001.1	GCF_008762815.1
NZ_VRQA01000002.1	GCF_008762845.1
NZ_VRPZ01000002.1	GCF_008762855.1
NZ_VRQB01000002.1	GCF_008762875.1
NZ_VRQE01000143.1	GCF_008762925.1
NZ_VRQD01000002.1	GCF_008762935.1
NZ_VRQJ01000030.1	GCF_008763055.1
NZ_VRQM01000002.1	GCF_008763065.1
NZ_VRQK01000024.1	GCF_008763075.1
NZ_VRQQ01000003.1	GCF_008763175.1
NZ_VRQS01000004.1	GCF_008763225.1
NZ_VRQT01000033.1	GCF_008763235.1
NZ_VRQV01000137.1	GCF_008763255.1
NZ_VRQU01000001.1	GCF_008763275.1
NZ_VRQW01000004.1	GCF_008763305.1
NZ_VRQX01000001.1	GCF_008763315.1
NZ_WKGG01000001.1	GCF_009675705.1
NZ_CP047826.1	GCF_009912355.1
NZ_CP038807.1	GCF_009931395.1
NZ_JAANBP010000018.1	GCF_011394245.1
NZ_JAANBK010000004.1	GCF_011394275.1
NZ_JAANBT010000017.1	GCF_011394295.1
NZ_JAANBM010000017.1	GCF_011394305.1
NZ_JAANBI010000004.1	GCF_011394485.1
NZ_JAANCG010000009.1	GCF_011394515.1
NZ_JAANBZ010000006.1	GCF_011394625.1
NZ_JAANBR010000005.1	GCF_011394675.1
NZ_JAANBH010000004.1	GCF_011394695.1
NZ_JAANBY010000014.1	GCF_011394705.1
NZ_JAANCE010000004.1	GCF_011394775.1
NZ_JAANBE010000014.1	GCF_011394795.1
NZ_JAANBG010000004.1	GCF_011394815.1
NZ_JAANBX010000004.1	GCF_011394825.1
NZ_AP021848.1	GCF_011403135.1
NZ_BLRS01000002.1	GCF_012862375.1
NZ_CP038183.1	GCF_013307085.1
NZ_JABUAB010000028.1	GCF_013344045.1
NZ_JABVAB010000003.1	GCF_013345375.1
NZ_CP051191.1	GCF_014696255.1
NZ_CP051479.1	GCF_014696535.1
NZ_JADAMT010000002.1	GCF_014877095.1
NZ_JADANA010000003.1	GCF_014877495.1
NZ_JADANG010000004.1	GCF_014877595.1
NZ_JADAMW010000009.1	GCF_014877835.1
NZ_CP063143.1	GCF_014962425.1
NZ_CP063686.1	GCF_015224275.1
NZ_CP063801.1	GCF_015277595.1
NZ_JAASOT010000010.1	GCF_016113325.1
NZ_AP024200.1	GCF_016756355.1
NZ_AP024201.1	GCF_016756375.1
NZ_CP060160.1	GCF_016804245.1
NZ_QVUS01000003.1	GCF_016808995.1
NZ_JAFEJN010000002.1	GCF_016888225.1
NZ_JACMRY010000002.1	GCF_016904985.1
NZ_JAGFCN010000005.1	GCF_017581425.1
NZ_JAGFCF010000009.1	GCF_017581565.1
NZ_JAGGIM010000001.1	GCF_017655165.1
JADGST010000001.1	GCF_017695405.1
JADGYC010000002.1	GCF_017699955.1
JADGYF010000001.1	GCF_017700075.1
NZ_JAESLN010000001.1	GCF_017892645.1
NZ_JAESML010000031.1	GCF_017893125.1
JAEVJE010000004.1	GCF_018914905.1
JAEVLD010000001.1	GCF_018918625.1
