scaffold	representative	dereplication_status
DADJKP010000001.1	GCF_000144955.2	redundant
DAEGIZ010000004.1	GCF_000144955.2	redundant
DAMKIU010000001.1	GCF_000144955.2	redundant
NZ_OFUT01000048.1	GCF_000144955.2	redundant
NZ_JAZGPH010000001.1	GCF_000144955.2	redundant
DANEFL010000001.1	GCF_000144955.2	redundant
DAKZKY010000001.1	GCF_000144955.2	redundant
DAKZOR010000001.1	GCF_000144955.2	redundant
DAKZRZ010000001.1	GCF_000144955.2	redundant
DADJHL010000028.1	GCF_000144955.2	redundant
NZ_VRQE01000143.1	GCF_000144955.2	redundant
DADOYG010000001.1	GCF_000144955.2	redundant
DANEFH010000001.1	GCF_000144955.2	redundant
DAKZKS010000002.1	GCF_000144955.2	redundant
DANEIS010000001.1	GCF_000144955.2	redundant
DAKZOJ010000001.1	GCF_000144955.2	redundant
DAKZRU010000001.1	GCF_000144955.2	redundant
DACMOO010000001.1	GCF_000144955.2	redundant
NZ_VRQA01000002.1	GCF_000144955.2	redundant
DADOUF010000012.1	GCF_000144955.2	redundant
DANEFA010000003.1	GCF_000144955.2	redundant
DAKZKO010000001.1	GCF_000144955.2	redundant
DANEIH010000001.1	GCF_000144955.2	redundant
DAKZOL010000009.1	GCF_000144955.2	redundant
DAKZRQ010000003.1	GCF_000144955.2	redundant
DAQANQ010000001.1	GCF_000144955.2	redundant
NZ_VRPX01000002.1	GCF_000144955.2	redundant
DADOLM010000004.1	GCF_000144955.2	redundant
DANEFB010000001.1	GCF_000144955.2	redundant
DAKZKJ010000001.1	GCF_000144955.2	redundant
DANEID010000001.1	GCF_000144955.2	redundant
DAKZNQ010000003.1	GCF_000144955.2	redundant
DAKZQW010000044.1	GCF_000144955.2	redundant
NZ_VRQK01000024.1	GCF_000144955.2	redundant
NZ_VRQD01000002.1	GCF_000144955.2	redundant
NZ_VRPZ01000002.1	GCF_000144955.2	redundant
NZ_VRPW01000044.1	GCF_000144955.2	redundant
NZ_VRPS01000001.1	GCF_000144955.2	redundant
NZ_VRPP01000003.1	GCF_000144955.2	redundant
NZ_VRPM01000001.1	GCF_000144955.2	redundant
NZ_VRPJ01000001.1	GCF_000144955.2	redundant
NZ_VRQX01000001.1	GCF_000144955.2	redundant
NZ_VRQV01000137.1	GCF_000144955.2	redundant
NZ_VRPT01000001.1	GCF_000144955.2	redundant
NZ_VRQQ01000003.1	GCF_000144955.2	redundant
NZ_VRPO01000002.1	GCF_000144955.2	redundant
NZ_VRQJ01000030.1	GCF_000144955.2	redundant
NZ_VRPL01000001.1	GCF_000144955.2	redundant
NZ_VRQB01000002.1	GCF_000144955.2	redundant
NZ_VRPI01000001.1	GCF_000144955.2	redundant
NZ_VRPY01000001.1	GCF_000144955.2	redundant
NZ_VRQW01000004.1	GCF_000144955.2	redundant
NZ_VRQT01000033.1	GCF_000144955.2	redundant
DADOKP010000070.1	GCF_000144955.2	redundant
DANEEC010000001.1	GCF_000144955.2	redundant
DAKZKK010000001.1	GCF_000144955.2	redundant
DANEIC010000001.1	GCF_000144955.2	redundant
DAKZNP010000002.1	GCF_000144955.2	redundant
DAKZQK010000001.1	GCF_000144955.2	redundant
DADKAU010000001.1	GCF_000144955.2	redundant
DANEEA010000001.1	GCF_000144955.2	redundant
DAKZKB010000001.1	GCF_000144955.2	redundant
DANEHZ010000001.1	GCF_000144955.2	redundant
DAKZNI010000014.1	GCF_000144955.2	redundant
DAKZPY010000001.1	GCF_000144955.2	redundant
DADKAF010000036.1	GCF_000144955.2	redundant
DANEDY010000001.1	GCF_000144955.2	redundant
DAKZIS010000004.1	GCF_000144955.2	redundant
DANEHV010000001.1	GCF_000144955.2	redundant
DAKZMP010000001.1	GCF_000144955.2	redundant
DAKZPU010000002.1	GCF_000144955.2	redundant
DARNGC010000001.1	GCF_000144955.2	redundant
DADJZM010000001.1	GCF_000144955.2	redundant
DAHHQY010000001.1	GCF_000144955.2	redundant
DAMULH010000042.1	GCF_000144955.2	redundant
DANEHH010000001.1	GCF_000144955.2	redundant
DAKZMJ010000001.1	GCF_000144955.2	redundant
DAKZPS010000001.1	GCF_000144955.2	redundant
DALNWO010000001.1	GCF_000144955.2	redundant
DARNGA010000003.1	GCF_000144955.2	redundant
DADJTI010000002.1	GCF_000144955.2	redundant
DANEHF010000001.1	GCF_000144955.2	redundant
DAKZLT010000001.1	GCF_000144955.2	redundant
DANIRL010000001.1	GCF_000144955.2	redundant
DAKZPC010000001.1	GCF_000144955.2	redundant
DADJNK010000056.1	GCF_000144955.2	redundant
DANEHB010000004.1	GCF_000144955.2	redundant
NZ_VRQM01000002.1	GCF_000144955.2	redundant
NZ_VRPR01000001.1	GCF_000144955.2	redundant
DAKZLR010000003.1	GCF_000144955.2	redundant
DANIRA010000001.1	GCF_000144955.2	redundant
DAKZOV010000001.1	GCF_000144955.2	redundant
DAKZSQ010000001.1	GCF_000144955.2	redundant
DADJLQ010000030.1	GCF_000144955.2	redundant
DAEGJM010000001.1	GCF_000144955.2	redundant
DANEFK010000001.1	GCF_000144955.2	redundant
DAKZKX010000001.1	GCF_000144955.2	redundant
DAKZOS010000001.1	GCF_000144955.2	redundant
DAKZSA010000003.1	GCF_000144955.2	redundant
DADJJI010000001.1	GCF_000144955.2	redundant
DAMKDX010000001.1	GCF_000144955.2	redundant
DANEFI010000001.1	GCF_000144955.2	redundant
DAKZKW010000003.1	GCF_000144955.2	redundant
DANEIY010000001.1	GCF_000144955.2	redundant
DAKZOM010000001.1	GCF_000144955.2	redundant
DAKZRV010000001.1	GCF_000144955.2	redundant
DACMOU010000001.1	GCF_000144955.2	redundant
DADOUA010000015.1	GCF_000144955.2	redundant
DAMFFB010000001.1	GCF_000144955.2	redundant
DANEFD010000001.1	GCF_000144955.2	redundant
DAKZKR010000001.1	GCF_000144955.2	redundant
DANEIQ010000006.1	GCF_000144955.2	redundant
DAKZON010000001.1	GCF_000144955.2	redundant
DAKZRS010000002.1	GCF_000144955.2	redundant
DACMNR010000002.1	GCF_000144955.2	redundant
DADOLO010000049.1	GCF_000144955.2	redundant
DANEFE010000002.1	GCF_000144955.2	redundant
DAKZKM010000001.1	GCF_000144955.2	redundant
DANEIF010000001.1	GCF_000144955.2	redundant
DAKZNR010000003.1	GCF_000144955.2	redundant
DAKZRC010000002.1	GCF_000144955.2	redundant
DADOLC010000001.1	GCF_000144955.2	redundant
DANEEX010000001.1	GCF_000144955.2	redundant
DAKZKI010000001.1	GCF_000144955.2	redundant
DANEIG010000001.1	GCF_000144955.2	redundant
DAKZNN010000001.1	GCF_000144955.2	redundant
DAKZQO010000002.1	GCF_000144955.2	redundant
DAPUAQ010000008.1	GCF_000144955.2	redundant
DADKCB010000001.1	GCF_000144955.2	redundant
DANEED010000001.1	GCF_000144955.2	redundant
DAKZKD010000001.1	GCF_000144955.2	redundant
DANEHY010000001.1	GCF_000144955.2	redundant
DAKZNM010000001.1	GCF_000144955.2	redundant
DAKZQG010000003.1	GCF_000144955.2	redundant
DADKAO010000001.1	GCF_000144955.2	redundant
DANEDX010000003.1	GCF_000144955.2	redundant
DAKZIR010000001.1	GCF_000144955.2	redundant
DANEHW010000001.1	GCF_000144955.2	redundant
DAKZMR010000001.1	GCF_000144955.2	redundant
DAKZPW010000001.1	GCF_000144955.2	redundant
DARPRO010000001.1	GCF_000144955.2	redundant
DADJZW010000011.1	GCF_000144955.2	redundant
DAHHYB010000001.1	GCF_000144955.2	redundant
DAMULI010000002.1	GCF_000144955.2	redundant
DAKZIM010000002.1	GCF_000144955.2	redundant
DANEHI010000001.1	GCF_000144955.2	redundant
DAKZMQ010000003.1	GCF_000144955.2	redundant
DAKZPT010000003.1	GCF_000144955.2	redundant
DALNXR010000001.1	GCF_000144955.2	redundant
DARNGE010000002.1	GCF_000144955.2	redundant
DADJUS010000002.1	GCF_000144955.2	redundant
DANEHE010000001.1	GCF_000144955.2	redundant
DAKZMF010000046.1	GCF_000144955.2	redundant
DANIRR010000001.1	GCF_000144955.2	redundant
DAKZPR010000001.1	GCF_000144955.2	redundant
DALNRX010000001.1	GCF_000144955.2	redundant
DADJQZ010000003.1	GCF_000144955.2	redundant
DAMPAQ010000001.1	GCF_000144955.2	redundant
DANEHA010000001.1	GCF_000144955.2	redundant
DAKZLQ010000113.1	GCF_000144955.2	redundant
DANIRD010000001.1	GCF_000144955.2	redundant
DAKZPA010000003.1	GCF_000144955.2	redundant
DAKZSW010000001.1	GCF_000144955.2	redundant
DADJMF010000001.1	GCF_000144955.2	redundant
DAEGSN010000038.1	GCF_000144955.2	redundant
DANEFM010000001.1	GCF_000144955.2	redundant
DAKZLD010000003.1	GCF_000144955.2	redundant
DAKZOT010000001.1	GCF_000144955.2	redundant
DAKZSO010000046.1	GCF_000144955.2	redundant
DADJKI010000023.1	GCF_000144955.2	redundant
DAMKHG010000001.1	GCF_000144955.2	redundant
DANEFJ010000001.1	GCF_000144955.2	redundant
DAKZKV010000001.1	GCF_000144955.2	redundant
DAKZOQ010000001.1	GCF_000144955.2	redundant
DAKZRX010000003.1	GCF_000144955.2	redundant
DADJGJ010000002.1	GCF_000144955.2	redundant
DADOWV010000001.1	GCF_000144955.2	redundant
DANEFG010000001.1	GCF_000144955.2	redundant
DAKZKU010000001.1	GCF_000144955.2	redundant
DANEIR010000003.1	GCF_000144955.2	redundant
DAKZOP010000001.1	GCF_000144955.2	redundant
DAKZRT010000002.1	GCF_000144955.2	redundant
DACMOH010000001.1	GCF_000144955.2	redundant
DADOPC010000011.1	GCF_000144955.2	redundant
DANEEZ010000001.1	GCF_000144955.2	redundant
DAKZKQ010000001.1	GCF_000144955.2	redundant
DANEIE010000001.1	GCF_000144955.2	redundant
DAKZOG010000001.1	GCF_000144955.2	redundant
DAKZRF010000001.1	GCF_000144955.2	redundant
DADOLA010000001.1	GCF_000144955.2	redundant
DANEFC010000003.1	GCF_000144955.2	redundant
DAKZKL010000001.1	GCF_000144955.2	redundant
DANEIB010000001.1	GCF_000144955.2	redundant
DAKZNS010000001.1	GCF_000144955.2	redundant
DAKZQN010000040.1	GCF_000144955.2	redundant
DAPWNI010000003.1	GCF_000144955.2	redundant
NZ_KZ984531.1	GCF_003569945.1	dereplication_representative
JAJAGR010000001.1	GCF_003569945.1	redundant
NZ_BPSG01000001.1	GCF_003569945.1	redundant
NZ_BPSB01000001.1	GCF_003569945.1	redundant
NZ_BPRR01000012.1	GCF_003569945.1	redundant
NZ_BPSC01000001.1	GCF_003569945.1	redundant
NZ_BPRX01000001.1	GCF_003569945.1	redundant
NZ_BPRS01000002.1	GCF_003569945.1	redundant
DAYAFN010000002.1	GCF_003569945.1	redundant
NZ_BPRU01000001.1	GCF_003569945.1	redundant
NZ_FQMS01000001.1	GCF_003569945.1	redundant
NZ_JAVKRQ010000001.1	GCF_003569945.1	redundant
NZ_FQMG01000001.1	GCF_003569945.1	redundant
NZ_FQRW01000001.1	GCF_003569945.1	redundant
NZ_JAVKRM010000001.1	GCF_003569945.1	redundant
NZ_CP051191.1	GCF_014696255.1	dereplication_representative
CP030479.1	GCF_014696255.1	redundant
DALRHE010000002.1	GCF_014696255.1	redundant
JBGIYU010000001.1	GCF_014696255.1	redundant
NZ_JARASB010000005.1	GCF_014696255.1	redundant
DALTEE010000007.1	GCF_014696255.1	redundant
JANEFX010000001.1	GCF_014696255.1	redundant
JAJJGE010000005.1	GCF_014696255.1	redundant
NZ_JAGGIM010000001.1	GCF_014696255.1	redundant
JAMQZZ010000001.1	GCF_014696255.1	redundant
NZ_JAHZTZ010000002.1	GCF_014696255.1	redundant
NZ_JAPDGJ010000001.1	GCF_014696255.1	redundant
JAWMYB010000004.1	GCF_014696255.1	redundant
NZ_JARAPO010000004.1	GCF_014696255.1	redundant
NZ_FQEH01000001.1	GCF_014696255.1	redundant
NZ_PZUH01000012.1	GCF_014696255.1	redundant
NZ_JARAQU010000004.1	GCF_014696255.1	redundant
DALRDE010000002.1	GCF_014696255.1	redundant
NZ_JAKYYE010000010.1	GCF_014696255.1	redundant
NZ_JARARY010000002.1	GCF_014696255.1	redundant
DALTDT010000004.1	GCF_014696255.1	redundant
DAHQMZ010000005.1	GCF_014696255.1	redundant
JAJJHE010000005.1	GCF_014696255.1	redundant
JAMQYY010000001.1	GCF_014696255.1	redundant
NZ_JAHZUB010000002.1	GCF_014696255.1	redundant
NZ_JAOBSO010000001.1	GCF_014696255.1	redundant
NZ_JAKDEU010000005.1	GCF_014696255.1	redundant
NZ_JARAPL010000007.1	GCF_014696255.1	redundant
NZ_JARAQO010000002.1	GCF_014696255.1	redundant
DALRAP010000002.1	GCF_014696255.1	redundant
NZ_JAKYZJ010000009.1	GCF_014696255.1	redundant
NZ_JARARW010000006.1	GCF_014696255.1	redundant
DALTCA010000006.1	GCF_014696255.1	redundant
JARZXT010000011.1	GCF_014696255.1	redundant
NZ_CP075562.1	GCF_014696255.1	redundant
NZ_JBHETY010000001.1	GCF_014696255.1	redundant
NZ_JBHEUB010000015.1	GCF_014696255.1	redundant
NZ_JBEWAU010000007.1	GCF_014696255.1	redundant
NZ_FQIP01000001.1	GCF_014696255.1	redundant
NZ_FQDA01000002.1	GCF_014696255.1	redundant
NZ_CAYAKQ010000001.1	GCF_014696255.1	redundant
NZ_JBJGAI010000006.1	GCF_014696255.1	redundant
NZ_JBHFAQ010000002.1	GCF_014696255.1	redundant
NZ_JBHETE010000001.1	GCF_014696255.1	redundant
NZ_JBHETI010000008.1	GCF_014696255.1	redundant
NZ_FQIS01000001.1	GCF_014696255.1	redundant
NZ_FQDN01000003.1	GCF_014696255.1	redundant
NZ_CAYANN010000002.1	GCF_014696255.1	redundant
NZ_JBHOLS010000001.1	GCF_014696255.1	redundant
NZ_JBHESY010000009.1	GCF_014696255.1	redundant
NZ_JBHETP010000009.1	GCF_014696255.1	redundant
NZ_JBDKWI010000001.1	GCF_014696255.1	redundant
NZ_JAYJLR010000001.1	GCF_014696255.1	redundant
NZ_CAYADL010000001.1	GCF_014696255.1	redundant
JAWMYH010000004.1	GCF_014696255.1	redundant
NZ_JAZGRG010000005.1	GCF_014696255.1	redundant
NZ_JBHESJ010000001.1	GCF_014696255.1	redundant
NZ_JBHETK010000006.1	GCF_014696255.1	redundant
NZ_FQFN01000001.1	GCF_014696255.1	redundant
NZ_CAYAGZ010000001.1	GCF_014696255.1	redundant
JAWMYQ010000001.1	GCF_014696255.1	redundant
NZ_JBHERR010000009.1	GCF_014696255.1	redundant
NZ_OFVG01000049.1	GCF_014696255.1	redundant
NZ_JBHETL010000001.1	GCF_014696255.1	redundant
NZ_FQRQ01000002.1	GCF_014696255.1	redundant
NZ_JBEAMF010000007.1	GCF_014696255.1	redundant
NZ_FQFR01000001.1	GCF_014696255.1	redundant
NZ_CAYAJC010000002.1	GCF_014696255.1	redundant
NZ_CP123123.1	GCF_014696255.1	redundant
NZ_CATOWO010000004.1	GCF_014696255.1	redundant
NZ_JBHERO010000001.1	GCF_014696255.1	redundant
NZ_OFVN01000037.1	GCF_014696255.1	redundant
NZ_JBHEUV010000001.1	GCF_014696255.1	redundant
NZ_JBEAMG010000002.1	GCF_014696255.1	redundant
NZ_FQIN01000001.1	GCF_014696255.1	redundant
NZ_CAYAJO010000003.1	GCF_014696255.1	redundant
NZ_CATOXL010000002.1	GCF_014696255.1	redundant
NZ_JASUAR010000262.1	GCF_014696255.1	redundant
NZ_JBHFCR010000001.1	GCF_014696255.1	redundant
NZ_JAHZUG010000002.1	GCF_014696255.1	redundant
NZ_JAOBSH010000001.1	GCF_014696255.1	redundant
DAOAMN010000005.1	GCF_014696255.1	redundant
NZ_JARAPI010000001.1	GCF_014696255.1	redundant
DAPQKG010000007.1	GCF_014696255.1	redundant
NZ_JARAQM010000001.1	GCF_014696255.1	redundant
DALQSG010000004.1	GCF_014696255.1	redundant
NZ_JALJBJ010000004.1	GCF_014696255.1	redundant
NZ_JARARS010000003.1	GCF_014696255.1	redundant
DALTAE010000006.1	GCF_014696255.1	redundant
NZ_WKGG01000001.1	GCF_014696255.1	redundant
NZ_JARZFQ010000001.1	GCF_014696255.1	redundant
DAMSCE010000004.1	GCF_014696255.1	redundant
DAKYQT010000010.1	GCF_014696255.1	redundant
NZ_JAHZUH010000002.1	GCF_014696255.1	redundant
NZ_JAOBSJ010000001.1	GCF_014696255.1	redundant
NZ_JARAPF010000004.1	GCF_014696255.1	redundant
DAOYSU010000096.1	GCF_014696255.1	redundant
NZ_JARAQK010000001.1	GCF_014696255.1	redundant
NZ_JARARO010000038.1	GCF_014696255.1	redundant
DALSWX010000009.1	GCF_014696255.1	redundant
JARUGV010000004.1	GCF_014696255.1	redundant
JAHPHE010000001.1	GCF_014696255.1	redundant
DAMPSP010000002.1	GCF_014696255.1	redundant
DBAHJG010000004.1	GCF_014696255.1	redundant
NZ_JARAPC010000005.1	GCF_014696255.1	redundant
JAUKBI010000002.1	GCF_014696255.1	redundant
NZ_JARAQI010000001.1	GCF_014696255.1	redundant
JAVUQM010000004.1	GCF_014696255.1	redundant
NZ_CP042008.1	GCF_014696255.1	redundant
NZ_JARARM010000006.1	GCF_014696255.1	redundant
DALSTH010000006.1	GCF_014696255.1	redundant
JARUBX010000005.1	GCF_014696255.1	redundant
JAFJRT010000002.1	GCF_014696255.1	redundant
DAMLLI010000004.1	GCF_014696255.1	redundant
DAKJSP010000006.1	GCF_014696255.1	redundant
NZ_JANVGL010000005.1	GCF_014696255.1	redundant
DANHZY010000005.1	GCF_014696255.1	redundant
NZ_JARAOZ010000008.1	GCF_014696255.1	redundant
JAUKAN010000003.1	GCF_014696255.1	redundant
NZ_JARAQE010000003.1	GCF_014696255.1	redundant
NZ_VDPG01000003.1	GCF_014696255.1	redundant
NZ_JARARK010000007.1	GCF_014696255.1	redundant
DALSPU010000005.1	GCF_014696255.1	redundant
DAYLBJ010000004.1	GCF_014696255.1	redundant
NZ_JARIGG010000004.1	GCF_014696255.1	redundant
DAZLLE010000001.1	GCF_014696255.1	redundant
NZ_JARAPX010000003.1	GCF_014696255.1	redundant
NZ_JANAWG010000001.1	GCF_014696255.1	redundant
NZ_JBBNCT010000004.1	GCF_014696255.1	redundant
NZ_JARAPB010000004.1	GCF_014696255.1	redundant
NZ_JARARD010000005.1	GCF_014696255.1	redundant
NZ_JAHZUI010000002.1	GCF_014696255.1	redundant
NZ_JAOBSN010000005.1	GCF_014696255.1	redundant
NZ_JARAQF010000001.1	GCF_014696255.1	redundant
NZ_JARDYQ010000001.1	GCF_014696255.1	redundant
NZ_JARAPH010000001.1	GCF_014696255.1	redundant
NZ_JARARJ010000006.1	GCF_014696255.1	redundant
NZ_JARAQN010000001.1	GCF_014696255.1	redundant
NZ_JARIGH010000004.1	GCF_014696255.1	redundant
JAEVLD010000001.1	GCF_014696255.1	redundant
JAMRBY010000001.1	GCF_014696255.1	redundant
NZ_JALJCG010000003.1	GCF_014696255.1	redundant
NZ_JARARQ010000007.1	GCF_014696255.1	redundant
NZ_CP051479.1	GCF_014696255.1	redundant
NZ_JAINYG010000019.1	GCF_014696255.1	redundant
NZ_JAPMSV010000001.1	GCF_014696255.1	redundant
NZ_JARZFP010000002.1	GCF_014696255.1	redundant
NZ_JARAPU010000004.1	GCF_014696255.1	redundant
NZ_JAQYUO010000001.1	GCF_014696255.1	redundant
NZ_JARAQZ010000009.1	GCF_014696255.1	redundant
NZ_JAHZUJ010000002.1	GCF_014696255.1	redundant
NZ_JARAQC010000001.1	GCF_014696255.1	redundant
JARDYO010000004.1	GCF_014696255.1	redundant
NZ_JARAPG010000006.1	GCF_014696255.1	redundant
NZ_JARARI010000006.1	GCF_014696255.1	redundant
NZ_JASGBC010000005.1	GCF_014696255.1	redundant
