	Organism	Scaffold	Start	End	Score	STS_Dehydrogenase	STS_E1-like	STS_StsA	STS_YcaO	assembly_file	representative	dereplication_status
15	Staphylococcus lugdunensis IVK84	NZ_JAKRKR010000003.1	238949	241594	3.1767	1	1	0	1	GCF_022569175.1_ASM2256917v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
16	Staphylococcus lugdunensis IVK68	NZ_JAKRKS010000002.1	112012	114657	3.1767	1	1	0	1	GCF_022569195.1_ASM2256919v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
17	Staphylococcus lugdunensis 12-3	NZ_JAKRKV010000002.1	867312	869957	3.1767	1	1	0	1	GCF_022569275.1_ASM2256927v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
18	Staphylococcus lugdunensis acrnr	NZ_JALCXL010000002.1	277203	279848	3.1767	1	1	0	1	GCF_022689365.1_ASM2268936v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
19	Staphylococcus lugdunensis acrnj	NZ_JALCXM010000002.1	277126	279771	3.1767	1	1	0	1	GCF_022689325.1_ASM2268932v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
20	Staphylococcus lugdunensis acrns	NZ_JALCXO010000003.1	165645	168290	3.1767	1	1	0	1	GCF_022689385.1_ASM2268938v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
21	Staphylococcus lugdunensis acrnk	NZ_JALCXS010000002.1	164945	167590	3.1767	1	1	0	1	GCF_022689235.1_ASM2268923v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
22	Staphylococcus lugdunensis acrnt	NZ_JALCXT010000012.1	66928	69573	3.1767	1	1	0	1	GCF_022689255.1_ASM2268925v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
23	Staphylococcus lugdunensis UMB0011	NZ_JASOVY010000004.1	168572	171217	3.1767	1	1	0	1	GCF_030225285.1_ASM3022528v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
24	Staphylococcus lugdunensis JONWP134	NZ_JBBLTQ010000006.1	55086	57731	3.1767	1	1	0	1	GCF_037694975.1_ASM3769497v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
25	Staphylococcus lugdunensis ACS-027-V-Sch2	NZ_KB373323.1	276987	279632	3.1767	1	1	0	1	GCF_000316075.2_Stap_lugd_ACS-027-V-Sch2_V1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
27	Staphylococcus lugdunensis	JAWHHA010000002.1	239526	242171	3.1765	1	1	0	1	GCA_032564755.1_ASM3256475v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
28	Staphylococcus lugdunensis	JAWGAS010000038.1	2415	5543	3.1758	1	1	0	1	GCA_032549705.1_ASM3254970v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
29	Staphylococcus lugdunensis	JAWEBE010000030.1	16484	19612	3.1759	1	1	0	1	GCA_032475195.1_ASM3247519v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
30	Staphylococcus lugdunensis	JAWFMI010000001.1	10895	14023	3.1759	1	1	0	1	GCA_032514405.1_ASM3251440v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
31	Staphylococcus lugdunensis	JAWEJO010000013.1	2414	5542	3.1762	1	1	0	1	GCA_032470755.1_ASM3247075v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
32	Staphylococcus lugdunensis	JAWEKW010000087.1	2565	5693	3.1757	1	1	0	1	GCA_032486635.1_ASM3248663v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
33	Staphylococcus lugdunensis	JAWHHQ010000094.1	2071	5199	3.1757	1	1	0	1	GCA_032564175.1_ASM3256417v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
34	Staphylococcus lugdunensis VISLISI_27	NZ_CP020735.1	3507	6179	3.1767	1	1	0	1	GCF_002096155.1_ASM209615v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
35	Staphylococcus lugdunensis CGMH-SL36	NZ_CP048714.1	79861	82533	3.1767	1	1	0	1	GCF_043550065.1_ASM4355006v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
36	Staphylococcus lugdunensis VISLISI_25	NZ_CP020763.1	3055	6183	3.1763	1	1	0	1	GCF_002096135.1_ASM209613v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
37	Staphylococcus lugdunensis M23590	NZ_GL622352.1	832254	835382	3.1767	1	1	0	1	GCF_000185485.1_ASM18548v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
38	Staphylococcus lugdunensis D2-12	NZ_JAKRKD010000003.1	273801	276929	3.176	1	1	0	1	GCF_022568935.1_ASM2256893v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
39	Staphylococcus lugdunensis D4-9	NZ_JAKRKN010000001.1	176838	179966	3.1763	1	1	0	1	GCF_022569095.1_ASM2256909v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
40	Staphylococcus lugdunensis acrnd	NZ_JALCXD010000003.1	183996	187124	3.1758	1	1	0	1	GCF_022689605.1_ASM2268960v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
41	Staphylococcus lugdunensis JONWP131	NZ_JBBLTT010000002.1	255320	258448	3.1767	1	1	0	1	GCF_037700085.1_ASM3770008v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
42	Staphylococcus lugdunensis UMB8915	NZ_JBCGEO010000002.1	496534	499662	3.1763	1	1	0	1	GCF_038738095.1_ASM3873809v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
43	Staphylococcus lugdunensis VCU150	NZ_JIBS01000001.1	164564	167692	3.1758	1	1	0	1	GCF_000649085.1_gslvcu150v01_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
44	Staphylococcus lugdunensis MJR7738	NZ_KQ957362.1	170089	173217	3.1767	1	1	0	1	GCF_001546615.1_ASM154661v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
45	Staphylococcus lugdunensis NCTC7990	NZ_LS483312.1	53793	56921	3.1767	1	1	0	1	GCF_900474705.1_41236_B02_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
46	Staphylococcus lugdunensis C_33	NZ_CP020768.1	3020	5897	3.147	1	1	0	1	GCF_002096975.1_ASM209697v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
47	Staphylococcus lugdunensis RMLUG2	NZ_CP084434.1	1622242	1625119	3.147	1	1	0	1	GCF_026427455.1_ASM2642745v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
48	Staphylococcus lugdunensis Q-087	NZ_JAHAVD010000003.1	135946	138823	3.147	1	1	0	1	GCF_024104375.1_ASM2410437v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
49	Staphylococcus lugdunensis Q-081	NZ_JAHAVE010000003.1	42472	45349	3.147	1	1	0	1	GCF_024104395.1_ASM2410439v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
50	Staphylococcus lugdunensis Q-058	NZ_JAHAVF010000003.1	135810	138687	3.147	1	1	0	1	GCF_024104435.1_ASM2410443v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
51	Staphylococcus lugdunensis Q-046	NZ_JAHAVG010000004.1	42833	45710	3.1455	1	1	0	1	GCF_024104415.1_ASM2410441v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
52	Staphylococcus lugdunensis Q-026	NZ_JAHAVH010000004.1	127264	130141	3.147	1	1	0	1	GCF_024104455.1_ASM2410445v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
53	Staphylococcus lugdunensis K-015	NZ_JAHAVI010000004.1	30016	32893	3.147	1	1	0	1	GCF_024104475.1_ASM2410447v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
54	Staphylococcus lugdunensis K-060	NZ_JAHAVJ010000004.1	30447	33324	3.147	1	1	0	1	GCF_024104495.1_ASM2410449v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
55	Staphylococcus lugdunensis K-016	NZ_JAHAVK010000003.1	29799	32676	3.147	1	1	0	1	GCF_024104505.1_ASM2410450v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
56	Staphylococcus lugdunensis E1-36	NZ_JAKRKO010000007.1	21487	24364	3.147	1	1	0	1	GCF_022569135.1_ASM2256913v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
57	Staphylococcus lugdunensis P2-40	NZ_JAKRKP010000003.1	133909	136786	3.1455	1	1	0	1	GCF_022569155.1_ASM2256915v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
58	Staphylococcus lugdunensis acrne	NZ_JALCXH010000002.1	331714	334591	3.147	1	1	0	1	GCF_022689465.1_ASM2268946v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
59	Staphylococcus lugdunensis acrnf	NZ_JALCXI010000006.1	134844	137721	3.147	1	1	0	1	GCF_022689425.1_ASM2268942v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
60	Staphylococcus lugdunensis acrny	NZ_JALCXJ010000006.1	51947	54824	3.147	1	1	0	1	GCF_022689445.1_ASM2268944v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
61	Staphylococcus lugdunensis acrng	NZ_JALCXK010000015.1	16668	19545	3.147	1	1	0	1	GCF_022689405.1_ASM2268940v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
62	Staphylococcus lugdunensis acrnh	NZ_JALCXQ010000006.1	134779	137656	3.147	1	1	0	1	GCF_022689285.1_ASM2268928v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
63	Staphylococcus lugdunensis acrnm	NZ_JALCXX010000005.1	51947	54824	3.147	1	1	0	1	GCF_022689165.1_ASM2268916v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
64	Staphylococcus lugdunensis acrnn	NZ_JALCXY010000006.1	134779	137656	3.147	1	1	0	1	GCF_022689125.1_ASM2268912v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
65	Staphylococcus lugdunensis SS167_SL_UNIFESP	NZ_JAHMMV010000001.1	10952	14080	3.1759	1	1	0	1	GCF_020682785.1_ASM2068278v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
66	Staphylococcus lugdunensis B6-3	NZ_JAKRKJ010000001.1	719312	722440	3.1759	1	1	0	1	GCF_022569035.1_ASM2256903v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
67	Staphylococcus lugdunensis acrmz	NZ_JALCXC010000001.1	336781	339909	3.1759	1	1	0	1	GCF_022689545.1_ASM2268954v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
68	Staphylococcus lugdunensis acrnc	NZ_JALCXG010000029.1	15728	18856	3.1759	1	1	0	1	GCF_022689495.1_ASM2268949v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
69	Staphylococcus lugdunensis UMB9083	NZ_JBIPJO010000012.1	154111	157239	3.1758	1	1	0	1	GCF_044003545.1_ASM4400354v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
70	Staphylococcus lugdunensis MSL 259.1	JAMAXP010000002.1	272382	275510	3.1759	1	1	0	1	GCA_023712745.1_ASM2371274v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
71	Staphylococcus lugdunensis FDAARGOS_143	NZ_CP014023.2	1919301	1922429	3.1762	1	1	0	1	GCF_001558815.2_ASM155881v2_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
72	Staphylococcus lugdunensis FDAARGOS_222	NZ_CP020406.2	2269639	2272767	3.1766	1	1	0	1	GCF_002073395.2_ASM207339v2_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
73	Staphylococcus lugdunensis VISLISI_22	NZ_CP020764.1	165862	168990	3.1766	1	1	0	1	GCF_002097035.1_ASM209703v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
74	Staphylococcus lugdunensis SL55	NZ_CP041724.1	228867	231995	3.1762	1	1	0	1	GCF_008728735.1_ASM872873v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
75	Staphylococcus lugdunensis SL118	NZ_CP041726.1	2225959	2229087	3.1766	1	1	0	1	GCF_008728775.1_ASM872877v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
76	Staphylococcus lugdunensis HD104N11	NZ_JACMRY010000002.1	379682	382810	3.1766	1	1	0	1	GCF_016904985.1_ASM1690498v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
77	Staphylococcus lugdunensis P5-13	NZ_JAKRKF010000002.1	164604	167732	3.1766	1	1	0	1	GCF_022568915.1_ASM2256891v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
78	Staphylococcus lugdunensis D2-16	NZ_JAKRKQ010000001.1	164590	167718	3.1766	1	1	0	1	GCF_022569205.1_ASM2256920v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
79	Staphylococcus lugdunensis acrnw	NZ_JALCXN010000002.1	300083	303211	3.1762	1	1	0	1	GCF_022689335.1_ASM2268933v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
80	Staphylococcus lugdunensis UMB1283	NZ_JASOVA010000003.1	143833	146961	3.1766	1	1	0	1	GCF_030224835.1_ASM3022483v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
81	Staphylococcus lugdunensis JONWP143	NZ_JBBLTI010000002.1	300096	303224	3.1762	1	1	0	1	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	dereplication_representative
82	Staphylococcus lugdunensis JONWP133	NZ_JBBLTR010000004.1	42241	45369	3.1762	1	1	0	1	GCF_037695005.1_ASM3769500v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
83	Staphylococcus lugdunensis NCTC12217	NZ_LS483482.1	45338	48466	3.1766	1	1	0	1	GCF_900478255.1_34211_E02_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
84	Staphylococcus lugdunensis NCTC 12217	NZ_PPPV01000016.1	850487	853615	3.1766	1	1	0	1	GCF_002901705.1_ASM290170v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
85	Staphylococcus lugdunensis VCU139	NZ_AHLK01000012.1	16412	19540	3.1757	1	1	0	1	GCF_000247225.1_ASM24722v2_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
86	Staphylococcus lugdunensis JICS135	NZ_AP021848.1	138232	141360	3.1757	1	1	0	1	GCF_011403135.1_ASM1140313v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
87	Staphylococcus lugdunensis FFTB-436668	NZ_CAXOPE010000001.1	540248	543376	3.1757	1	1	0	1	GCF_964211005.1_FFTB_436668.1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
88	Staphylococcus lugdunensis FFTB-32879	NZ_CAXOQZ010000001.1	263910	267038	3.1757	1	1	0	1	GCF_964211535.1_FFTB_32879.1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
89	Staphylococcus lugdunensis FDAARGOS_141	NZ_CP014022.1	1474005	1477133	3.1757	1	1	0	1	GCF_001558775.1_ASM155877v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
90	Staphylococcus lugdunensis K93G	NZ_CP017069.2	45291	48419	3.1757	1	1	0	1	GCF_002250095.2_ASM225009v2_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
91	Staphylococcus lugdunensis VISLISI_21	NZ_CP020762.1	2433	5561	3.1757	1	1	0	1	GCF_002096115.1_ASM209611v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
92	Staphylococcus lugdunensis FDAARGOS_377	NZ_CP023539.1	2044104	2047232	3.1757	1	1	0	1	GCF_002407165.1_ASM240716v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
93	Staphylococcus lugdunensis FDAARGOS_381	NZ_CP023970.1	1480954	1484082	3.1757	1	1	0	1	GCF_002591215.1_ASM259121v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
94	Staphylococcus lugdunensis APC 3758	NZ_CP038807.1	833909	837037	3.1757	1	1	0	1	GCF_009931395.1_ASM993139v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
95	Staphylococcus lugdunensis CGMH-SL131	NZ_CP048007.1	119025	122153	3.1743	1	1	0	1	GCF_023508855.1_ASM2350885v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
96	Staphylococcus lugdunensis CGMH-SL138	NZ_CP048713.1	97552	100680	3.1757	1	1	0	1	GCF_023508875.1_ASM2350887v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
97	Staphylococcus lugdunensis MBAZ2	NZ_CP060160.1	45327	48455	3.1757	1	1	0	1	GCF_016804245.1_ASM1680424v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
98	Staphylococcus lugdunensis IVK28	NZ_CP063143.1	45809	48937	3.1757	1	1	0	1	GCF_014962425.1_ASM1496242v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
99	Staphylococcus lugdunensis IVK28	NZ_JAKRKT010000002.1	264039	267167	3.1757	1	1	0	1	GCF_022569235.1_ASM2256923v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
100	Staphylococcus lugdunensis RMLUG3	NZ_CP084437.1	2112565	2115693	3.1757	1	1	0	1	GCF_026427475.1_ASM2642747v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
101	Staphylococcus lugdunensis RMLUG6	NZ_CP084444.1	905672	908800	3.1757	1	1	0	1	GCF_026427535.1_ASM2642753v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
102	Staphylococcus lugdunensis RMLUG1	NZ_CP084480.1	905654	908782	3.1743	1	1	0	1	GCF_026427435.1_ASM2642743v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
103	Staphylococcus lugdunensis E1-10	NZ_JAKEZL010000001.1	825669	828797	3.1757	1	1	0	1	GCF_022660955.1_ASM2266095v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
104	Staphylococcus lugdunensis P6-7	NZ_JAKRKE010000003.1	108709	111837	3.1757	1	1	0	1	GCF_022568985.1_ASM2256898v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
105	Staphylococcus lugdunensis B6-6	NZ_JAKRKI010000001.1	176558	179686	3.1757	1	1	0	1	GCF_022569015.1_ASM2256901v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
106	Staphylococcus lugdunensis 14-2	NZ_JAKRKU010000001.1	264039	267167	3.1757	1	1	0	1	GCF_022569245.1_ASM2256924v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
107	Staphylococcus lugdunensis acrnb	NZ_JALCXE010000017.1	57090	60218	3.1757	1	1	0	1	GCF_022689525.1_ASM2268952v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
108	Staphylococcus lugdunensis acrna	NZ_JALCXF010000004.1	57184	60312	3.1757	1	1	0	1	GCF_022689485.1_ASM2268948v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
109	Staphylococcus lugdunensis acrnp	NZ_JALCXP010000002.1	264173	267301	3.1757	1	1	0	1	GCF_022689305.1_ASM2268930v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
110	Staphylococcus lugdunensis acrnu	NZ_JALCXR010000002.1	264173	267301	3.1757	1	1	0	1	GCF_022689225.1_ASM2268922v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
111	Staphylococcus lugdunensis acrnv	NZ_JALCXU010000001.1	108787	111915	3.1757	1	1	0	1	GCF_022689205.1_ASM2268920v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
112	Staphylococcus lugdunensis acrnq	NZ_JALCXV010000001.1	786730	789858	3.1757	1	1	0	1	GCF_022689145.1_ASM2268914v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
113	Staphylococcus lugdunensis acrnx	NZ_JALCXW010000003.1	264173	267301	3.1757	1	1	0	1	GCF_022689185.1_ASM2268918v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
114	Staphylococcus lugdunensis p3-SID102	NZ_JALXXQ010000002.1	264207	267335	3.1757	1	1	0	1	GCF_025152445.1_ASM2515244v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
115	Staphylococcus lugdunensis UMB9348	NZ_JASOFG010000002.1	321658	324786	3.1757	1	1	0	1	GCF_030212975.1_ASM3021297v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
116	Staphylococcus lugdunensis UMB1187B	NZ_JASOVG010000003.1	2543	5671	3.1757	1	1	0	1	GCF_030225045.1_ASM3022504v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
117	Staphylococcus lugdunensis UMB10323	NZ_JASOZB010000001.1	108787	111915	3.1757	1	1	0	1	GCF_030228685.1_ASM3022868v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
118	Staphylococcus lugdunensis JONWP132	NZ_JBBLTS010000002.1	208983	212111	3.1757	1	1	0	1	GCF_037700005.1_ASM3770000v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
119	Staphylococcus lugdunensis UMB7308	NZ_JBCGEP010000002.1	108710	111838	3.1757	1	1	0	1	GCF_038738135.1_ASM3873813v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
120	Staphylococcus lugdunensis UMB1735	NZ_JBCGEQ010000001.1	108710	111838	3.1757	1	1	0	1	GCF_038738185.1_ASM3873818v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
121	Staphylococcus lugdunensis UMB5747	NZ_JBCGER010000002.1	108710	111838	3.1757	1	1	0	1	GCF_038738265.1_ASM3873826v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
