Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43
GCF_047150065.1	NZ_AP027090.1	2744870	2751367	9511.0000	1	1	0	1	0	1	1
GCF_016908015.1	NZ_JAFBDB010000002.1	599421	607004	9565.0000	1	1	0	1	0	1	1
GCF_002051585.1	NZ_MZGX01000020.1	10349	18459	10343.0000	1	1	0	1	1	1	1
GCF_047456265.2	NZ_CP173187.2	2740151	2744353	6605.0000	1	1	0	1	0	0	0
GCF_014284495.1	NZ_WJBE01000008.1	87059	91357	6570.0000	1	1	0	1	0	0	0
GCF_049200475.1	NZ_CP113903.1	3009706	3014189	6627.0000	1	1	0	1	0	0	0
GCF_046603775.1	NZ_CP176625.1	3466586	3470808	6692.0000	1	1	0	1	0	0	0
GCF_018332455.1	NZ_BOPZ01000008.1	44701	51714	9545.0000	1	1	0	1	0	1	1
GCF_900113635.1	NZ_FOQA01000001.1	58996	65961	10674.0000	1	1	0	1	1	1	1
GCF_018390735.1	NZ_JAHBCL010000024.1	43636	50752	14999.0000	1	1	1	1	1	1	1
GCF_001042715.1	NZ_CP009687.1	1790987	1798651	11310.0000	1	1	0	1	1	1	1
GCF_016906045.1	NZ_CP070235.1	2933123	2937987	5934.0000	0	1	0	1	0	1	0
GCF_002896855.1	NZ_CP021850.1	1708364	1718559	9623.0000	1	1	0	1	0	1	1
GCF_900111985.1	NZ_FOKI01000002.1	141121	148284	9486.0000	1	1	0	1	0	1	1
GCF_000389635.1	NC_021182.1	2343623	2350770	9450.0000	1	1	0	1	0	1	1
GCF_000364165.2	NZ_CP097810.1	1403400	1406973	5121.0000	0	0	0	1	0	1	1
GCF_900461105.1	NZ_UFWZ01000001.1	1897408	1904322	9527.0000	1	1	0	1	0	1	1
GCF_900205925.1	NZ_OAOD01000003.1	60143	67674	9505.0000	1	1	0	1	0	1	1
GCF_020176155.1	NZ_JAIRAZ010000035.1	5575	12485	9461.0000	1	1	0	1	0	1	1
GCF_014284395.1	NZ_WJBB01000011.1	83652	87827	6642.0000	1	1	0	1	0	0	0
GCF_022834975.1	NZ_BQNK01000001.1	1171699	1176472	6028.0000	0	1	0	1	0	1	0
GCF_030166575.1	NZ_CP126462.1	1779990	1787472	11693.0000	1	1	0	1	1	1	1
GCF_003435515.1	NZ_QVME01000001.1	327244	332055	6195.0000	1	1	0	1	0	0	0
GCF_003047205.1	NZ_CP028491.1	2282911	2297684	7907.0000	1	1	0	1	0	1	1
GCF_020443705.1	NZ_JAIZZK010000001.1	402724	409734	9520.0000	1	1	0	1	0	1	1
GCF_018861735.1	NZ_JAHLEB010000009.1	45301	52206	9429.0000	1	1	0	1	0	1	1
GCF_039414295.1	NZ_JBCITM010000002.1	8556	15564	10609.0000	1	1	0	1	1	1	1
GCF_011065905.2	NZ_JAAMNG020000001.1	2111783	2118661	9420.0000	1	1	0	1	0	1	1
GCF_011065935.2	NZ_JAAMNH020000001.1	3037593	3044519	9537.0000	1	1	0	1	0	1	1
GCF_026650965.1	NZ_CP086237.1	4457510	4464406	9451.0000	1	1	0	1	0	1	1
GCF_039545435.1	NZ_BRPJ01000046.1	21987	26755	5952.0000	0	1	0	1	0	1	0
GCF_900205965.1	NZ_OAOF01000003.1	401680	406404	5944.0000	0	1	0	1	0	1	0
GCF_026155355.1	NZ_JAJUXF010000001.1	856673	861147	5087.0000	0	0	0	1	0	1	1
GCF_900103835.1	NZ_FNID01000019.1	22067	26967	6253.0000	1	1	0	1	0	0	0
GCF_000981035.1	NZ_LAYJ01000101.1	74274	86076	7037.0000	1	1	0	1	1	0	0
GCF_042846325.1	NZ_BAABZG010000001.1	2210185	2221081	6258.0000	1	1	0	1	0	0	0
GCF_026735165.1	NZ_JAPQES010000002.1	172809	179713	9452.0000	1	1	0	1	0	1	1
GCF_900188145.1	NZ_FZOJ01000008.1	59838	67445	11287.0000	1	1	0	1	1	1	1
GCF_000732635.1	NZ_JPMD01000035.1	79335	86173	8169.0000	1	1	0	1	0	1	0
GCF_026735135.1	NZ_JAPQER010000002.1	74677	81524	9525.0000	1	1	0	1	0	1	1
GCF_000018325.1	NC_009922.1	1819042	1824364	8160.0000	1	1	0	1	1	0	0
GCF_030812885.1	NZ_JAUSTO010000001.1	44280	49201	5877.0000	0	1	0	1	0	1	0
GCF_002934545.1	NZ_PTJA01000001.1	684800	689568	5979.0000	0	1	0	1	0	1	0
GCF_900100845.1	NZ_FNFP01000002.1	447265	454799	11295.0000	1	1	0	1	1	1	1
GCF_000022065.1	NC_011898.1	616871	624663	10429.0000	1	1	0	1	1	1	1
GCF_001262605.1	NZ_LGTC01000001.1	793877	802891	9657.0000	1	1	0	1	0	1	1
GCF_000019065.1	NC_010320.1	1489001	1496313	10924.0000	1	1	0	1	1	1	1
GCF_000169255.2	NZ_AAXG02000012.1	158845	168475	6278.0000	1	1	0	1	0	0	0
GCF_020736365.1	NZ_CP085988.1	3385709	3390627	6003.0000	0	1	0	1	0	1	0
GCF_025146005.1	NZ_CP102254.1	995138	1003100	5906.0000	0	1	0	1	0	1	0
GCF_900107485.1	NZ_FNQE01000022.1	24382	31911	11084.0000	1	1	0	1	1	1	1
GCF_900111615.1	NZ_FOHU01000001.1	430839	438363	11213.0000	1	1	0	1	1	1	1
GCF_000016505.1	NC_009706.1	3198323	3205324	9391.0000	1	1	0	1	0	1	1
GCF_014218335.1	NZ_AP023367.1	1231730	1239141	5819.0000	0	1	0	1	0	1	0
GCF_000020005.1	NC_010718.1	1852974	1858849	6242.0000	1	1	0	1	0	0	0
GCF_016901815.1	NZ_JACSNR010000007.1	10409	15196	6216.0000	1	1	0	1	0	0	0
GCF_900110045.1	NZ_FOCG01000001.1	784840	790374	6229.0000	1	1	0	1	0	0	0
GCF_000018425.1	NC_010424.1	1417436	1434038	6386.0000	0	1	0	2	0	1	1
GCF_000179595.2	NZ_JH556651.1	121017	125484	5068.0000	0	0	0	1	0	1	1
GCF_001562415.1	NZ_LOEE01000019.1	10128	27962	12042.0000	1	1	1	1	1	1	1
GCF_000145275.1	NC_014393.1	2478182	2485341	9248.0000	1	1	0	1	0	1	1
GCF_000025645.1	NC_013921.1	1062801	1070115	10952.0000	1	1	0	1	1	1	1
GCF_902387945.1	NZ_LR699010.1	1921565	1927585	5819.0000	0	1	0	1	0	1	0
GCF_008086585.1	NZ_RXYD01000001.1	284141	293238	10137.0000	1	1	0	1	0	1	1
GCF_042845895.1	NZ_BAABYN010000001.1	2990959	2997730	5937.0000	0	1	0	1	0	1	0
GCF_002724055.1	NZ_BDQY01000002.1	57404	65369	11144.0000	1	1	0	1	1	1	1
GCF_014202115.1	NZ_JACHFW010000009.1	128875	135783	6069.0000	0	1	0	1	0	1	0
GCF_004342165.1	NZ_SMAL01000001.1	69686	76900	6091.0000	0	1	0	1	0	1	0
GCF_000213255.1	NC_015520.1	958050	963860	7911.0000	0	1	0	1	0	1	1
GCF_000237085.1	NC_016627.1	2438094	2442626	5196.0000	0	0	0	1	0	1	1
GCF_005886215.1	NZ_CP040506.1	4444085	4448800	6014.0000	0	1	0	1	0	1	0
GCF_002216005.1	NZ_NIQC01000018.1	34583	40402	6337.0000	1	1	0	1	0	0	0
GCF_000242235.1	NZ_JH590863.1	529466	534352	5704.0000	0	1	0	1	0	1	0
GCF_000189775.2	NC_015555.1	1478768	1489465	9900.0000	1	1	0	1	0	1	1
GCF_038396635.1	NZ_CP121687.1	1183831	1193135	9521.0000	1	1	0	1	0	1	1
GCF_001440545.1	NZ_LKHP01000003.1	230763	237237	10101.0000	1	1	0	1	0	1	1
GCF_000247605.1	NC_016894.1	1518939	1523141	6561.0000	1	1	0	1	0	0	0
GCF_000308275.2	NZ_HG529490.1	556686	569230	4737.0000	1	1	0	1	0	0	0
GCF_000430995.1	NZ_HF952018.1	1188859	1196543	10943.0000	1	1	0	1	1	1	1
GCF_016908355.1	NZ_JAFBDT010000006.1	77753	84673	12821.0000	1	1	1	1	1	1	1
GCF_001748365.1	NZ_BDHH01000005.1	4494	8565	7626.0000	0	0	0	1	1	1	1
GCF_017874425.1	NZ_JAGGLL010000001.1	249803	256912	9645.0000	1	1	0	1	0	1	1
GCF_000307585.2	NC_017992.1	1754452	1761295	9865.0000	1	1	0	1	0	1	1
GCF_042848345.1	NZ_BAABZE010000001.1	5323325	5328070	6004.0000	0	1	0	1	0	1	0
GCF_004364155.1	NZ_SOAZ01000034.1	964	7442	7849.0000	1	1	0	1	1	0	0
GCF_900128885.1	NZ_FQTU01000001.1	17798	24171	9827.0000	1	1	0	1	0	1	1
GCF_900142275.1	NZ_FRAI01000005.1	531714	544077	8299.0000	0	1	0	1	1	1	1
GCF_900142955.1	NZ_FRCP01000014.1	143100	157240	5965.0000	0	1	0	1	0	1	0
GCF_900129075.1	NZ_FQVH01000002.1	52369	59136	9971.0000	1	1	0	1	0	1	1
GCF_001758365.1	NZ_LZFO01000032.1	12223	19052	9601.0000	1	1	0	1	0	1	1
GCF_900176305.1	NZ_FWXH01000003.1	161024	167882	9572.0000	1	1	0	1	0	1	1
GCF_000686725.1	NZ_KK366008.1	171196	178008	9427.0000	1	1	0	1	0	1	1
GCF_900142075.1	NZ_FQZO01000001.1	696581	703347	9583.0000	1	1	0	1	0	1	1
GCF_900142245.1	NZ_FRAG01000001.1	202027	206243	6955.0000	0	0	0	1	1	1	1
GCF_900141845.1	NZ_FQZB01000003.1	39027	45792	9510.0000	1	1	0	1	0	1	1
GCF_000621505.1	NZ_JHYD01000009.1	183433	191372	10353.0000	1	1	0	1	1	1	1
GCF_001593985.1	NZ_LTBB01000001.1	43309	50138	9556.0000	1	1	0	1	0	1	1
GCF_900130005.1	NZ_FQXP01000013.1	42091	49599	9469.0000	1	1	0	1	0	1	1
GCF_001047375.1	NZ_LFVU01000027.1	16189	24634	9963.0000	1	1	0	1	0	1	1
GCF_900129965.1	NZ_FQXM01000004.1	228634	235367	9331.0000	1	1	0	1	0	1	1
GCF_001263795.1	NZ_LHUR01000011.1	217545	224381	9621.0000	1	1	0	1	0	1	1
GCF_000686705.1	NZ_KK366004.1	561293	568429	9430.0000	1	1	0	1	0	1	1
GCF_000699585.2	NZ_JJMM01000005.1	106596	113442	11225.0000	1	1	0	1	1	1	1
GCF_001623875.1	NZ_LWAE01000001.1	832539	839731	9489.0000	1	1	0	1	0	1	1
GCF_900142225.1	NZ_FRAD01000012.1	56835	63848	8112.0000	1	1	0	1	0	1	0
GCF_000383295.1	NZ_KB911066.1	118835	123746	6322.0000	1	1	0	1	0	0	0
GCF_003208175.1	NZ_QKMR01000014.1	19947	28092	10370.0000	1	1	0	1	1	1	1
GCF_001594005.1	NZ_LTBA01000001.1	392462	399332	9606.0000	1	1	0	1	0	1	1
GCF_900167305.1	NZ_FUWV01000001.1	267188	274389	10226.0000	1	1	0	1	0	1	1
GCF_900142145.1	NZ_FQZV01000003.1	26074	33619	11575.0000	1	1	0	1	1	1	1
GCF_900176335.1	NZ_FWXW01000010.1	6030	10995	6243.0000	1	1	0	1	0	0	0
GCF_900167605.1	NZ_FUYH01000004.1	4724	12268	9938.0000	1	1	0	1	0	1	1
GCF_018141425.1	NZ_CP058561.1	4799268	4806533	6001.0000	0	1	0	1	0	1	0
GCF_000577895.1	NZ_HG917868.1	2207497	2214792	9238.0000	1	1	0	1	0	1	1
GCF_018917145.1	NZ_JAHLOD010000004.1	52006	58958	9248.0000	1	1	0	1	0	1	1
GCF_000300195.1	NZ_AMQH01000006.1	374099	381023	9612.0000	1	1	0	1	0	1	1
GCF_040267685.1	NZ_CP158367.1	851769	863553	10046.0000	1	1	0	1	1	1	1
GCF_001940315.1	NZ_MJIF01000001.1	852509	861039	5921.0000	0	1	0	1	0	1	0
GCF_001940245.1	NZ_MJIG01000003.1	270073	276885	5940.0000	0	1	0	1	0	1	0
GCF_964246085.1	NZ_CAXTPD010000001.1	156446	161134	5885.0000	0	1	0	1	0	1	0
GCF_000526495.1	NZ_JAGE01000001.1	3481939	3489673	10431.0000	1	1	0	1	1	1	1
GCF_001311925.1	NZ_BBCG01000019.1	17620	21498	4922.0000	0	0	0	1	0	1	1
GCF_003337415.1	NZ_QPJT01000016.1	48305	56489	9589.0000	1	1	0	1	0	1	1
GCF_003752155.1	NZ_RJVG01000011.1	6339	17527	5174.0000	0	1	0	1	0	1	0
GCF_000421965.1	NZ_ATAY01000011.1	6298	14002	10281.0000	1	1	0	1	1	1	1
GCF_001697285.1	NZ_CP014673.1	2436851	2440592	5079.0000	0	0	0	1	0	1	1
GCF_001403635.1	NZ_LN879468.1	1056127	1062808	8173.0000	1	1	0	1	0	1	0
GCF_018141445.1	NZ_CP058649.1	3813729	3822702	6109.0000	0	1	0	1	0	1	0
GCF_023656515.1	NZ_JAMOFV010000006.1	2229296	2236204	9595.0000	1	1	0	1	0	1	1
GCF_030131965.1	NZ_JASKYN010000007.1	21045	35390	7876.0000	1	1	0	1	1	0	0
GCF_044502415.1	NZ_CP172402.1	1941133	1947968	7617.0000	1	1	0	1	0	0	1
GCF_000621485.1	NZ_JHYF01000001.1	58893	66471	11304.0000	1	1	0	1	1	1	1
GCF_000619945.1	NZ_JHVC01000018.1	3568	10697	9524.0000	1	1	0	1	0	1	1
GCF_015554605.1	NZ_JADNIV010000001.1	299120	304021	6291.0000	1	1	0	1	0	0	0
GCF_014205875.1	NZ_JACHEN010000004.1	71404	78943	11599.0000	1	1	0	1	1	1	1
GCF_001750685.1	NZ_CP017269.1	5667732	5675251	11615.0000	1	1	0	1	1	1	1
GCF_000724385.2	NZ_JENO01000007.1	50374	57215	9469.0000	1	1	0	1	0	1	1
GCF_009765695.1	NZ_WSLF01000005.1	52914	62411	9535.0000	1	1	0	1	0	1	1
GCF_002029235.1	NZ_MZGV01000008.1	62285	69336	9521.0000	1	1	0	1	0	1	1
GCF_048568315.1	NZ_CP183811.1	277729	283428	7946.0000	1	1	0	1	1	0	0
GCF_902374755.1	NZ_CABKRL010000001.1	762143	769229	9405.0000	1	1	0	1	0	1	1
GCF_902377545.1	NZ_CABLCB010000083.1	376971	383904	9399.0000	1	1	0	1	0	1	1
GCF_017874415.1	NZ_JAGGLM010000005.1	67277	74140	9395.0000	1	1	0	1	0	1	1
GCF_002270055.1	NZ_NIBG01000001.1	41833	53998	11490.0000	1	1	0	1	1	1	1
GCF_029914245.1	NZ_JARYZI010000001.1	646386	653452	12734.0000	1	1	1	1	1	1	1
GCF_045038935.1	NZ_CP171113.1	889552	896584	9316.0000	1	1	0	1	0	1	1
GCF_902375375.1	NZ_CABKTN010000007.1	926951	933826	9628.0000	1	1	0	1	0	1	1
GCF_022440865.1	NZ_JAKNTP010000001.1	476261	482163	7854.0000	1	1	0	1	1	0	0
GCF_000709435.1	NZ_CP008713.1	935677	944256	9281.0000	1	1	0	1	0	1	1
GCF_000806225.2	NZ_JOOI01000001.1	354271	361608	10845.0000	1	1	0	1	1	1	1
GCF_000744935.1	NZ_JQMW01000009.1	1092501	1097146	6529.0000	1	1	0	1	0	0	0
GCF_006714885.1	NZ_VFMF01000001.1	361555	366367	6279.0000	1	1	0	1	0	0	0
GCF_900205865.1	NZ_LT906662.1	67392	74775	10773.0000	1	1	0	1	1	1	1
GCF_024345225.1	NZ_BROD01000001.1	1375321	1382172	9423.0000	1	1	0	1	0	1	1
GCF_026012015.1	NZ_BRXR01000001.1	41554	48471	9505.0000	1	1	0	1	0	1	1
GCF_001282685.1	NZ_LN875035.1	3188052	3191702	5337.0000	0	0	0	1	0	1	1
GCF_001282725.1	NZ_LN876587.1	888085	895588	11595.0000	1	1	0	1	1	1	1
GCF_021043395.1	NZ_JAJNKE010000001.1	249387	256776	9533.0000	1	1	0	1	0	1	1
GCF_900199635.1	NZ_LT962687.1	1490995	1496056	6214.0000	1	1	0	1	0	0	0
GCF_022132365.1	NZ_JAKNJB010000022.1	33772	38756	6268.0000	1	1	0	1	0	0	0
GCF_900626285.1	NZ_LR131147.1	33945	44374	6254.0000	1	1	0	1	0	0	0
GCF_001299475.1	NZ_CYUJ01000002.1	774043	778018	6730.0000	1	1	0	1	0	0	0
GCF_002969215.1	NZ_NEMB01000003.1	3000213	3004653	5020.0000	0	0	0	1	0	1	1
GCF_017874545.1	NZ_JAGGLT010000024.1	25541	32384	9922.0000	1	1	0	1	0	1	1
GCF_006351925.1	NZ_CP040924.1	1662211	1669073	9506.0000	1	1	0	1	0	1	1
GCF_900078395.1	NZ_FKLA01000009.1	1860070	1864784	6240.0000	1	1	0	1	0	0	0
GCF_900626135.1	NZ_LR130785.1	1547702	1555023	11174.0000	1	1	0	1	1	1	1
GCF_045310695.1	NZ_JBJIAA010000012.1	93382	100556	9550.0000	1	1	0	1	0	1	1
GCF_018141405.1	NZ_CP058648.1	2755756	2765846	10448.0000	1	1	0	1	0	1	1
GCF_001559865.1	NZ_LOHE01000068.1	83311	94359	12085.0000	1	1	0	2	1	1	1
GCF_900106845.1	NZ_LT629850.1	151086	159770	7899.0000	1	1	0	1	1	0	0
GCF_900095445.1	NZ_FMJL01000002.1	121865	128823	9622.0000	1	1	0	1	0	1	1
GCF_002252565.1	NZ_NPML01000007.1	276849	289721	6561.0000	1	1	0	1	0	0	0
GCF_004216775.1	NZ_SGXF01000001.1	1027093	1033963	5930.0000	0	1	0	1	0	1	0
GCF_900155545.1	NZ_LT732526.1	2845968	2850720	5954.0000	0	1	0	1	0	1	0
GCF_902376185.1	NZ_CABKWO010000005.1	1115119	1121623	9413.0000	1	1	0	1	0	1	1
GCF_040515995.1	NZ_CP159485.1	2060243	2072285	10126.0000	1	1	0	1	1	1	1
GCF_001655775.1	NZ_LXFF01000014.1	17687	24127	9292.0000	1	1	0	1	0	1	1
GCF_902386815.1	NZ_CABMKD010000012.1	1599551	1605064	6218.0000	1	1	0	1	0	0	0
GCF_900199405.1	NZ_LT963430.1	1899529	1907258	8318.0000	1	1	0	1	0	1	0
GCF_021531375.1	NZ_JADYTU010000007.1	64823	69927	6250.0000	1	1	0	1	0	0	0
GCF_021531815.1	NZ_JADYUM010000003.1	55199	60282	6220.0000	1	1	0	1	0	0	0
GCF_030372275.1	NZ_JAUDDJ010000002.1	5270	10063	6193.0000	1	1	0	1	0	0	0
GCF_900104675.1	NZ_LT629945.1	2223999	2228866	6258.0000	1	1	0	1	0	0	0
GCF_900167505.1	NZ_FUYD01000002.1	164119	171057	9465.0000	1	1	0	1	0	1	1
GCF_900095725.1	NZ_FMMP01000006.1	335960	339737	5166.0000	0	0	0	1	0	1	1
GCF_902386895.1	NZ_CABMKL010000001.1	2240290	2244987	5951.0000	0	1	0	1	0	1	0
GCF_900186535.1	NZ_FYDE01000005.1	1921900	1926615	6138.0000	1	1	0	1	0	0	0
GCF_902386975.1	NZ_CABMKM010000004.1	597220	602040	6291.0000	1	1	0	1	0	0	0
GCF_024622825.1	NZ_JANKAH010000011.1	46759	53845	9486.0000	1	1	0	1	0	1	1
GCF_902143515.1	NZ_CABFVD010000001.1	114358	121386	9521.0000	1	1	0	1	0	1	1
GCF_002161215.1	NZ_NFMB01000007.1	234145	244427	6312.0000	1	1	0	1	0	0	0
GCF_002161175.1	NZ_NFMA01000005.1	42490	47389	6226.0000	1	1	0	1	0	0	0
GCF_002161065.1	NZ_NFLV01000003.1	187260	193346	5882.0000	0	1	0	1	0	1	0
GCF_002161085.1	NZ_NFLU01000008.1	23861	37995	6641.0000	1	1	1	1	0	0	0
GCF_002161055.1	NZ_NFLT01000005.1	89842	93387	5261.0000	0	0	0	1	0	1	1
GCF_002159465.1	NZ_NFIR01000007.1	2644	8839	5876.0000	0	1	0	1	0	1	0
GCF_002159175.1	NZ_NFGZ01000003.1	187253	195884	6231.0000	1	1	0	1	0	0	0
GCF_002874775.1	NZ_CP020991.1	2609584	2614848	5140.0000	0	0	0	1	0	1	1
GCF_900185645.1	NZ_FYAM01000024.1	178275	185601	9554.0000	1	1	0	1	0	1	1
GCF_004345705.1	NZ_SLWV01000001.1	74936	82410	11662.0000	1	1	0	1	1	1	1
GCF_002250835.2	NZ_NOJY02000003.1	54947	63695	7925.0000	1	1	0	1	1	0	0
GCF_900626095.1	NZ_UYZZ01000002.1	278797	285916	7720.0000	1	1	0	1	0	0	1
GCF_900240385.1	NZ_OEQH01000003.1	382811	387853	6306.0000	1	1	0	1	0	0	0
GCF_002796935.1	NZ_PETE01000002.1	3921231	3928539	9602.0000	1	1	0	1	0	1	1
GCF_002899675.1	NZ_PKUU01000024.1	78223	82920	5899.0000	0	1	0	1	0	1	0
GCF_003600355.1	NZ_CP032416.1	963496	970397	9491.0000	1	1	0	1	0	1	1
GCF_002964605.1	NZ_PQDH01000001.1	223422	231090	7495.0000	0	1	0	1	0	1	1
GCF_900604345.1	NZ_LR026983.1	86905	99548	6035.0000	0	1	0	1	0	1	0
GCF_003024715.1	NZ_PYLO01000004.1	243048	247787	6018.0000	0	1	0	1	0	1	0
GCF_900538275.1	NZ_LR130778.1	3074665	3081344	5956.0000	0	1	0	1	0	1	0
GCF_003477935.1	NZ_QUEH01000004.1	36282	40970	5921.0000	0	1	0	1	0	1	0
GCF_003478505.1	NZ_QUFI01000007.1	117309	121997	5878.0000	0	1	0	1	0	1	0
GCF_003463065.1	NZ_QSCM01000004.1	152538	166007	6081.0000	1	0	0	1	0	1	0
GCF_003480105.1	NZ_QUIK01000001.1	111368	116056	5913.0000	0	1	0	1	0	1	0
GCF_009935845.1	NZ_QWEK01000015.1	70644	75922	6205.0000	1	1	0	1	0	0	0
GCF_003435225.1	NZ_QWGJ01000001.1	164526	169504	5945.0000	0	1	0	1	0	1	0
GCF_004015185.1	NZ_CP025746.1	2193163	2199965	9436.0000	1	1	0	1	0	1	1
GCF_964238185.1	NZ_CAXSLG010000003.1	94100	98820	5984.0000	0	1	0	1	0	1	0
GCF_900626075.1	NZ_UYZY01000004.1	500079	504846	5933.0000	0	1	0	1	0	1	0
GCF_003718715.1	NZ_CP033465.1	2012669	2019681	9430.0000	1	1	0	1	0	1	1
GCF_004102745.1	NZ_RLII01000004.1	99124	103584	5136.0000	0	0	0	1	0	1	1
GCF_005473905.2	NZ_CP061336.1	2630868	2639200	10406.0000	1	1	0	1	1	1	1
GCF_004138105.1	NZ_RXHQ01000004.1	115366	122370	9793.0000	1	1	0	1	0	1	1
GCF_004138215.1	NZ_RYYS01000042.1	4792	11755	10686.0000	1	1	0	1	0	1	1
GCF_004103695.1	NZ_CP035280.1	852020	858861	9607.0000	1	1	0	1	0	1	1
GCF_004134775.1	NZ_SDOZ01000003.1	234085	242035	8988.0000	1	1	0	1	1	1	1
GCF_009910325.1	NZ_SUMG01000014.1	9602	16102	10680.0000	1	1	0	1	1	1	1
GCF_006016075.1	NZ_CP040093.1	616298	623137	9967.0000	1	1	0	1	0	1	1
GCF_014303955.1	NZ_CP060286.1	550054	554812	6307.0000	1	1	0	1	0	0	0
GCF_008152325.1	NZ_CP042243.1	1379749	1387241	11775.0000	1	1	0	1	1	1	1
GCF_009696145.1	NZ_VUMO01000001.1	187883	192110	6623.0000	1	1	0	1	0	0	0
GCF_009696045.1	NZ_VUMT01000028.1	2839	21282	8639.0000	0	1	0	4	0	1	0
GCF_008274215.1	NZ_VTPS01000001.1	192334	198746	8696.0000	0	1	0	1	1	1	1
GCF_009696465.1	NZ_VULX01000001.1	5531	12427	9431.0000	1	1	0	1	0	1	1
GCF_009362815.1	NZ_WHNX01000002.1	204663	213214	9815.0000	1	1	0	1	0	1	1
GCF_010179735.1	NZ_JAAEEH010000017.1	18012	24380	5903.0000	0	1	0	1	0	1	0
GCF_014050525.1	NZ_JACGAG010000005.1	52397	59273	9425.0000	1	1	0	1	0	1	1
GCF_012926525.1	NZ_JABBNI010000001.1	112639	119768	9432.0000	1	1	0	1	0	1	1
GCF_011065955.2	NZ_JAAMNI020000001.1	3186023	3192951	9453.0000	1	1	0	1	0	1	1
GCF_014467015.1	NZ_CP058559.1	2764531	2783262	10057.0000	1	1	0	1	1	1	1
GCF_022539405.1	NZ_CP054394.1	1661750	1667083	6213.0000	1	1	0	1	0	0	0
