db_id	query	scaff	strand	coords	db	crossref_id	crossref_method	name	taxon_name	taxon_id	evalue	score	seqid	qcov	tcov
WP_068554843.1	ctg16_38	NZ_LOEE01000019.1	-	24393..25511	local	WP_068554843.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_001562415.1	520762	3.413e-62	2547	79.7	98.7	99.7
WP_068554849.1	ctg16_37	NZ_LOEE01000019.1	-	26937..27962	local	WP_068554849.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_001562415.1	520762	1.694e-51	2120	65.9	100.0	100.0
WP_338534790.1	ctg16_43	NZ_AP028654.1	-	1680102..1680989	local	WP_338534790.1	local	protein translocase subunit SecF	GCF_033097505.1	3065157	3.147e-31	1444	62.6	98.3	99.0
WP_338534791.1	ctg16_42	NZ_AP028654.1	-	1680990..1682297	local	WP_338534791.1	local	protein translocase subunit SecD	GCF_033097505.1	3065157	8.455e-45	2272	65.8	100.0	99.5
WP_463671014.1	ctg16_41	NZ_AP028654.1	-	1682392..1682904	local	WP_463671014.1	local	gamma carbonic anhydrase family protein	GCF_033097505.1	3065157	7.487e-18	873	50.0	99.4	96.5
WP_338534793.1	ctg16_40	NZ_AP028654.1	-	1682897..1684255	local	WP_338534793.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_033097505.1	3065157	6.678e-59	2573	64.2	96.3	99.1
WP_338534796.1	ctg16_38	NZ_AP028654.1	-	1685007..1686140	local	WP_338534796.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_033097505.1	3065157	1.46e-61	2522	77.7	98.1	97.89999999999999
WP_338534797.1	ctg16_37	NZ_AP028654.1	-	1686163..1687185	local	WP_338534797.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_033097505.1	3065157	3.406e-51	2108	66.1	100.0	100.0
WP_148809219.1	ctg16_37	NZ_CP042243.1	+	1379749..1380774	local	WP_148809219.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_008152325.1	2599308	8.207e-53	2172	65.6	100.0	100.0
WP_148809220.1	ctg16_38	NZ_CP042243.1	+	1380807..1381925	local	WP_148809220.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_008152325.1	2599308	1.347e-62	2563	81.9	98.7	99.7
WP_148809224.1	ctg16_40	NZ_CP042243.1	+	1383123..1384472	local	WP_148809224.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_008152325.1	2599308	3.316e-60	2628	67.2	96.8	100.0
WP_148809225.1	ctg16_41	NZ_CP042243.1	+	1384484..1384996	local	WP_148809225.1	local	gamma carbonic anhydrase family protein	GCF_008152325.1	2599308	8.767e-18	870	51.8	99.4	96.5
WP_168198267.1	ctg16_42	NZ_CP042243.1	+	1385081..1386343	local	WP_168198267.1	local	protein translocase subunit SecD	GCF_008152325.1	2599308	1.699e-41	2112	55.2	99.5	100.0
WP_168198268.1	ctg16_43	NZ_CP042243.1	+	1386360..1387241	local	WP_168198268.1	local	protein translocase subunit SecF	GCF_008152325.1	2599308	6.623e-31	1430	58.2	98.6	99.7
WP_139380309.1	ctg16_43	NZ_FUZT01000005.1	-	261103..261966	local	WP_139380309.1	local	protein translocase subunit SecF	GCF_900167445.1	36842	3.629e-30	1398	60.3	95.89999999999999	99.3
WP_139380310.1	ctg16_42	NZ_FUZT01000005.1	-	262008..263312	local	WP_139380310.1	local	protein translocase subunit SecD	GCF_900167445.1	36842	5.071e-41	2089	53.0	99.1	99.5
WP_079491881.1	ctg16_41	NZ_FUZT01000005.1	-	263332..263838	local	WP_079491881.1	local	gamma carbonic anhydrase family protein	GCF_900167445.1	36842	9.608e-19	912	53.3	100.0	98.2
WP_079491883.1	ctg16_40	NZ_FUZT01000005.1	-	263856..265211	local	WP_079491883.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_900167445.1	36842	7.189e-61	2656	68.0	97.0	99.8
WP_079491888.1	ctg16_38	NZ_FUZT01000005.1	-	266486..267604	local	WP_079491888.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_900167445.1	36842	4.064e-62	2544	77.3	98.7	99.7
WP_079491890.1	ctg16_37	NZ_FUZT01000005.1	-	267614..268639	local	WP_079491890.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_900167445.1	36842	3.131e-52	2149	66.2	100.0	100.0
WP_284552262.1	ctg16_37	NZ_CP126462.1	+	1779990..1781012	local	WP_284552262.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_030166575.1	166485	3.827e-51	2106	66.3	99.7	99.7
WP_284553628.1	ctg16_38	NZ_CP126462.1	+	1781021..1782142	local	WP_284553628.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_030166575.1	166485	2.705e-62	2551	79.2	98.7	99.5
WP_284552264.1	ctg16_40	NZ_CP126462.1	+	1783329..1784684	local	WP_284552264.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_030166575.1	166485	1.044e-59	2607	67.7	97.0	99.8
WP_284552265.1	ctg16_41	NZ_CP126462.1	+	1784715..1785215	local	WP_284552265.1	local	gamma carbonic anhydrase family protein	GCF_030166575.1	166485	5.179e-18	880	54.5	100.0	99.4
WP_284552266.1	ctg16_42	NZ_CP126462.1	+	1785260..1786513	local	WP_284552266.1	local	protein translocase subunit SecD	GCF_030166575.1	166485	1.108e-41	2121	55.0	99.5	100.0
WP_284552267.1	ctg16_43	NZ_CP126462.1	+	1786591..1787472	local	WP_284552267.1	local	protein translocase subunit SecF	GCF_030166575.1	166485	7.366e-31	1428	58.8	97.0	98.0
WP_243116516.1	ctg16_43	NZ_SLWV01000001.1	-	74936..75817	local	WP_243116516.1	local	protein translocase subunit SecF	GCF_004345705.1	2018667	2.372e-30	1406	56.1	98.6	99.7
WP_243116517.1	ctg16_42	NZ_SLWV01000001.1	-	75836..77098	local	WP_243116517.1	local	protein translocase subunit SecD	GCF_004345705.1	2018667	6.432e-41	2084	53.3	99.5	100.0
WP_132241557.1	ctg16_41	NZ_SLWV01000001.1	-	77187..77693	local	WP_132241557.1	local	gamma carbonic anhydrase family protein	GCF_004345705.1	2018667	8.318e-18	871	53.6	99.4	97.6
WP_132241559.1	ctg16_40	NZ_SLWV01000001.1	-	77704..79056	local	WP_132241559.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_004345705.1	2018667	7.866e-59	2570	66.4	97.0	100.0
WP_132241567.1	ctg16_38	NZ_SLWV01000001.1	-	80233..81351	local	WP_132241567.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_004345705.1	2018667	8.459e-63	2571	82.1	98.1	99.2
WP_132241569.1	ctg16_37	NZ_SLWV01000001.1	-	81385..82410	local	WP_132241569.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_004345705.1	2018667	1.65e-52	2160	66.8	100.0	100.0
WP_218282625.1	ctg16_37	NZ_CP078093.1	+	2373195..2374220	local	WP_218282625.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_019203185.1	2855394	2.138e-51	2116	63.9	100.0	100.0
WP_218282626.1	ctg16_38	NZ_CP078093.1	+	2374251..2375369	local	WP_218282626.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_019203185.1	2855394	2.144e-62	2555	79.7	98.7	99.7
WP_218282630.1	ctg16_40	NZ_CP078093.1	+	2376513..2377862	local	WP_218282630.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_019203185.1	2855394	1.229e-59	2604	67.2	96.8	100.0
WP_218282631.1	ctg16_41	NZ_CP078093.1	+	2377874..2378377	local	WP_218282631.1	local	gamma carbonic anhydrase family protein	GCF_019203185.1	2855394	2.036e-17	854	54.8	99.4	98.2
WP_218282632.1	ctg16_42	NZ_CP078093.1	+	2378471..2379733	local	WP_218282632.1	local	protein translocase subunit SecD	GCF_019203185.1	2855394	1.474e-41	2115	53.5	99.5	100.0
WP_218282633.1	ctg16_43	NZ_CP078093.1	+	2379750..2380631	local	WP_218282633.1	local	protein translocase subunit SecF	GCF_019203185.1	2855394	3.441e-30	1399	56.5	98.6	99.7
WP_069981124.1	ctg16_37	NZ_CP017269.1	+	5667732..5668757	local	WP_069981124.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_001750685.1	1424294	1.091e-50	2088	64.4	99.7	99.7
WP_069981125.1	ctg16_38	NZ_CP017269.1	+	5668780..5669898	local	WP_069981125.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_001750685.1	1424294	1.067e-62	2567	79.5	98.7	99.7
WP_069981129.1	ctg16_40	NZ_CP017269.1	+	5671114..5672475	local	WP_069981129.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_001750685.1	1424294	1.42e-57	2517	61.1	97.6	100.0
WP_069981130.1	ctg16_41	NZ_CP017269.1	+	5672476..5672979	local	WP_069981130.1	local	gamma carbonic anhydrase family protein	GCF_001750685.1	1424294	1.336e-17	862	51.8	99.4	98.2
WP_069981131.1	ctg16_42	NZ_CP017269.1	+	5673094..5674353	local	WP_069981131.1	local	protein translocase subunit SecD	GCF_001750685.1	1424294	2.662e-42	2151	56.7	99.5	100.0
WP_069981132.1	ctg16_43	NZ_CP017269.1	+	5674370..5675251	local	WP_069981132.1	local	protein translocase subunit SecF	GCF_001750685.1	1424294	6.623e-31	1430	61.8	98.3	99.3
WP_184308595.1	ctg16_43	NZ_JACHEN010000004.1	-	71404..72285	local	WP_184308595.1	local	protein translocase subunit SecF	GCF_014205875.1	1417629	1.232e-29	1375	56.7	97.0	98.0
WP_184308597.1	ctg16_42	NZ_JACHEN010000004.1	-	72302..73561	local	WP_184308597.1	local	protein translocase subunit SecD	GCF_014205875.1	1417629	5.071e-41	2089	56.3	99.5	100.0
WP_184308598.1	ctg16_41	NZ_JACHEN010000004.1	-	73640..74146	local	WP_184308598.1	local	gamma carbonic anhydrase family protein	GCF_014205875.1	1417629	3.446e-17	844	53.3	99.4	97.6
WP_184308600.1	ctg16_40	NZ_JACHEN010000004.1	-	74143..75507	local	WP_184308600.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_014205875.1	1417629	1.371e-59	2602	64.5	97.8	100.0
WP_184308608.1	ctg16_38	NZ_JACHEN010000004.1	-	76766..77884	local	WP_184308608.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_014205875.1	1417629	7.531e-63	2573	82.4	98.7	99.7
WP_184308610.1	ctg16_37	NZ_JACHEN010000004.1	-	77918..78943	local	WP_184308610.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_014205875.1	1417629	2.138e-51	2116	65.6	100.0	100.0
WP_053957010.1	ctg16_37	NZ_LN876587.1	+	888085..889110	local	WP_053957010.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_001282725.1	1658111	1.234e-52	2165	65.6	100.0	100.0
WP_053957011.1	ctg16_38	NZ_LN876587.1	+	889127..890245	local	WP_053957011.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_001282725.1	1658111	4.463e-63	2582	83.4	98.1	99.2
WP_053957014.1	ctg16_40	NZ_LN876587.1	+	891491..892840	local	WP_053957014.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_001282725.1	1658111	1.784e-58	2555	63.9	96.8	100.0
WP_053957015.1	ctg16_41	NZ_LN876587.1	+	892853..893368	local	WP_053957015.1	local	gamma carbonic anhydrase family protein	GCF_001282725.1	1658111	1.141e-17	865	53.6	99.4	95.89999999999999
WP_053957016.1	ctg16_42	NZ_LN876587.1	+	893434..894690	local	WP_053957016.1	local	protein translocase subunit SecD	GCF_001282725.1	1658111	6.007e-40	2037	52.4	99.1	99.5
WP_053957017.1	ctg16_43	NZ_LN876587.1	+	894707..895588	local	WP_053957017.1	local	protein translocase subunit SecF	GCF_001282725.1	1658111	5.264e-30	1391	55.3	97.6	98.6
WP_110939353.1	ctg16_37	NZ_FQZV01000003.1	+	26074..27099	local	WP_110939353.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_900142145.1	1121919	8.647e-51	2092	63.8	99.7	99.7
WP_110939354.1	ctg16_38	NZ_FQZV01000003.1	+	27121..28239	local	WP_110939354.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_900142145.1	1121919	3.221e-62	2548	77.8	98.7	99.7
WP_110939357.1	ctg16_40	NZ_FQZV01000003.1	+	29481..30842	local	WP_110939357.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_900142145.1	1121919	5.266e-57	2493	61.5	97.6	100.0
WP_110939358.1	ctg16_41	NZ_FQZV01000003.1	+	30844..31347	local	WP_110939358.1	local	gamma carbonic anhydrase family protein	GCF_900142145.1	1121919	8.318e-18	871	50.6	99.4	98.2
WP_190013991.1	ctg16_42	NZ_FQZV01000003.1	+	31462..32721	local	WP_190013991.1	local	protein translocase subunit SecD	GCF_900142145.1	1121919	3.54e-42	2145	56.6	99.5	100.0
WP_190013993.1	ctg16_43	NZ_FQZV01000003.1	+	32738..33619	local	WP_190013993.1	local	protein translocase subunit SecF	GCF_900142145.1	1121919	8.192e-31	1426	60.4	98.3	99.3
WP_095129769.1	ctg16_37	NZ_NIBG01000001.1	+	41833..42858	local	WP_095129769.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_002270055.1	1478221	3.518e-52	2147	65.9	100.0	100.0
WP_095129771.1	ctg16_38	NZ_NIBG01000001.1	+	42886..44004	local	WP_095129771.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_002270055.1	1478221	3.491e-61	2507	77.4	99.2	100.0
WP_095129784.1	ctg16_40	NZ_NIBG01000001.1	+	49949..51298	local	WP_095129784.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_002270055.1	1478221	1.034e-58	2565	66.3	96.8	100.0
WP_095129786.1	ctg16_41	NZ_NIBG01000001.1	+	51311..51823	local	WP_095129786.1	local	gamma carbonic anhydrase family protein	GCF_002270055.1	1478221	1.832e-17	856	53.6	99.4	96.5
WP_095129788.1	ctg16_42	NZ_NIBG01000001.1	+	51852..53099	local	WP_095129788.1	local	protein translocase subunit SecD	GCF_002270055.1	1478221	3.916e-40	2046	51.6	99.1	99.5
WP_095129790.1	ctg16_43	NZ_NIBG01000001.1	+	53117..53998	local	WP_095129790.1	local	protein translocase subunit SecF	GCF_002270055.1	1478221	1.695e-29	1369	56.4	97.6	98.6
WP_243118975.1	ctg16_43	NZ_JALNQL010000002.1	-	460179..461054	local	WP_243118975.1	local	protein translocase subunit SecF	GCF_023161605.1	2929473	2.884e-29	1359	56.7	97.6	99.3
WP_243118976.1	ctg16_42	NZ_JALNQL010000002.1	-	461065..462375	local	WP_243118976.1	local	protein translocase subunit SecD	GCF_023161605.1	2929473	1.745e-40	2063	52.9	99.1	99.3
WP_129488377.1	ctg16_41	NZ_JALNQL010000002.1	-	462383..462892	local	WP_129488377.1	local	gamma carbonic anhydrase family protein	GCF_023161605.1	2929473	8.001e-17	828	53.9	100.0	97.6
WP_129488378.1	ctg16_40	NZ_JALNQL010000002.1	-	462889..464253	local	WP_129488378.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_023161605.1	2929473	8.607e-57	2484	58.5	97.8	100.0
WP_129488381.1	ctg16_38	NZ_JALNQL010000002.1	-	464842..465960	local	WP_129488381.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_023161605.1	2929473	1.952e-61	2517	78.7	98.7	99.7
WP_129488382.1	ctg16_37	NZ_JALNQL010000002.1	-	465970..466992	local	WP_129488382.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_023161605.1	2929473	1.098e-52	2167	68.6	99.4	99.4
WP_070969417.1	ctg16_37	NZ_CP017603.1	+	3131769..3132794	local	WP_070969417.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_001854185.1	1497	6.85e-51	2096	66.1	99.7	99.7
WP_070969420.1	ctg16_38	NZ_CP017603.1	+	3132811..3133929	local	WP_070969420.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_001854185.1	1497	5.127e-62	2540	78.4	98.7	99.7
WP_156778815.1	ctg16_40	NZ_CP017603.1	+	3135194..3136549	local	WP_156778815.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_001854185.1	1497	1.407e-56	2475	62.2	97.0	99.8
WP_070969435.1	ctg16_41	NZ_CP017603.1	+	3136552..3137055	local	WP_070969435.1	local	gamma carbonic anhydrase family protein	GCF_001854185.1	1497	1.832e-17	856	53.9	100.0	98.8
WP_070969438.1	ctg16_42	NZ_CP017603.1	+	3137254..3138492	local	WP_070969438.1	local	protein translocase subunit SecD	GCF_001854185.1	1497	3.171e-39	2002	51.1	99.5	100.0
WP_070969440.1	ctg16_43	NZ_CP017603.1	+	3138506..3139393	local	WP_070969440.1	local	protein translocase subunit SecF	GCF_001854185.1	1497	4.907e-29	1349	55.2	96.6	96.89999999999999
WP_044823896.1	ctg16_37	NZ_CP009687.1	+	1790987..1792012	local	WP_044823896.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_001042715.1	84022	1.091e-50	2088	65.0	99.7	99.7
WP_044823897.1	ctg16_38	NZ_CP009687.1	+	1792029..1793147	local	WP_044823897.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_001042715.1	84022	2.272e-62	2554	79.1	98.1	99.2
WP_144414747.1	ctg16_40	NZ_CP009687.1	+	1794438..1795793	local	WP_144414747.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_001042715.1	84022	9.09e-57	2483	61.8	97.0	99.8
WP_044823901.1	ctg16_41	NZ_CP009687.1	+	1795796..1796299	local	WP_044823901.1	local	gamma carbonic anhydrase family protein	GCF_001042715.1	84022	1.141e-17	865	53.0	99.4	98.2
WP_044823902.1	ctg16_42	NZ_CP009687.1	+	1796512..1797750	local	WP_044823902.1	local	protein translocase subunit SecD	GCF_001042715.1	84022	2.123e-38	1962	51.1	99.5	100.0
WP_044823903.1	ctg16_43	NZ_CP009687.1	+	1797764..1798651	local	WP_044823903.1	local	protein translocase subunit SecF	GCF_001042715.1	84022	3.041e-29	1358	55.7	97.6	98.0
WP_026475750.1	ctg16_37	NZ_JHYF01000001.1	+	58893..59918	local	WP_026475750.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_000621485.1	1408422	8.647e-51	2092	63.8	99.7	99.7
WP_026475751.1	ctg16_38	NZ_JHYF01000001.1	+	59932..61050	local	WP_026475751.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_000621485.1	1408422	5.759e-62	2538	80.4	98.1	99.2
WP_026475754.1	ctg16_40	NZ_JHYF01000001.1	+	62338..63696	local	WP_026475754.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_000621485.1	1408422	1.6e-58	2557	60.6	97.39999999999999	100.0
WP_026475755.1	ctg16_41	NZ_JHYF01000001.1	+	63696..64199	local	WP_026475755.1	local	gamma carbonic anhydrase family protein	GCF_000621485.1	1408422	6.481e-17	832	50.6	99.4	98.2
WP_026475756.1	ctg16_42	NZ_JHYF01000001.1	+	64305..65561	local	WP_026475756.1	local	protein translocase subunit SecD	GCF_000621485.1	1408422	2.449e-38	1959	50.1	99.5	100.0
WP_026475757.1	ctg16_43	NZ_JHYF01000001.1	+	65575..66471	local	WP_026475757.1	local	protein translocase subunit SecF	GCF_000621485.1	1408422	1.666e-28	1326	54.7	95.89999999999999	95.6
WP_176762097.1	ctg16_43	NZ_FNFP01000002.1	-	447265..448146	local	WP_176762097.1	local	protein translocase subunit SecF	GCF_900100845.1	393762	1.58e-28	1327	53.7	98.6	99.7
WP_176762098.1	ctg16_42	NZ_FNFP01000002.1	-	448160..449398	local	WP_176762098.1	local	protein translocase subunit SecD	GCF_900100845.1	393762	5.35e-39	1991	51.1	99.5	100.0
WP_090553069.1	ctg16_41	NZ_FNFP01000002.1	-	449502..450005	local	WP_090553069.1	local	gamma carbonic anhydrase family protein	GCF_900100845.1	393762	3.059e-18	890	55.4	99.4	98.2
WP_090553072.1	ctg16_40	NZ_FNFP01000002.1	-	450008..451363	local	WP_090553072.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_900100845.1	393762	1.569e-56	2473	62.3	97.2	100.0
WP_090553291.1	ctg16_38	NZ_FNFP01000002.1	-	452639..453757	local	WP_090553291.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_900100845.1	393762	2.069e-61	2516	77.5	98.1	99.2
