Organism                                                           Scaffold              Start     End       Score    SCO5086  SCO5087  SCO5088  SCO5089
Streptomyces coelicolor A3(2) CFB_NBC_0001                         NZ_CP042324.1         5529045   5532820   7.2426   1        1        1        1      
Streptomyces coelicolor A3(2) ICSSB 1010                           NZ_VNID01000008.1     238119    241894    7.2426   1        1        1        1      
Streptomyces coelicolor A3(2) ICSSB 1010                           VNID01000008.1        238119    241894    4.1487   1        0        1        1      
Streptomyces coelicolor A3(2)                                      AL645882.2            5528934   5532709   7.2426   1        1        1        1      
Streptomyces violaceoruber CGMCC 4.1801                            NZ_CP137734.1         3015845   3019620   7.2426   1        1        1        1      
Streptomyces violaceoruber NRRL S-12                               NZ_JOCE01000030.1     77912     81687     7.2426   1        1        1        1      
Streptomyces violaceoruber JCM 4423                                BAABGV010000013.1     41554     45329     4.1487   1        0        1        1      
Streptomyces violaceoruber JCM 4423                                JBHTEW010000002.1     3029134   3032909   7.2426   1        1        1        1      
Streptomyces sp. ISBFB 2968                                        NZ_JAJSYZ010000040.1  2888      6663      7.2426   1        1        1        1      
Streptomyces sp. NRRL_B-16638                                      NZ_JARAWB010000040.1  18540     22315     7.2426   1        1        1        1      
Streptomyces sp. ME03-5684b                                        NZ_JARAXO010000008.1  120160    123935    7.2425   1        1        1        1      
Streptomyces sp. ME02-6979A                                        NZ_JARAXW010000008.1  120313    124088    7.2426   1        1        1        1      
Streptomyces sp. ME02-6977A                                        NZ_JARAYD010000057.1  2953      6728      7.2426   1        1        1        1      
Streptomyces sp. ME01-18h                                          NZ_JARAYG010000007.1  189669    193444    7.2426   1        1        1        1      
Streptomyces sp. NPDC059906                                        NZ_JBHWKU010000017.1  55        3830      7.2374   1        1        1        1      
Streptomyces sp. NPDC059906                                        NZ_JBHWKU010000054.1  13333     17238     6.1431   1        1        1        1      
Streptomyces sp. NPDC059906                                        NZ_JBHWKU010000010.1  34960     38552     6.1419   1        1        1        1      
Streptomyces sp. WM6391                                            NZ_JXWX01000036.1     18554     22329     7.2423   1        1        1        1      
Streptomyces sp. 2114.2                                            NZ_LT629768.1         5649887   5653662   7.2425   1        1        1        1      
Streptomyces sp. 2114.2                                            LT629768.1            5649887   5653662   4.1486   1        0        1        1      
Streptomyces sp. 111WW2                                            NZ_MUYY01000046.1     18560     22335     7.2426   1        1        1        1      
Streptomyces sp. 111WW2                                            MUYY01000046.1        18560     22335     4.1487   1        0        1        1      
Streptomyces sp. 2221.1                                            NZ_QUNN01000001.1     5647413   5651188   7.2425   1        1        1        1      
Streptomyces sp. 2221.1                                            QUNN01000001.1        5647413   5651188   4.1486   1        0        1        1      
Streptomyces sp. LRa12                                             NZ_SSBN01000027.1     49644     53419     7.2424   1        1        1        1      
Streptomyces sp. SID7813                                           NZ_WWHF01000001.1     5528934   5532709   7.2426   1        1        1        1      
Streptomyces sp. RK76                                              NZ_JAGPYG010000003.1  170051    173826    7.2422   1        1        1        1      
Streptomyces sp. RK76                                              JAGPYG010000003.1     170051    173826    4.1485   1        0        1        1      
Streptomyces sp. ME02-6987-2C                                      NZ_JARAXU010000113.1  18740     22515     7.2423   1        1        1        1      
Streptomyces sp. ME02-6985-2c                                      NZ_JARAXV010000006.1  120056    123831    7.2423   1        1        1        1      
Streptomyces sp. NPDC127039                                        NZ_JBHXDR010000049.1  61067     64842     7.2377   1        1        1        1      
Streptomyces sp. NPDC127039                                        NZ_JBHXDR010000107.1  10224     14130     6.1432   1        1        1        1      
Streptomyces sp. RB13                                              NZ_JAMQUP010000001.1  2968470   2972245   7.2421   1        1        1        1      
Streptomyces sp. NPDC021969                                        NZ_JBFACC010000003.1  354360    358144    7.2363   1        1        1        1      
Streptomyces sp. NPDC021086                                        NZ_JBIRQL010000001.1  1023110   1026894   7.2363   1        1        1        1      
Streptomyces sp. NPDC001599                                        NZ_JBIAVA010000002.1  784102    787886    7.2362   1        1        1        1      
Streptomyces sp. R28                                               NZ_CP163439.1         6840189   6843994   7.2202   1        1        1        1      
Streptomyces sp. NPDC060223                                        NZ_JBHXAA010000336.1  5235      9037      7.2165   1        1        1        1      
Streptomyces sp. NPDC127595                                        NZ_JBHXWK010000008.1  351841    355643    7.2165   1        1        1        1      
Streptomyces sp. MMG1533                                           NZ_LGDG01000213.1     162276    166048    7.2185   1        1        1        1      
Streptomyces sp. MMG1533                                           LGDG01000213.1        162276    166048    4.1334   1        0        1        1      
Streptomyces sp. AS02                                              NZ_JAMJVZ010000048.1  19060     22836     7.2215   1        1        1        1      
Streptomyces sp. AS02                                              JAMJVZ010000048.1     19060     22836     4.1359   1        0        1        1      
Streptomyces sp. NPDC057740                                        NZ_JBHVJV010000024.1  98283     102074    7.2205   1        1        1        1      
Streptomyces sp. NPDC008086                                        NZ_JBIBIA010000010.1  47421     51212     7.2206   1        1        1        1      
Streptomyces sp. NPDC052727                                        NZ_JBFATK010000009.1  28907     32684     7.2225   1        1        1        1      
Streptomyces sp. NPDC052721                                        NZ_JBFATL010000054.1  17231     21008     7.2227   1        1        1        1      
Streptomyces sp. NPDC004065                                        NZ_JBJDQT010000020.1  143287    147126    7.2154   1        1        1        1      
Streptomyces sp. WAC 01325                                         NZ_QHKK01000050.1     30059     34224     7.1678   1        1        1        1      
Streptomyces sp. NPDC088921                                        NZ_JBFBHU010000001.1  556539    561022    7.1686   1        1        1        1      
Streptomyces sp. NPDC088921                                        NZ_JBFBHU010000058.1  11099     14737     6.1429   1        1        1        1      
Streptomyces sp. NPDC088921                                        NZ_JBFBHU010000048.1  30130     33731     6.1469   1        1        1        1      
Streptomyces sp. NPDC050481                                        NZ_JBITHS010000008.1  150756    155239    7.1686   1        1        1        1      
Streptomyces sp. NPDC050481                                        NZ_JBITHS010000033.1  75942     79580     6.1429   1        1        1        1      
Streptomyces sp. NPDC050481                                        NZ_JBITHS010000046.1  23502     27103     6.1469   1        1        1        1      
Streptomyces sp. NPDC093568                                        NZ_JBIWJD010000030.1  156       4321      7.1685   1        1        1        1      
Streptomyces sp. NPDC091972                                        NZ_JBIVSV010000004.1  620743    625629    7.1693   1        1        1        1      
Streptomyces sp. NPDC093990                                        NZ_JBFBDF010000003.1  218132    223069    7.1692   1        1        1        1      
Streptomyces sp. NPDC086033                                        NZ_JBITRW010000002.1  628246    632714    7.1677   1        1        1        1      
Streptomyces sp. NPDC048193                                        NZ_JBEZMN010000015.1  75930     92614     6.1618   1        1        1        1      
Streptomyces sp. NPDC048219                                        NZ_JBIDAB010000028.1  66498     83182     6.1620   1        1        1        1      
Streptomyces sp. NPDC048185                                        NZ_JBIDAN010000002.1  286347    303031    6.1618   1        1        1        1      
Streptomyces sp. Y7                                                NZ_JBIDDQ010000011.1  98075     102240    7.1679   1        1        1        1      
Streptomyces sp. Root369                                           NZ_LMDL01000031.1     38360     42631     7.1687   1        1        1        1      
Streptomyces sp. NPDC102476                                        NZ_JBIWJW010000002.1  341563    346396    7.1685   1        1        1        1      
Streptomyces sp. NPDC102476                                        NZ_JBIWJW010000012.1  280406    284007    6.1467   1        1        1        1      
Streptomyces sp. 12257                                             NZ_JASCSJ010000021.1  356       3958      5.1510   1        1        1        0      
Streptomyces sp. NPDC102405                                        NZ_JBIWKQ010000016.1  41119     45476     7.1680   1        1        1        1      
Streptomyces sp. SAI-041                                           NZ_JARXYO010000001.1  6421749   6426500   7.1687   1        1        1        1      
Streptomyces sp. SAI-041                                           JARXYO010000001.1     6423722   6426500   5.1300   0        1        1        1      
Streptomyces sp. SAI-144                                           NZ_JARXYK010000001.1  2530706   2534975   7.1684   1        1        1        1      
Streptomyces sp. SAI-144                                           NZ_JARXYK010000001.1  4077049   4080700   6.1444   1        1        1        1      
Streptomyces sp. SID5464                                           NZ_WWIQ01000009.1     9456      25960     6.1581   1        1        1        1      
Streptomyces sp. SID5464                                           WWIQ01000009.1        10754     25960     4.0968   1        0        1        1      
Streptomyces sp. SAI-090                                           NZ_JARXYL010000001.1  6401046   6406122   7.1686   1        1        1        1      
Streptomyces sp. SAI-090                                           JARXYL010000001.1     6403344   6406122   5.1300   0        1        1        1      
Streptomyces sp. SAI-133                                           NZ_JARXYN010000002.1  2696713   2701575   7.1683   1        1        1        1      
Streptomyces sp. SAI-133                                           JARXYN010000002.1     2696713   2699491   5.1297   0        1        1        1      
Streptomyces sp. SAI-135                                           NZ_JARXYP010000002.1  2881558   2886634   7.1686   1        1        1        1      
Streptomyces sp. SAI-135                                           JARXYP010000002.1     2881558   2884336   5.1300   0        1        1        1      
Streptomyces sp. SAI-208                                           NZ_JARXYQ010000002.1  6588909   6593986   7.1684   1        1        1        1      
Streptomyces sp. SAI-208                                           JARXYQ010000002.1     6591208   6593986   5.1298   0        1        1        1      
Streptomyces sp. SAI-127                                           NZ_JARXYJ010000001.1  7415535   7419804   7.1682   1        1        1        1      
Streptomyces sp. SAI-127                                           NZ_JARXYJ010000001.1  5798999   5802650   6.1448   1        1        1        1      
Streptomyces sp. SAI-117                                           NZ_JARXYM010000001.1  6402508   6407584   7.1683   1        1        1        1      
Streptomyces sp. SAI-117                                           JARXYM010000001.1     6404806   6407584   5.1298   0        1        1        1      
Streptomyces sp. Ag109_O5-10                                       NZ_FNTQ01000001.1     1498923   1503089   7.1654   1        1        1        1      
Streptomyces sp. Ag109_O5-10                                       NZ_FNTQ01000001.1     6124888   6129217   6.1436   1        1        1        1      
Streptomyces sp. NPDC001797                                        NZ_JBIAUB010000003.1  933675    937841    7.1651   1        1        1        1      
Streptomyces sp. NPDC001797                                        NZ_JBIAUB010000001.1  1264952   1269256   6.1436   1        1        1        1      
Streptomyces sp. NPDC001601                                        NZ_JBIAUZ010000002.1  1164734   1168900   7.1651   1        1        1        1      
Streptomyces sp. NPDC001601                                        NZ_JBIAUZ010000001.1  155115    159266    6.1439   1        1        1        1      
Streptomyces sp. NPDC001507                                        NZ_JBIAVV010000007.1  116926    121092    7.1650   1        1        1        1      
Streptomyces sp. NPDC001507                                        NZ_JBIAVV010000003.1  468083    472122    6.1439   1        1        1        1      
Streptomyces sp. NPDC056683                                        NZ_JBHTXT010000005.1  184366    188532    7.1655   1        1        1        1      
Streptomyces sp. NPDC056683                                        NZ_JBHTXT010000009.1  105616    109839    6.1439   1        1        1        1      
Streptomyces sp. NPDC041068                                        NZ_JBEZCG010000005.1  182068    196050    7.1621   1        1        1        1      
Streptomyces sp. NPDC041068                                        NZ_JBEZCG010000008.1  295665    299315    6.1395   1        1        1        1      
Streptomyces sp. NPDC007157                                        NZ_JBEYFE010000001.1  22726     26892     7.1654   1        1        1        1      
Streptomyces sp. NPDC007157                                        NZ_JBEYFE010000008.1  26834     30697     6.1457   1        1        1        1      
Streptomyces sp. NBC_00223                                         NZ_CP108109.1         3431098   3437881   5.1606   1        1        1        1      
Streptomyces sp. NBC_00138                                         NZ_CP108177.1         4523675   4530458   5.1606   1        1        1        1      
Streptomyces sp. SM18                                              NZ_CP029342.1         5994916   6001313   6.1604   1        1        1        1      
Streptomyces sp. SM5                                               NZ_NEUG01000484.1     51866     58263     6.1604   1        1        1        1      
Streptomyces sp. NPDC102270                                        NZ_JBIWLX010000020.1  178909    184120    7.1619   1        1        1        1      
Streptomyces sp. NPDC101133                                        NZ_JBIVYW010000004.1  596690    614840    5.1569   1        1        1        1      
Streptomyces sp. NPDC006324                                        NZ_JBEXRE010000714.1  47        2823      5.1223   0        1        1        1      
Streptomyces sp. NPDC006183                                        NZ_JBEXTF010000049.1  700       7097      6.1611   1        1        1        1      
Streptomyces sp. NPDC006170                                        NZ_JBEXTM010000044.1  8460      14857     6.1601   1        1        1        1      
Streptomyces sp. NPDC093111                                        NZ_JBFBNW010000010.1  211423    217819    6.1596   1        1        1        1      
Streptomyces sp. NRRL WC-3549                                      NZ_KL585414.1         34058     40396     6.1599   1        1        1        1      
Streptomyces sp. NPDC000070                                        NZ_JBEPFN010000018.1  30103     41435     6.1576   1        1        1        1      
Streptomyces sp. NPDC090499                                        NZ_JBIVXP010000019.1  25279     29445     7.1647   1        1        1        1      
Streptomyces sp. NPDC090499                                        NZ_JBIVXP010000001.1  1522548   1526712   6.1440   1        1        1        1      
Streptomyces sp. NPDC090493                                        NZ_JBIVXR010000018.1  176931    181097    7.1650   1        1        1        1      
Streptomyces sp. NPDC090493                                        NZ_JBIVXR010000003.1  139842    144096    6.1434   1        1        1        1      
Streptomyces sp. NPDC049627                                        NZ_JBITLW010000005.1  168911    185955    6.1655   1        1        1        1      
Streptomyces sp. NPDC049627                                        NZ_JBITLW010000018.1  181634    185421    6.1448   1        1        1        1      
Streptomyces sp. NPDC058773                                        NZ_JBHYPE010000006.1  83401     91468     6.1578   1        1        1        1      
Streptomyces sp. NPDC001796                                        NZ_JBIAUC010000002.1  311001    331164    6.1621   1        1        1        1      
Streptomyces sp. NPDC059786                                        NZ_JBHWHW010000058.1  1126      3903      5.1224   0        1        1        1      
Streptomyces sp. NBC_01622                                         NZ_CP109293.1         7708370   7725206   6.1631   1        1        1        1      
Streptomyces sp. NBC_01622                                         CP109293.1            7709632   7725206   4.0980   1        0        1        1      
Streptomyces sp. NPDC086777                                        NZ_JBFBJI010000055.1  27511     31677     7.1640   1        1        1        1      
Streptomyces sp. NPDC086777                                        NZ_JBFBJI010000024.1  128458    132679    6.1440   1        1        1        1      
Streptomyces sp. NPDC050538                                        NZ_JBITHC010000008.1  439803    457388    6.1647   1        1        1        1      
Streptomyces sp. NPDC050528                                        NZ_JBITHH010000016.1  92765     110368    6.1645   1        1        1        1      
Streptomyces sp. NPDC013157                                        NZ_JBIBAK010000001.1  954355    960913    6.1693   1        1        1        1      
Streptomyces sp. NPDC013157                                        NZ_JBIBAK010000006.1  118716    122740    6.1432   1        1        1        1      
Streptomyces sp. NPDC093984                                        NZ_JBIWIM010000004.1  345146    365296    6.1618   1        1        1        1      
Streptomyces sp. HU2014                                            NZ_CP097123.1         4832449   4836293   7.1686   1        1        1        1      
Streptomyces sp. HU2014                                            NZ_CP097123.1         2812192   2816006   6.1451   1        1        1        1      
Streptomyces sp. NPDC095613                                        NZ_JBEOTH010000031.1  1171      8763      7.1642   1        1        1        1      
Streptomyces sp. NRRL F-5135                                       NZ_JOHR01000006.1     151898    159506    7.1639   1        1        1        1      
Streptomyces sp. NPDC040750                                        NZ_JBEZCL010000001.1  290275    310333    6.1635   1        1        1        1      
Streptomyces sp. NPDC048362                                        NZ_JBICYK010000011.1  102900    122958    6.1634   1        1        1        1      
Streptomyces sp. NPDC051452                                        NZ_JBITEB010000010.1  116586    136634    6.1635   1        1        1        1      
Streptomyces sp. NPDC088196                                        NZ_JBFBIU010000015.1  97737     116575    6.1639   1        1        1        1      
Streptomyces sp. NBC_00878                                         NZ_JAPEOK010000001.1  5077547   5090066   6.1648   1        1        1        1      
Streptomyces sp. V4I2                                              NZ_JAUSZM010000003.1  6083097   6095191   6.1627   1        1        1        1      
Streptomyces sp. V4I2                                              NZ_JAUSZM010000003.1  9572753   9576452   6.1486   1        1        1        1      
Streptomyces sp. V4I2                                              JAUSZM010000003.1     6084425   6095191   4.0981   1        0        1        1      
Streptomyces sp. NPDC001833                                        NZ_JBEOYT010000120.1  12708     19263     6.1687   1        1        1        1      
Streptomyces sp. NPDC001833                                        NZ_JBEOYT010000162.1  4642      8600      6.1430   1        1        1        1      
Streptomyces sp. LUP30                                             NZ_MJAJ01000007.1     18375     38486     6.1627   1        1        1        1      
Streptomyces sp. LUP30                                             NZ_MJAJ01000057.1     18252     22039     6.1476   1        1        1        1      
Streptomyces sp. NPDC048191                                        NZ_JBEZMO010000023.1  19551     24806     7.1635   1        1        1        1      
Streptomyces sp. IBSBF 2806                                        NZ_JAJSYX010000081.1  18493     22284     6.1471   1        1        1        1      
Streptomyces sp. IBSBF 2806                                        NZ_JAJSYX010000384.1  1141      3916      5.1254   0        1        1        1      
Streptomyces sp. NPDC059785                                        NZ_JBHWHV010000047.1  44334     58417     6.1599   1        1        1        1      
Streptomyces sp. NPDC047072                                        NZ_JBEYVC010000044.1  1527      15452     6.1637   1        1        1        1      
Streptomyces sp. NBC_01429                                         NZ_CP109599.1         2343563   2352280   6.1659   1        1        1        1      
Streptomyces sp. NPDC093085                                        NZ_JBFBFB010000007.1  198651    206421    7.1587   1        1        1        1      
Streptomyces sp. NPDC101152                                        NZ_JBIWPO010000007.1  96944     114650    6.1643   1        1        1        1      
Streptomyces sp. NPDC101152                                        NZ_JBIWPO010000026.1  120557    124302    6.1436   1        1        1        1      
Streptomyces sp. ISL-11                                            NZ_JAGGOL010000036.1  8984      26641     6.1653   1        1        1        1      
Streptomyces sp. ISL-11                                            NZ_JAGGOL010000128.1  624       3888      5.1126   0        1        1        1      
Streptomyces sp. SP18BB07                                          NZ_JAQYWT010000215.1  125961    130690    6.1659   1        1        1        1      
Streptomyces sp. SP17KL33                                          NZ_JAQYXK010000388.1  8305      13034     6.1659   1        1        1        1      
Streptomyces sp. LaPpAH-108                                        NZ_KB891995.1         273770    277687    7.1595   1        1        1        1      
Streptomyces sp. NPDC091212                                        NZ_JBFBGB010000002.1  123239    131968    6.1660   1        1        1        1      
Streptomyces sp. CBMA123                                           NZ_MECK01000608.1     10080     12992     5.1272   0        1        1        1      
Streptomyces sp. NPDC001407                                        NZ_JBIAWF010000048.1  7646      19469     6.1665   1        1        1        1      
Streptomyces sp. NPDC001407                                        NZ_JBIAWF010000008.1  233646    247301    7.1598   1        1        1        1      
Streptomyces sp. NPDC020667                                        NZ_JBFAED010000068.1  15100     20488     7.1597   1        1        1        1      
Streptomyces sp. NPDC020667                                        NZ_JBFAED010000245.1  3034      5809      5.1292   0        1        1        1      
Streptomyces sp. NPDC020799                                        NZ_JBIRSV010000021.1  69492     81316     6.1664   1        1        1        1      
Streptomyces sp. NPDC020799                                        NZ_JBIRSV010000035.1  42297     55948     7.1598   1        1        1        1      
Streptomyces sp. NPDC048595                                        NZ_JBICWA010000020.1  27694     39983     6.1604   1        1        1        1      
Streptomyces sp. ISL-10                                            NZ_JAGGOJ010000022.1  650       5998      6.1607   1        1        1        1      
Streptomyces sp. MBT70                                             NZ_JAENRW010000097.1  148463    153179    6.1670   1        1        1        1      
Streptomyces sp. MBT70                                             NZ_JAENRW010000214.1  40158     43910     6.1466   1        1        1        1      
Streptomyces sp. SCL15-4                                           NZ_JAOBTQ010000001.1  8029163   8033880   6.1641   1        1        1        1      
Streptomyces sp. SCL15-4                                           NZ_JAOBTQ010000001.1  3955557   3959311   6.1450   1        1        1        1      
Streptomyces sp. NPDC006658                                        NZ_JBEYJS010000191.1  3708      8425      6.1641   1        1        1        1      
Streptomyces sp. NPDC006658                                        NZ_JBEYJS010000035.1  8387      12141     6.1448   1        1        1        1      
Streptomyces sp. NPDC017638                                        NZ_JBIRJD010000024.1  141575    146292    6.1643   1        1        1        1      
Streptomyces sp. NPDC017638                                        NZ_JBIRJD010000031.1  94680     98434     6.1450   1        1        1        1      
Streptomyces sp. NPDC048266                                        NZ_JBEZLX010000020.1  8902      11711     5.1291   0        1        1        1      
Streptomyces sp. NPDC007355                                        NZ_JBIAFC010000005.1  18542     37811     6.1663   1        1        1        1      
Streptomyces sp. NPDC006477                                        NZ_JBIAHO010000003.1  375586    394770    6.1663   1        1        1        1      
Streptomyces sp. NRRL S-448                                        NZ_JBAISJ010000001.1  468466    476977    5.1568   1        1        1        1      
Streptomyces sp. NRRL S-448                                        JBAISJ010000001.1     474208    476977    4.1197   0        1        1        1      
Streptomyces sp. NPDC048723                                        NZ_JBICVE010000009.1  81648     90159     5.1570   1        1        1        1      
Streptomyces sp. DSM 40868                                         NZ_CP050504.1         7424179   7428895   6.1671   1        1        1        1      
Streptomyces sp. DSM 40868                                         NZ_CP050504.1         4836519   4840270   6.1470   1        1        1        1      
Streptomyces sp. NPDC007856                                        NZ_JBIAEC010000011.1  319022    328026    6.1685   1        1        1        1      
Streptomyces sp. C36                                               NZ_JBFQGI010000011.1  4175      8956      6.1663   1        1        1        1      
Streptomyces sp. C36                                               NZ_JBFQGI010000003.1  600304    603962    6.1487   1        1        1        1      
Streptomyces sp. NPDC051173                                        NZ_JBFBBD010000067.1  4700      16453     6.1659   1        1        1        1      
Streptomyces sp. NPDC051173                                        NZ_JBFBBD010000047.1  15661     23432     7.1571   1        1        1        1      
Streptomyces sp. NPDC051162                                        NZ_JBFBBF010000083.1  14345     26128     6.1659   1        1        1        1      
Streptomyces sp. NPDC051162                                        NZ_JBFBBF010000095.1  20302     23070     5.1204   0        1        1        1      
Streptomyces sp. UMAF16                                            JAPQLP010000270.1     3406      8127      3.1134   1        1        0        1      
Streptomyces sp. UMAF16                                            JAPQLP010000254.1     13766     17576     3.0982   1        1        0        1      
Streptomyces sp. MSC1_001                                          NZ_JAMOZN010000047.1  4299      23485     6.1660   1        1        1        1      
Streptomyces sp. NPDC012693                                        NZ_JBIBDD010000002.1  319867    339130    6.1660   1        1        1        1      
Streptomyces sp. NPDC005483                                        NZ_JBEXEA010000011.1  151291    165184    6.1627   1        1        1        1      
Streptomyces sp. NPDC020379                                        NZ_JBIRVR010000015.1  4476      16282     6.1662   1        1        1        1      
Streptomyces sp. NPDC020379                                        NZ_JBIRVR010000004.1  201881    205671    7.1550   1        1        1        1      
